评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/7358886682,王创云520,男,山西,1231,799,10057,处理的非常好，时间、地点、人物，实际情况是什么。堪称处理造谣事件的教科书式典范！如果李文亮大夫的事件也这样处理，就不会那么被动！为大庆网警点赞！！  唯一的遗憾，觉得处罚太轻，谣言一定会屡禁不止！,10,2020-03-01 17:33
https://weibo.cn//somegood,chatech,男,上海,5844,2401,771,干得好，背后有没有加入轮子也要查查,33,2020-02-29 19:40
https://weibo.cn//u/7519357021,承宇007,男,其他,45,188,1,     举报             赞[0]         回复             2020-11-04 08:52:08 来自网页,0,2020-11-04 08:52
https://weibo.cn//u/1916824414,腾讯评论DAMO09,男,其他,2428,350,8579,病毒感染了,0,2020-04-09 13:00
https://weibo.cn//tcsjcy,铜川检察,男,陕西,34258,791,4374,     举报             赞[0]         回复             2020-03-03 19:12:47 来自网页,0,2020-03-03 19:12
https://weibo.cn//u/7286563311,红妆素裹总相宜,女,浙江,1405,173,34,回复@云朵漫菲:法轮,0,2020-03-03 15:38
https://weibo.cn//u/6790233833,顺义二手车,男,北京,1,18,1,现在警察都忙于疫情，网络犯罪还有时间管吗？网络赌博,0,2020-03-03 11:31
https://weibo.cn//u/1842310661,导导弹弹,男,其他,1705,253,99,回复@chatech:这个是正理，轮子和鸡毒在三姑六婆中向来极有市场。,0,2020-03-02 15:31
https://weibo.cn//u/1842310661,导导弹弹,男,其他,1705,253,99,回复@-李志永-:转发35，评论22，舆论主动权从来没在我们手上，只能坐视南方系媒体的抹黑。,0,2020-03-02 15:29
https://weibo.cn//u/1842310661,导导弹弹,男,其他,1705,253,99,评论比本体更有意义，什么是规范的辟谣？就是把事情本来面貌说出来，不偏不倚，让公众能够信服，这样才能称为真正的辟谣。,0,2020-03-02 15:28
https://weibo.cn//u/2659805055,云朵漫菲,女,黑龙江,330,140,84,回复@chatech:加入轮子是什么意思？,0,2020-03-02 09:23
https://weibo.cn//u/6206240278,DJBEAUTIE,女,其他,0,86,8,活该,0,2020-03-01 23:57
https://weibo.cn//u/5091211719,浪得虚名的美女,女,广东,841,123,9836,这个辟谣是我见过字最多的,0,2020-03-01 23:29
https://weibo.cn//u/7367151752,家禽市场2020,男,黑龙江,25,32,1,估计是轮子,0,2020-03-01 22:25
https://weibo.cn//u/5503068103,江南雨巷情浓伊,男,吉林,2737,426,21526,你都活了40年了还没正事。真服了你了，卧槽！,1,2020-03-01 22:01
https://weibo.cn//u/5113039863,香蕉君a,男,黑龙江,7,40,44,抓的好，这种吃里扒外的应该重罚,0,2020-03-01 19:55
https://weibo.cn//u/1697661362,三青余孽李导师,男,江苏,2578,4788,607,这种傻缺不是独运轮的话就纯粹是脑子有泡了,0,2020-03-01 19:32
https://weibo.cn//u/6161151034,小号不放假,女,其他,235,273,2,这人有病吧，罚的太轻了。,0,2020-03-01 18:22
https://weibo.cn//u/1225771877,吾不言语微自言,男,其他,24,50,41,回复@王创云520:李医生等8个人为啥不能这样处理，恐怕是问题所在。因为不是谣言，只是发布了不该发布的信息。,1,2020-03-01 18:22
https://weibo.cn//u/1052478461,姚明LY,男,其他,0,89,150,七天少了，麻烦您们注意下这七天她都干啥、说啥了，说得好就让她多说些天！,0,2020-03-01 18:17
https://weibo.cn//u/2497215132,韩阿五,男,湖北,40,95,122,死抽他脸一百巴掌,0,2020-03-01 18:04
https://weibo.cn//u/5610755802,大庆网警巡查执法,男,黑龙江,11556,1090,16642,回复@王创云520:,0,2020-03-01 17:53
https://weibo.cn//u/7358886682,王创云520,男,山西,1231,799,10057,处理的非常好，时间、地点、人物，实际情况是什么。堪称处理造谣事件的教科书式典范！如果李文亮大夫的事件也这样处理，就不会那么被动！为大庆网警点赞！！  唯一的遗憾，觉得处罚太轻，谣言一定会屡禁不止！,10,2020-03-01 17:33
https://weibo.cn//u/2997412897,蓝火2012,男,吉林,4549,251,420,回复@-李志永-:支持！,0,2020-03-01 17:29
https://weibo.cn//u/5734381775,方方土念堃三个土念垚啊,女,辽宁,95,48,109,有病吧，这么抹黑自己的城市,0,2020-03-01 17:22
https://weibo.cn//u/5217513557,SU_ZHANGyii,女,其他,92,346,68,就500块钱？？？？？？？长记性了吗,0,2020-03-01 17:10
https://weibo.cn//u/3411764574,XQWONG,男,湖北,603,18,310,湖北人民不同意，此人处罚太轻。湖北人民感恩所有来支援的医护人员。人家冒着生命危险来支援。有人造谣生事。处罚太轻。,2,2020-03-01 17:03
https://weibo.cn//u/2489388912,物有其容_木谓之华,女,其他,28012,2539,337,轮子吧,0,2020-03-01 15:02
https://weibo.cn//u/2023333431,平凡之路rainy,女,黑龙江,390,76,175,脖子上长那玩意是为了显高吗,0,2020-03-01 14:06
https://weibo.cn//u/6008433101,枪手辣妹88,女,黑龙江,161,153,122,病毒进脑子吧！其它无解！给大庆人丢脸,3,2020-03-01 07:24
https://weibo.cn//u/7054299177,铁盒子4587,男,黑龙江,38,120,12,才500？这也叫处罚？最少10日拘留要不送去武汉做20天义工,0,2020-02-29 23:32
https://weibo.cn//u/2722035457,爱杨煤碳爱浦浦,女,广东,4292,1189,460,这货没带脑子投胎吗,13,2020-02-29 22:48
https://weibo.cn//kyf777,匡岩峰,男,湖北,14555,956,1278,回复@余生半尽:希望吸取教训，别再重蹈覆辙,0,2020-02-29 22:25
https://weibo.cn//u/5675494396,余生半尽,女,湖北,153,59,42,回复@匡岩峰:脑子里的水要是倒出来 就真的空了,0,2020-02-29 22:22
https://weibo.cn//u/5610755802,大庆网警巡查执法,男,黑龙江,11556,1090,16642,回复@-李志永-:感谢您的建议,2,2020-02-29 22:10
https://weibo.cn//u/6019540885,长大要挣很多钱,女,黑龙江,2349,866,102,脑袋可能憋傻了，抹黑家乡人有什么好处呢，还是在特殊时期,11,2020-02-29 21:58
https://weibo.cn//u/2176828685,史蒂夫司機000,男,内蒙古,1011,56,114,休息这么长时间脑子还没养好。,0,2020-02-29 21:34
https://weibo.cn//u/1071659364,邱果爱吃肉,女,黑龙江,2013,368,185,自己家估计是他待不住了，所以想找另一个包吃包住的地方！！！,0,2020-02-29 21:12
https://weibo.cn//u/5353712440,张阿怡奶茶,女,其他,497,137,144,     举报             赞[0]         回复             2020-02-29 20:51:34 来自网页,0,2020-02-29 20:51
https://weibo.cn//u/2461067961,K记小蛋挞,女,黑龙江,2942,297,359,我杀了他     举报             赞[0]         回复             2020-02-29 20:49:54 来自网页,0,2020-02-29 20:49
https://weibo.cn//wujbiao,一滴酒量,男,广东,296,99,256,真是无脑！疫情能开玩笑？这是抹黑自己家乡。关入牢里继续开这种无脑的玩笑。,1,2020-02-29 20:31
https://weibo.cn//u/2534818257,东来024,男,辽宁,418,70,127,轮子功余孽吧,0,2020-02-29 20:28
https://weibo.cn//kyf777,匡岩峰,男,湖北,14555,956,1278,好不好玩，开不开心，意不意外，还玩不玩。脑子有水就倒过来控控，病从口入祸从口出。,2,2020-02-29 20:24
https://weibo.cn//u/7381985248,东北虎XMF,男,辽宁,326,75,18,山炮,0,2020-02-29 20:20
https://weibo.cn//u/5214544450,臭美油菜花,女,北京,135,113,39,这脑袋有病,1,2020-02-29 20:08
https://weibo.cn//u/1797908913,Kiss_雨Rain,女,上海,3654,565,417,40岁还如此无脑……,6,2020-02-29 19:57
https://weibo.cn//weilaixiangxi,小缺ES,男,海外,1589,556,10803,估计是邪教,1,2020-02-29 19:54
https://weibo.cn//yaoyaonvzi,繁花如意似锦来,女,黑龙江,46,195,240,这年头沙雕太多。,2,2020-02-29 19:50
https://weibo.cn//u/1195332051,大庆足迹,男,黑龙江,14369,98,256605,图个啥,1,2020-02-29 19:47
https://weibo.cn//somegood,chatech,男,上海,5844,2401,771,干得好，背后有没有加入轮子也要查查,33,2020-02-29 19:40
https://weibo.cn//u/2506816702,迷雾君,男,广东,5361,238,154,辣鸡,0,2020-02-29 19:31
https://weibo.cn//u/5452167603,板凳配西瓜,男,黑龙江,2802,159,134,真服这种人，就会拖后腿,4,2020-02-29 19:21
https://weibo.cn//367970,逃跑无出路,男,海外,2116,306,546,遮那么严实干什么？保护造谣者？,2,2020-02-29 19:18
