评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1715739162,che车v,女,黑龙江,3624,147,636,还有公章？,1,2020-03-07 21:44
https://weibo.cn//275346903,雨人0082,男,山东,59,118,48,再辟谣一下吧，肇州县没有初四。,1,2020-03-07 23:31
https://weibo.cn//u/2574469152,高淳交警,女,江苏,35260,876,13314, 举报 赞[1] 回复 2020-03-09 18:32:54 来自网页,1,2020-03-09 18:32
https://weibo.cn//u/3243757400,安徽商贸学院警务室,男,安徽,132675,2825,20570,     举报             赞[0]         回复             2020-03-09 19:14:02 来自网页,0,2020-03-09 19:14
https://weibo.cn//u/2574469152,高淳交警,女,江苏,35260,876,13314,     举报             赞[1]         回复             2020-03-09 18:32:54 来自网页,1,2020-03-09 18:32
https://weibo.cn//275346903,雨人0082,男,山东,59,118,48,回复@大庆网警巡查执法:认错，我自以为是了。,2,2020-03-09 14:42
https://weibo.cn//u/3951710017,曲靖检察,男,云南,24459,2603,223697,@大庆网警巡查执法,0,2020-03-09 10:52
https://weibo.cn//furonggongan,芙蓉公安,男,湖南,23418,2255,26099, ,0,2020-03-09 00:06
https://weibo.cn//u/5040641267,a玲珑雪l,女,黑龙江,510,237,39,回复@雨人0082:我家孩子现在就读初初四,2,2020-03-08 22:19
https://weibo.cn//gaopengfei168,狂犬病患_,男,山东,110,86,924,回复@雨人0082:有初四,1,2020-03-08 20:22
https://weibo.cn//u/3244301343,思雨丶,男,黑龙江,367,964,293,sinanews://params=%7B%22id%22%3A%22imxxstf7282821-comos-zx-cms%22%2C%22type%22%3A%22%22%2C%22dataid%22%3A%22%22%2C%22url%22%3A%22%22%2C%22isSilence%22%3A%220%22%2C%22percent%22%3A0.132%7D::k=sinawap_clip*zx*zx*wm3049_0172_LAND_imxxstf7282821_uid3244301343*SN_0410001007*1583661210,0,2020-03-08 17:57
https://weibo.cn//u/6130005427,泽小泽的猪脑壳儿,女,黑龙江,210,97,198,回复@雨人0082:我读过初四的,1,2020-03-08 17:25
https://weibo.cn//bqlfy,宝泉岭人民法院,男,黑龙江,13417,3379,39125,     举报             赞[0]         回复             2020-03-08 16:52:53 来自网页,0,2020-03-08 16:52
https://weibo.cn//u/5136276806,我就要上天啊,男,内蒙古,787,750,193,回复@雨人0082:确实有初四,1,2020-03-08 14:30
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3607,265,1404,网传肇州县第二中学部分年级3月15号开学为谣言,0,2020-03-08 07:34
https://weibo.cn//u/5610755802,大庆网警巡查执法,男,黑龙江,11556,1090,16642,回复@雨人0082:肇州县有初四,1,2020-03-08 07:26
https://weibo.cn//275346903,雨人0082,男,山东,59,118,48,再辟谣一下吧，肇州县没有初四。,1,2020-03-07 23:31
https://weibo.cn//u/5610755802,大庆网警巡查执法,男,黑龙江,11556,1090,16642,回复@che车v:辟谣的是教育局的公章哈,1,2020-03-07 21:46
https://weibo.cn//u/1715739162,che车v,女,黑龙江,3624,147,636,还有公章？,1,2020-03-07 21:44
