评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1698410024,吃apple的小朋友,男,台湾,65388,75,506,辟谣就拿出真实可靠的证明，而不是声明，大连出现这样的情况，已经4天了，病毒毒株是几代的？就算是海产品加工，那哪里进口的？什么都不说明，来一句这样的声明？请透明吧！,86,2020-07-25 08:15
https://weibo.cn//u/2070299511,加勒比海蓝蓝,女,辽宁,1998,429,406,看起来就是谣言，如果发现俄罗斯渔船船员感染病毒，正常操作是就地封存；明知船上人员发病，货还往自己公司冷库里放，根本不符合常理，就这么一条谣言居然有信的…,16,2020-07-25 08:39
https://weibo.cn//u/7337131552,看球比踢球还累,男,辽宁,146,80,12,那么病毒为什么从凯洋爆发了呢？病毒从哪里而来，如何被员工染上，是防疫操作规范设计有漏洞，还是执行不到位呢？ 还是哪种不可抗力因素？尽快调查清楚，用事实战胜谣言。,26,2020-07-25 08:45
https://weibo.cn//u/6352769170,鲁鲁熊儿,女,其他,0,24,1,回复@白塔和小花:大连湾区域居民及周边企业周六前已全部核酸结束，现阶段全市核酸。,0,2020-07-28 09:21
https://weibo.cn//u/2712559787,偶尔想起_唏嘘不已,男,辽宁,752,253,104,带病毒的海产品是哪来的呢？,0,2020-07-26 22:04
https://weibo.cn//u/7394731550,Kingazure87648,男,其他,2,83,1,回复@勿忘初心_0901:哥们，现在别回来了，在外地玩玩吧,0,2020-07-26 14:26
https://weibo.cn//u/7367767792,初锴,男,辽宁,19,33,76,遥不遥的不清楚，但是个人希望大家不要造谣！自己相安无事的前提下保护好自己和周围的人才是最重要的，而不是在想着怎么去造谣,0,2020-07-26 08:25
https://weibo.cn//u/6227190155,多言始于厚爱FnM,女,其他,2773,98,2,关于疫情源头的事情，官方没有理由包庇一个公司的，也不敢。别总那么阴暗，不相信官方辟谣，只相信自己听到的小道消息。,0,2020-07-25 22:40
https://weibo.cn//u/2070299511,加勒比海蓝蓝,女,辽宁,1998,429,406,回复@KidSquare7:那你可真不理想，你可以揭露一下海关,1,2020-07-25 20:51
https://weibo.cn//u/7271751652,泉铭596,男,其他,3,265,9,回复@加勒比海蓝蓝:为了钱，啥都敢放，懂不？,0,2020-07-25 20:46
https://weibo.cn//u/6612816875,喵嘞个喵唔,男,广东,188,117,17,回复@稀里糊涂的li:北京那么多市场，就新发地爆发疫情？,0,2020-07-25 17:07
https://weibo.cn//u/6612816875,喵嘞个喵唔,男,广东,188,117,17,回复@大连三道沟:你这神奇的脑回路,0,2020-07-25 17:07
https://weibo.cn//u/5525444376,KidSquare7,男,其他,2030,573,221,回复@加勒比海蓝蓝:你可真理想，你可以去问问海关,1,2020-07-25 15:57
