评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//313556222,HomengQ,女,其他,12085,117,1966,真实的剧情要比谣言更离奇曲折,1381,2020-02-04 09:39
https://weibo.cn//donggeng2010,冬耕2010,女,天津,7295,517,783,公布真相就是最好的辟谣手段，越快越见效,494,2020-02-04 09:18
https://weibo.cn//u/1414142183,永远的风驰电掣,男,其他,5227,539,1253,居然说喷酒精后抽烟造成的。有点智商就能看出来没那么简单。严惩造谣者。,364,2020-02-04 09:14
https://weibo.cn//u/6281942922,w落日熔金,男,天津,1061,56,50,     举报             赞[0]         回复             2020-02-05 16:15:41 来自网页,0,2020-02-05 16:15
https://weibo.cn//u/5448406074,36Kg肥肉,男,湖北,97,160,16,回复@嗡儿嗡儿糕OuO:真事儿比谣言还曲折离奇,1,2020-02-05 13:06
https://weibo.cn//u/3227160822,小付瘦到80斤了吗,女,其他,1039,635,222, ,0,2020-02-05 01:34
https://weibo.cn//535818012,沙扬娜拉0577,女,天津,2451,198,448,我大天津还有这么硬核的刑事案件?还好最后没伤及无辜 又是车祸又是爆炸的 后怕,0,2020-02-05 01:02
https://weibo.cn//u/6868197458,用户安吉拉刘,女,北京,146,229,17,47 和 49的姐弟恋呀啧啧,0,2020-02-04 23:10
https://weibo.cn//u/1194372065,爱猜的鱼,女,北京,233,211,51,回复@伦是我家伦妹的那个妹:,0,2020-02-04 21:27
https://weibo.cn//u/1956494795,不及格的吃货T_T,女,黑龙江,27386,534,203,//@HomengQ:真实的剧情要比谣言更离奇曲折     举报             赞[0]         回复             2020-02-04 21:23:51 来自网页,0,2020-02-04 21:23
https://weibo.cn//u/6232857722,我嘴好冰·,女,其他,4857,336,1038,回复@爱猜的鱼:这条就是在辟谣车里喷酒精被烧死的呀,0,2020-02-04 21:19
https://weibo.cn//u/1194372065,爱猜的鱼,女,北京,233,211,51,回复@伦是我家伦妹的那个妹:真有，新闻报了好几个了。还有在车里喷，把自己烧死的了。一定小心,0,2020-02-04 21:13
https://weibo.cn//u/6232857722,我嘴好冰·,女,其他,4857,336,1038,回复@爱猜的鱼:咋会满屋子喷,0,2020-02-04 21:10
https://weibo.cn//u/1194372065,爱猜的鱼,女,北京,233,211,51,回复@伦是我家伦妹的那个妹:满屋子喷高浓度酒精，如果厨房在做饭真的会有全屋烧了的可能!,0,2020-02-04 21:04
https://weibo.cn//u/2105765215,没有未来的炸鸡排,男,北京,144,672,322,造谣的拘留了么,0,2020-02-04 20:33
https://weibo.cn//u/6580087691,薄荷凉可乐冰,女,其他,376,88,56,@kwW梁,0,2020-02-04 18:32
https://weibo.cn//u/1326474417,不能再肥宅下去了凉小果,女,天津,3000,551,239,回复@不能再肥宅下去了安小娜:哎妈…,0,2020-02-04 17:51
https://weibo.cn//u/5191179554,三个爱吃,女,江苏,645,883,186,回复@此话当真当真当真:天呐,0,2020-02-04 17:36
https://weibo.cn//u/5247858863,此话当真当真当真,女,江苏,9006,646,93, 我去,0,2020-02-04 16:49
https://weibo.cn//u/1286187990,哎呦喂客官进来坐嘛,女,上海,61,308,130,给警察蜀黍点赞ﾟ∀ﾟd,0,2020-02-04 16:25
https://weibo.cn//u/1770084903,阿飘_是只萌兔叽,女,天津,8027,217,1253,回复@伦是我家伦妹的那个妹:那也不能往衣服上大面积喷 直接泼地上啥的都不行 最好是用布蘸着擦,0,2020-02-04 16:25
https://weibo.cn//u/5143388686,李甜甜是宇宙无敌大可爱,女,湖南,8778,305,405,怎么说呢，这个行凶的真的是活该,0,2020-02-04 16:06
https://weibo.cn//u/6983050555,strangeship,女,其他,573,643,49,什么精神病?,0,2020-02-04 15:39
https://weibo.cn//u/7048853972,Bhtfuifbnj,男,其他,211,307,33,现实往往要比剧本离谱,0,2020-02-04 15:24
https://weibo.cn//u/2957812461,JINGQIU_,女,重庆,7,391,634,@鲍疯橙,0,2020-02-04 15:22
https://weibo.cn//u/3960969199,鸾鹤踪,女,其他,398,865,84,@迷惑行為大賞,0,2020-02-04 15:14
https://weibo.cn//attitudeoptimism,凉小淋儿,女,广东,9900,288,445,这。。好惨烈。。,1,2020-02-04 15:10
https://weibo.cn//u/1982085094,因为有你日子像镀了金,女,湖北,18815,392,142,男的故意杀人，为什么总是要掩饰为感情纠纷？,0,2020-02-04 14:38
https://weibo.cn//u/5836353568,我们终于打败了时光,女,四川,19511,83,198,来看看真相！别传谣！,0,2020-02-04 14:35
https://weibo.cn//lyfh61,Lyiiiiiiiiiii,女,天津,1235,157,1217,@香喷喷的马桶,0,2020-02-04 14:29
https://weibo.cn//u/2006161727,·吴了了·,女,天津,7473,317,1649,……,0,2020-02-04 14:28
https://weibo.cn//u/3682007337,刚背过咋就就忘了呢,女,海外,1178,478,42,太好了 他为民除害除掉了自己！,1,2020-02-04 14:22
https://weibo.cn//u/3369393990,而夏天还是那么短_,女,四川,6122,177,344,一天哪来那么多谣言//,0,2020-02-04 14:20
https://weibo.cn//u/1679110693,PikaPikaChuSky,女,上海,419,573,1277,@Z小姐小矮子没有胸,0,2020-02-04 14:13
https://weibo.cn//u/5666997875,三芊月,女,广东,6525,90,11,只把自己烧死了真的是太好了🙏🙏🙏,0,2020-02-04 14:08
https://weibo.cn//cuteran,冉妹纸,女,其他,571,184,391,造谣生事可恶至极,0,2020-02-04 14:06
https://weibo.cn//u/2131749130,临明而忘,女,海外,16,65,166,这……大片啊,0,2020-02-04 13:47
https://weibo.cn//dzyunhe110,德州运河公安分局,男,山东,57157,600,461686, 天津那个疯传的视频，不是防疫喷消毒水着火了，是一起刑事案件,0,2020-02-04 13:36
https://weibo.cn//u/5333389483,AmazingEden,女,四川,1563,201,176,卧槽,0,2020-02-04 13:35
https://weibo.cn//anitasky,Anitasky,女,安徽,21623,166,2498,和喷酒精无关,0,2020-02-04 13:32
https://weibo.cn//u/6531652363,雲云该好好学习了,女,江苏,2440,374,99,这居然是个结局还不错的消息？至少该死的人烧死了自己，待那对母女养好伤，以后再也不用被这个神经病纠缠了。,21,2020-02-04 13:26
https://weibo.cn//u/1915813410,Dora的自留地,女,其他,751,122,90,真相比谣言还复杂，也更无情。,0,2020-02-04 13:25
https://weibo.cn//u/5861682687,丶东_,男,天津,298,414,109,是个狠人,1,2020-02-04 13:22
https://weibo.cn//u/2219865843,Daisy_Fyy,女,山东,980,313,413,回复@高圆圆本圆u:我丢,0,2020-02-04 13:21
https://weibo.cn//u/3774505362,锅小锅小锅,女,其他,725,598,107,@新闻理论半价出售,0,2020-02-04 13:21
https://weibo.cn//u/3146758934,Amethyst6410,女,上海,298,229,49,快50岁的人了，这个恋爱谈的……,0,2020-02-04 13:19
https://weibo.cn//u/2297681323,月Fay,女,山东,7693,167,130,现世报？？？,0,2020-02-04 13:18
https://weibo.cn//u/1990474850,此号作废11211111,男,海外,1535,156,87,真实的剧情竟然如此,0,2020-02-04 13:17
https://weibo.cn//u/1789315307,蓝花甜甜,女,山东,50822,467,626,//,0,2020-02-04 13:07
https://weibo.cn//star1132,開坦克的贝塔tank,男,海外,474,337,185,回复@伦是我家伦妹的那个妹:擦拭没问题，满屋喷洒还是有一定危险性的,17,2020-02-04 13:07
https://weibo.cn//shuwazi,Shuchouwazi,男,内蒙古,2641,291,377,该死的死了，该活的活着。结局还算不错。就被撞的两辆车倒霉了。,118,2020-02-04 13:02
https://weibo.cn//u/2391625635,Hermosa-lin,女,北京,2255,468,844,这是现世报？,0,2020-02-04 13:00
https://weibo.cn//u/3958561988,高圆圆本圆u,女,山东,2165,154,196, 天。。,0,2020-02-04 12:50
https://weibo.cn//u/1761889511,何嗑糖,女,四川,2347,832,121,内容这么曲折,0,2020-02-04 12:49
https://weibo.cn//u/2487883283,H丶Phyllis,女,江苏,151,101,185,我妈跟我说我家隔壁镇上前几天在室内用酒精消毒，把家都烧了。然后叫我别买酒精,0,2020-02-04 12:49
https://weibo.cn//u/5180189961,童旺财,女,其他,5253,418,387,我嫂子在家熏艾，说能消毒，我觉得很滑稽，跟我同学说，结果得知我同学家也在熏艾,3,2020-02-04 12:45
https://weibo.cn//tongchenghui,微博同城,女,北京,38961,2388,1829658,Hi，我已将你的微博收录到新鲜事 ,0,2020-02-04 12:31
https://weibo.cn//u/5898566922,家有俩宝hl,女,海外,63,203,63,回复@HomengQ:的确,1,2020-02-04 11:53
https://weibo.cn//u/7364885247,但愿春风多结子,女,其他,3881,988,27,造谣的抓住了吗？不抓造谣的，以后还会有谣言产生。最好像造谣贵州毕节的那两个人一样判刑。,3,2020-02-04 10:59
https://weibo.cn//u/2323725395,阿里亚德斯,男,天津,17277,318,108,     举报             赞[0]         回复             2020-02-04 10:27:14 来自网页,0,2020-02-04 10:27
https://weibo.cn//u/6445243113,ppapcessie,女,其他,460,333,250,回复@我孙是李刚:谁告你没必要的？,3,2020-02-04 10:24
https://weibo.cn//u/1460968845,BgFx--ZJZ,男,天津,135,54,81,前好几天就听说了。不过大家在使用酒精消毒的话还是要注意安全，不可大意！,0,2020-02-04 10:17
https://weibo.cn//catchx,迷死特MiRo,男,海外,48,223,390,朋友圈一帮低智商的傻子转发,1,2020-02-04 09:56
https://weibo.cn//u/5666777680,二十斤就好了,女,天津,72,546,59,@di-mino,0,2020-02-04 09:43
https://weibo.cn//miaitiandewo,欢快地唱起约德尔调,女,天津,10501,3928,449,辟谣了就好，不过事件本身也够吓人的(´･ω･`),130,2020-02-04 09:40
https://weibo.cn//313556222,HomengQ,女,其他,12085,117,1966,真实的剧情要比谣言更离奇曲折,1381,2020-02-04 09:39
https://weibo.cn//u/2005144185,是吕小驴呀,女,天津,4936,80,527,回复@漫威战胜不了DC:有些人，在家待着就能造谣搞事情,3,2020-02-04 09:39
https://weibo.cn//u/5983282680,胆大且宝宝,女,天津,35,67,1055,这些造谣的……怎么就他有嘴呢,189,2020-02-04 09:26
https://weibo.cn//maysakurahana,不能再肥宅下去了安小娜,女,其他,467,410,503, 原来如此，太吓人了,0,2020-02-04 09:25
https://weibo.cn//u/1422120505,我孙是李刚,男,天津,334,72,1080,回复@伦是我家伦妹的那个妹:居家确实没必要。,1,2020-02-04 09:22
https://weibo.cn//u/1018084412,袖五郎,女,天津,9993,935,689,可怕……作死就会死，还好还好,0,2020-02-04 09:20
https://weibo.cn//u/6408750271,同心圆2019,男,天津,140,234,184,现在谣言和瘟疫病毒一样危害的了，一些大V带节奏不怀好意，煽动公众情绪，制造不稳定，大家不要上当，要相信国家相信政府，不转发传播谣言，让微博里多些正能量。,31,2020-02-04 09:19
https://weibo.cn//u/5657947808,真性情的疯子,男,天津,1449,225,1629,这种时候朋友圈传的都不能信，智商啊,1,2020-02-04 09:19
https://weibo.cn//donggeng2010,冬耕2010,女,天津,7295,517,783,公布真相就是最好的辟谣手段，越快越见效,494,2020-02-04 09:18
https://weibo.cn//u/3128168355,匿小名的王大能,女,天津,43,84,15, 幸亏辟谣了，昨天晚上我妈还特意打电话告诉我，一定不要用酒精消毒,0,2020-02-04 09:17
https://weibo.cn//u/1414142183,永远的风驰电掣,男,其他,5227,539,1253,居然说喷酒精后抽烟造成的。有点智商就能看出来没那么简单。严惩造谣者。,364,2020-02-04 09:14
https://weibo.cn//u/3462261384,雄霸天下执剑向前生死无需卜,女,天津,342,31,41,瞎添什么乱啊,0,2020-02-04 09:08
https://weibo.cn//u/2278114975,灰子的容颜,男,北京,33,109,76,好！点赞官方播报实情！咱老百姓不传谣，不信谣！,0,2020-02-04 09:07
https://weibo.cn//u/6232857722,我嘴好冰·,女,其他,4857,336,1038,老头老太太怎么说都不信,34,2020-02-04 09:06
https://weibo.cn//paopaoshu,想快乐鸭儿,女,其他,38994,541,1075,昨天都在传...原来是谣言,6,2020-02-04 09:06
https://weibo.cn//312723000,yk阡陌,男,天津,443,78,181,既然是谣言，那就追溯视频源头问责。,1,2020-02-04 09:06
https://weibo.cn//378980977,Estelle_圈,女,山东,41755,1008,6417,……电视剧一样……,4,2020-02-04 09:05
https://weibo.cn//u/1540801041,请叫我艺凡,女,香港,807,196,228,净添乱,5,2020-02-04 09:04
https://weibo.cn//u/7343227112,漫威战胜不了DC,男,北京,98,355,195,什么时候还搞事 在家呆着不好吗,66,2020-02-04 09:04
