评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//baicaoaijiu,Eun暖暖,女,天津,3695,204,649,坐等那一家三口，不，现在是一家四口到底怎么说,20,2020-02-13 16:42
https://weibo.cn//u/2729797253,凝西西,女,天津,224,333,106,19岁儿子的行动轨迹呢？,11,2020-02-13 17:50
https://weibo.cn//u/5310424162,绚丽火花xlhh,女,其他,389,490,60,求官方宣告这一家的病原,7,2020-02-13 18:26
https://weibo.cn//u/3242969151,五仙教养狗人,女,天津,9052,393,492,回复@Ares·珊:是假的，医院审问十分详细而且可以直接调监控作为证据，患者疾病缠身心理状态很糟糕是无法隐瞒的,0,2020-02-13 23:10
https://weibo.cn//u/5189263486,黄月照沟渠,女,天津,816,177,43,@-貓科不適-,0,2020-02-13 23:08
https://weibo.cn//u/5189263486,黄月照沟渠,女,天津,816,177,43,回复@Ares·珊:接触疫区同学是网上造谣的  这个儿子没跟武汉同学有过来往…,0,2020-02-13 23:07
https://weibo.cn//moqingfiona,墨晴Fiona,女,天津,3814,197,356,回复@Ares·珊:啊？我的天...,0,2020-02-13 19:47
https://weibo.cn//moqingfiona,墨晴Fiona,女,天津,3814,197,356,回复@Eun暖暖:我觉得在门诊被感染的几率很小，不然不会只他们一家...所以说2月之前的路径很关键,1,2020-02-13 19:46
https://weibo.cn//u/2645084552,幸运的王小耐,女,天津,113,73,167,回复@Ares·珊:我也听说了，等官宣吧……,0,2020-02-13 19:00
https://weibo.cn//u/5310424162,绚丽火花xlhh,女,其他,389,490,60,求官方宣告这一家的病原,7,2020-02-13 18:26
https://weibo.cn//fishwong1986,fishwong1986,男,北京,0,225,84,回复@唯有你是奶茶味:汇贤里这个位置，离三中心，财富豪为，动车客车段直线距离都在一公里左右,0,2020-02-13 18:01
https://weibo.cn//u/6867648424,TiTi_ZerO,男,天津,15,100,4,最可气的是造谣的人往往跟这个社区或者周边地区没有任何关系，就是单纯的唯恐天下不乱！,3,2020-02-13 17:58
https://weibo.cn//u/2729797253,凝西西,女,天津,224,333,106,19岁儿子的行动轨迹呢？,11,2020-02-13 17:50
https://weibo.cn//u/7263630610,一个不能使用转fa功能的孩子,女,其他,168,27,4,图不对 词对,6,2020-02-13 16:57
https://weibo.cn//u/5026356094,GGXTJ,男,其他,1842,95,794,这个视频不对，但看看电视新闻就知道患者居住的楼门是咋回事了,4,2020-02-13 16:56
https://weibo.cn//u/6198600164,我在外滩顶楼看海,男,其他,9,71,29,回复@年迈的小二郎:更简单的，百度街景,0,2020-02-13 16:54
https://weibo.cn//u/6548051895,星域扇区2814的复仇者zy,男,北京,149,43,170,回复@唯有你是奶茶味:+1,0,2020-02-13 16:50
https://weibo.cn//u/1297968604,年迈的小二郎,男,天津,382,194,230,这都不求证，听风就是雨。最简单的办法：找个卖房的网站，搜汇贤里，看看汇贤里的楼是什么样子，对照一下不就得了。,2,2020-02-13 16:48
https://weibo.cn//u/3366175992,大道至简-荻程,女,天津,1328,200,310,造谣者必须严惩,3,2020-02-13 16:47
https://weibo.cn//yebijing,一斤小丸子,女,天津,3923,333,528,昨天这个动图传疯了 辟谣太有必要了🙏🙏🙏,7,2020-02-13 16:45
https://weibo.cn//baicaoaijiu,Eun暖暖,女,天津,3695,204,649,坐等那一家三口，不，现在是一家四口到底怎么说,20,2020-02-13 16:42
