评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2302967195,青草颜竹,女,天津,2273,1034,231, 举报 赞[0] 回复 2020-02-15 22:56:56 来自网页,0,2020-02-15 22:56
https://weibo.cn//u/1254728635,TEAMO-ASH,男,天津,2724,492,285,一定赢！,0,2020-02-15 21:54
https://weibo.cn//u/1824492215,坚定的懒丫头,女,其他,12472,881,892,天津一定行，中国一定赢,0,2020-02-15 23:06
https://weibo.cn//u/2302967195,青草颜竹,女,天津,2273,1034,231,     举报             赞[0]         回复             2020-02-15 22:56:56 来自网页,0,2020-02-15 22:56
https://weibo.cn//u/1254728635,TEAMO-ASH,男,天津,2713,469,284,一定赢！,0,2020-02-15 21:54
https://weibo.cn//venusasaboy,其实很要强,男,天津,4040,5007,1736,希望大雪能把空气里的病毒冻死，等到被隔离的病人全都痊愈后 这场灾难就过去了。,0,2020-02-15 20:30
https://weibo.cn//denglinzl,邓林子乐,女,辽宁,39628,1973,1292,雪过天已晴，我们一定赢！,0,2020-02-15 19:15
https://weibo.cn//u/1422120505,我孙是李刚,男,天津,334,72,1080,"长风破浪会有时,直挂云帆济沧海[加油]",0,2020-02-15 19:03
https://weibo.cn//hrongrong,猴茸茸,女,天津,8675,173,217,加油！,0,2020-02-15 18:55
https://weibo.cn//u/1991247585,fighting快乐2021,女,天津,2103,495,584,会好的,0,2020-02-15 18:52
https://weibo.cn//u/1769998717,洗洗睡吧CCSV8,男,北京,217,6,5,天津加油,0,2020-02-15 18:42
https://weibo.cn//u/5535781269,新西伯利亚的瓦夏,男,天津,93,68,83,一定能早日战胜疫情,0,2020-02-15 18:41
