评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5419178851,谁抢我的cry,男,其他,59,190,89,：原来只是用洒水车消毒，而且只有主道，那农村咧，我们农村人就该死些吗，现在主道上根本就没有什么人走，反而是些小道走的人还多些,0,2020-02-09 13:25
https://weibo.cn//u/6409746154,喵生可期,女,浙江,772,313,64,: 防疫固然重要，但是也不要伤害无辜的猫狗，各官方都已经表明猫狗不会感染也不会传染病毒，请不要伤害它们，谢谢 ,0,2020-02-08 22:50
https://weibo.cn//u/5419178851,谁抢我的cry,男,其他,59,190,89,：原来只是用洒水车消毒，而且只有主道，那农村咧，我们农村人就该死些吗，现在主道上根本就没有什么人走，反而是些小道走的人还多些,0,2020-02-09 13:25
https://weibo.cn//u/6409746154,喵生可期,女,浙江,772,313,64,: 防疫固然重要，但是也不要伤害无辜的猫狗，各官方都已经表明猫狗不会感染也不会传染病毒，请不要伤害它们，谢谢 ,0,2020-02-08 22:50
https://weibo.cn//u/5406759321,有爱的世界2018,女,其他,3400,2274,637,防疫固然重要，但是也不要伤害无辜的猫狗，各官方都已经表明猫狗不会感染也不会传染病毒，请不要伤害它们，谢谢 ,0,2020-02-08 22:49
https://weibo.cn//u/6246746911,未央cd0102,女,其他,0,9,2,乡镇怎么办?还在搞花架子，乡镇人民不配拥有消毒?是乡镇不够严重?,0,2020-02-08 11:39
https://weibo.cn//84891654,米菲纸尿裤张艳,女,湖北,442,441,253,回复@孝感发布:是用什么消毒的？ 车？ 我就住在大马路旁，没有看到有消毒的,1,2020-02-08 10:15
https://weibo.cn//u/3927197001,hh淡入淡出,女,上海,368,201,114,回复@家有小颖宝0904:好的，谢谢🙏,0,2020-02-07 23:16
https://weibo.cn//u/3219927707,家有小颖宝0904,女,广东,93,53,1029,回复@hh淡入淡出:12345，打电话试试,0,2020-02-07 21:58
https://weibo.cn//u/5857345285,YIQIBA_CM,女,广东,1,240,517,请问孝感北站还封着吗,0,2020-02-07 20:26
https://weibo.cn//u/1196974657,三番几点,男,上海,452,787,299,回复@三番几点:是今天屯菜，还是明天直接摘菜吃？,0,2020-02-07 17:47
https://weibo.cn//u/1196974657,三番几点,男,上海,452,787,299,(安陆)各位八里村村民请注意，今天（2月7日）晚上八点开始，八里村全村将进行无人机喷雾消毒，请大家： 1.关紧门窗，避免户外活动； 2.收好户外衣物； 3.提前备好需要田园采摘的青菜； 4.尽量不触摸室外建筑和花草树木 5.以上。 请大家相互转告！请大家相互转告！请大家相互转告！   八里村村委会,0,2020-02-07 17:46
https://weibo.cn//u/2259366017,试吃甜筒,女,浙江,62,222,469,回复@沈摩羯:用洒水车喷的 不是用飞机。,0,2020-02-07 14:58
https://weibo.cn//u/6413705084,安静的美女子0194,女,其他,1,92,3,回复@爱喝水的小帅123:太难了,0,2020-02-07 14:57
https://weibo.cn//u/3927197001,hh淡入淡出,女,上海,368,201,114,紧急求助！！我是汉川市的，各个药店都关门了，老人每天都要服用纷乐！！！买不到药怎么办呀！！！！,0,2020-02-07 14:22
https://weibo.cn//u/7379086117,你的Daddy3,男,其他,10,29,2,为什么孝昌县老城区昨晚没有消毒？,1,2020-02-07 14:08
https://weibo.cn//u/5646803336,勿忘无载,男,北京,5,25,5,回复@孝感发布:镇呢？？？农村呢？？不管了？？,1,2020-02-07 11:07
https://weibo.cn//u/5184082711,_一颗大甜橙_,女,其他,307,140,156,emmmm 农村的路上是怎么消毒的呀,0,2020-02-07 10:38
https://weibo.cn//u/3019438207,妩媚的愛鱼的貓,女,黑龙江,201,167,131,村委会每家每户的都是这么通知的，窗户都关紧了，竟然说是假消息,0,2020-02-07 10:37
https://weibo.cn//u/5364308556,花花yu君君,女,广东,134,143,73,我只想说农村的怎么消毒？消了毒的没有？不要欺骗人民群众,0,2020-02-07 10:16
https://weibo.cn//u/5264686121,杨兰wait,女,湖北,154,189,80,@Fernandar,0,2020-02-07 10:00
https://weibo.cn//u/3774750254,Mr糖不吃-,女,黑龙江,239,437,191,孝南区农村根本没消毒,0,2020-02-07 09:54
https://weibo.cn//601567175,田昌tc,男,湖北,9797,714,3605,回复@William的Emily女皇:是的，而且有些路都封了，确定都喷洒到位了，晚上,1,2020-02-07 09:25
https://weibo.cn//601567175,田昌tc,男,湖北,9797,714,3605,话说农村消毒了,0,2020-02-07 09:22
https://weibo.cn//u/7054412110,用户夤7054412110,男,其他,157,0,28,消毒是真的。听声音像是城市空气净化喷雾车，真的会引响到城区内、外的疏菜和食用品。,0,2020-02-07 08:31
https://weibo.cn//u/5629036784,欣语心yuan,男,湖北,82,175,104,想知道小区消毒不消毒，昨晚上我关了所有门窗闭了整整一夜！,1,2020-02-07 08:27
https://weibo.cn//u/7312064766,小山助之新,男,湖北,147,8,9,回复@爱喝水的小帅123:我爷爷也是晚上起来去摘菜,0,2020-02-07 08:22
https://weibo.cn//u/5735540573,冥冥之中自会相见,女,其他,3740,158,89,昨晚上我家里人都赶紧跑去菜园把菜全摘回来了,1,2020-02-07 08:22
https://weibo.cn//u/5094419726,爱喝水的小帅123,男,湖北,71,323,25,回复@满满喃喃:咱爸太惨了,0,2020-02-06 23:25
https://weibo.cn//u/5744544539,满满喃喃,女,湖北,449,55,23,回复@就让你在我怀里吧:我也听到了。。。,0,2020-02-06 23:21
