评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2387207151,符拉迪沃斯托克余文樂,男,黑龙江,12,393,941,我们大庆的医疗队出发了，孝感加油，湖北加油，我们在祖国的最东北为你们祝福！ ,33,2020-02-12 18:35
https://weibo.cn//u/5600447895,尾生之诺a,女,湖北,57,139,200,山东大哥真的热情，虽然不是对口援助孝感，但是给孝感捐助了一批又一批的物资，感谢！,6,2020-02-12 21:13
https://weibo.cn//u/2401401761,shmily磊哥哥,男,湖北,332,208,75,感谢！,0,2020-02-13 12:24
https://weibo.cn//u/2401401761,shmily磊哥哥,男,湖北,332,208,75,感谢！,0,2020-02-13 12:24
https://weibo.cn//u/5332855548,ThanXina,女,其他,41,376,50,回复@符拉迪沃斯托克余文樂:谢谢你们,0,2020-02-13 09:25
https://weibo.cn//shandongpiyao,山东辟谣,女,山东,7300,227,20521,共克时艰！孝感加油！,1,2020-02-12 21:20
https://weibo.cn//u/5600447895,尾生之诺a,女,湖北,57,139,200,山东大哥真的热情，虽然不是对口援助孝感，但是给孝感捐助了一批又一批的物资，感谢！,6,2020-02-12 21:13
https://weibo.cn//u/5141308920,清风冰霜,女,天津,1875,1038,123,我们县的 还去了一批医疗队 庆云 关键时刻真不错 小小县城 出力出物资 我骄傲,4,2020-02-12 20:59
https://weibo.cn//u/2184605895,粉笔刘颖,女,湖北,1,46,77,回复@符拉迪沃斯托克余文樂:谢谢！！！,0,2020-02-12 20:28
https://weibo.cn//u/2387207151,符拉迪沃斯托克余文樂,男,黑龙江,12,393,941,回复@素语暮年:有机会一定去最美的湖北最亲的孝感去看看,1,2020-02-12 19:44
https://weibo.cn//u/6583061098,素语暮年,女,湖北,23,80,3,回复@符拉迪沃斯托克余文樂:谢谢！！感谢所有兄弟省份驰援我大湖北，待春暖花开战“疫”胜利，欢迎你们来湖北来孝感做客，湖北感恩你们！！,0,2020-02-12 19:33
https://weibo.cn//u/1818257347,Kitty彤姐姐,女,广东,25,288,63,回复@符拉迪沃斯托克余文樂:谢谢,0,2020-02-12 19:23
https://weibo.cn//u/2387207151,符拉迪沃斯托克余文樂,男,黑龙江,12,393,941,回复@好好科研天天向上:加油,0,2020-02-12 19:09
https://weibo.cn//u/2387207151,符拉迪沃斯托克余文樂,男,黑龙江,12,393,941,回复@素语暮年:我们这边的门诊都停了，只留着急诊，门诊的一线医生都抽掉去了孝感，我们没有一句不满，我们知道最需要医生的是你们，是孝感的同胞们。,1,2020-02-12 19:09
https://weibo.cn//u/1929687780,好好科研天天向上,男,黑龙江,3142,1490,282,回复@符拉迪沃斯托克余文樂:谢谢🙏🙏感恩(≧∇≦),0,2020-02-12 19:03
https://weibo.cn//u/6583061098,素语暮年,女,湖北,23,80,3,回复@符拉迪沃斯托克余文樂:五百万孝感人向黑龙江和重庆人民表达最诚挚的谢意，疫情当前，你们不畏艰险不计报酬，给我们送来了急缺的医疗和生活物资，送来了一批又一批保护我们的勇士们，相信在祖国的领导和同胞的援助下，我的家乡一定会很快恢复健康，谢谢你们！愿所有义无反顾奔赴疫情一线的医护人员都能平安回家！！,1,2020-02-12 19:03
https://weibo.cn//u/5994450267,风吹走了的小糖果,女,湖北,1170,147,10135,回复@符拉迪沃斯托克余文樂:谢谢🙏,0,2020-02-12 19:02
https://weibo.cn//u/2330130340,我讨厌化学hm,女,湖北,8447,131,330,回复@符拉迪沃斯托克余文樂:谢谢,0,2020-02-12 19:02
https://weibo.cn//u/2833034262,杨茜是个小太阳,女,湖北,35,140,324,回复@符拉迪沃斯托克余文樂:谢谢大庆,0,2020-02-12 18:52
https://weibo.cn//u/1570191452,弦儿不爱足球爱梅西,女,其他,4500,1007,651,山东真是男友力爆棚，感恩,5,2020-02-12 18:52
https://weibo.cn//u/5251328388,淡淡疏影啊啊,女,其他,782,125,12,谢谢山东,2,2020-02-12 18:50
https://weibo.cn//u/5251328388,淡淡疏影啊啊,女,其他,782,125,12,回复@符拉迪沃斯托克余文樂:谢谢黑龙江～~,0,2020-02-12 18:50
https://weibo.cn//justphp,还给逝去的岁月,男,广东,619,91,229,孝感市云梦县各小区生活用品微信群 都炸了，没有菜提供，孝感市政府不出来关注下吗,4,2020-02-12 18:48
https://weibo.cn//u/6168288900,唯有学习才能静心,女,广东,458,438,16,感谢山东人民和黑龙江人民,4,2020-02-12 18:47
https://weibo.cn//u/2387207151,符拉迪沃斯托克余文樂,男,黑龙江,12,393,941,我们大庆的医疗队出发了，孝感加油，湖北加油，我们在祖国的最东北为你们祝福！ ,33,2020-02-12 18:35
