评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3896037176,一尾流向大海的鱼,女,浙江,566,237,274,麻烦重视乡下干部的落实工作好嘛？人民日报下面都是说让国家督察来安徽省看看，有的乡村真的不到位！麻烦督促乡村干部‼️‼️‼️不容忽视‼️‼️‼️,11,2020-01-30 22:02
https://weibo.cn//u/6098065219,落棋无悔Azy,女,安徽,12351,2357,150,辟谣要及时,3,2020-01-30 22:02
https://weibo.cn//u/6578330184,Swaggy_Oc,女,安徽,199,693,241,合肥之心城购物中心为什么还发博说继续营业？？嫌患者不够多嘛,5,2020-01-30 23:40
https://weibo.cn//u/6327608610,皋定,男,安徽,37,59,69,不信谣不传谣,0,2020-01-31 16:07
https://weibo.cn//u/5410191679,你好哇哒哒哒,男,其他,3,18,12,安庆市望江县太慈镇农村到处都是乱跑的，尤其这几天，就是正常过年的热闹，太危险了，能加强宣传吗？,0,2020-01-31 14:12
https://weibo.cn//u/2669794962,摘星少女s,女,广东,5188,486,284,不要在将来又忘记这些医务工作者！,0,2020-01-31 14:00
https://weibo.cn//u/2691369100,爱吃炸鸡的兔子哥,女,安徽,1491,128,95,不听谣言。在家呆着不去人多地方,0,2020-01-31 09:34
https://weibo.cn//u/2470466211,莫欺霜寒,男,安徽,218,207,101,切勿听信谣言，理性看待疫情信息，保持自信，加油！,0,2020-01-31 09:30
https://weibo.cn//u/1954025005,仍然是小雪,女,上海,542,1526,260,提高媒介素养 绝不轻信谣言！,0,2020-01-31 09:27
https://weibo.cn//shanshan930,夜之衫,女,安徽,2086,438,256,不信谣不传谣！！[加油],0,2020-01-31 09:11
https://weibo.cn//u/6867304700,cch070,男,其他,43,39,61,做成九宫格更加突出辟谣内容，会不会好一点。,0,2020-01-31 09:05
https://weibo.cn//u/3719820150,南川屿汐,男,其他,5,245,171,更新太慢了，确诊检测也太慢了,0,2020-01-31 09:01
https://weibo.cn//u/1744751947,流年的开始,男,安徽,2,76,59,众志成城，安徽加油！,0,2020-01-31 08:31
https://weibo.cn//u/6197353603,wiattingyou,女,其他,3,11,4,做事要有效率，百姓都起床了，还不更新数据，天天催，不想干了是不,1,2020-01-31 08:23
https://weibo.cn//u/5656736494,峰and云,女,安徽,2298,728,136,更新太慢了，迟缓,4,2020-01-31 08:21
https://weibo.cn//u/5656736494,峰and云,女,安徽,2298,728,136,小编上班了,0,2020-01-31 08:21
https://weibo.cn//shmlly,西瓜芒果爱土豆,女,安徽,39,138,310,更新数据啊，安徽每天都是最慢的,3,2020-01-31 08:18
https://weibo.cn//u/5304261861,别带我_,女,安徽,1861,875,207,起来了没！！！！！,0,2020-01-31 07:23
https://weibo.cn//u/6247802630,wanwanwanwanwanwan爱微博,女,其他,1,116,11,安徽的企业都9号复工，但是全体公务员和事业单位都3号复工，请考虑一下给大家配备一下口罩和消毒水呀。,1,2020-01-31 03:29
https://weibo.cn//u/7229286290,兰花君666,女,其他,47,64,1,不造谣不信谣不传谣～咱老百姓不给社会添乱～,0,2020-01-31 00:17
https://weibo.cn//u/6578330184,Swaggy_Oc,女,安徽,199,693,241,合肥之心城购物中心为什么还发博说继续营业？？嫌患者不够多嘛,5,2020-01-30 23:40
https://weibo.cn//u/1948866650,小包子桃乐丝,女,安徽,629,425,250,请问复工延迟通知发了，但是企业根本没执行啊，地方政府也没有相应政策,3,2020-01-30 23:22
https://weibo.cn//mylijia,一直都坚持着,女,江苏,57,34,204,把工作做到实处，一切都不攻自破,0,2020-01-30 22:48
https://weibo.cn//u/6007168180,奇偶不变,男,其他,1,25,14,开始传染无动于衷，始终慢半拍，现在好了,7,2020-01-30 22:37
https://weibo.cn//u/2480541287,普通用户LeexiaO,女,其他,715,228,756,蚌埠有一个去过三院和蚌医的患者  那个是真的还是假的啊？,0,2020-01-30 22:33
https://weibo.cn//u/6042856822,甜甜圈圈喔,女,其他,1168,262,1166,今听闻淮北友谊巷内有隐瞒去过武汉的实情的一家人今天发热打了120 请问是否属实啊,0,2020-01-30 22:27
https://weibo.cn//u/6551009678,直接氪就完了,男,其他,30,6,26,哈哈哈，不怕被拉黑吗？,0,2020-01-30 22:19
https://weibo.cn//u/5293705843,狐狸仙的夏天,女,浙江,470,43,101,弱弱的说声能不能把查证谣言确为不实的证据也发下，这样会更有力度！,7,2020-01-30 22:12
https://weibo.cn//u/6098065219,落棋无悔Azy,女,安徽,12351,2357,150,辟谣要及时,3,2020-01-30 22:02
https://weibo.cn//u/3896037176,一尾流向大海的鱼,女,浙江,566,237,274,麻烦重视乡下干部的落实工作好嘛？人民日报下面都是说让国家督察来安徽省看看，有的乡村真的不到位！麻烦督促乡村干部‼️‼️‼️不容忽视‼️‼️‼️,11,2020-01-30 22:02
