评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2145045612,404_加载无意义,女,其他,5779,540,71,天天造谣的那些家伙不怕没🐴吗？,13,2020-02-05 23:35
https://weibo.cn//u/5726751861,Airshine1213,男,湖北,327,488,1439,这种人不抓起来吗,9,2020-02-06 00:43
https://weibo.cn//u/3265057132,魅力夷陵,女,湖北,2825,253,8389,辟谣！自来水加大了氯气的注入？假的！,0,2020-02-07 22:45
https://weibo.cn//u/6191928252,骑上那单车去拉砂,男,其他,38,75,117,我认为非常时期不署名的消息不准发布。,0,2020-02-13 08:33
https://weibo.cn//u/3265057132,魅力夷陵,女,湖北,2825,253,8389,辟谣！自来水加大了氯气的注入？假的！,0,2020-02-07 22:45
https://weibo.cn//u/5610243532,幸运燒鴨飯的幸运藍友,男,湖北,54,96,651,但是初一那几天 家里的自来水确实很大一股消毒水的味道 水烧几遍才好点 过了两天就没那个味道了,0,2020-02-06 14:05
https://weibo.cn//u/2143012914,飞天大魔王秃皮,女,北京,2061,1814,96,     举报             赞[0]         回复             2020-02-06 13:47:28 来自网页,0,2020-02-06 13:47
https://weibo.cn//u/5626138500,曼曼坚果冲冲冲,女,上海,45,140,85,昨天我烧水喝我爸还给我看了这个谣言🌚,1,2020-02-06 13:10
https://weibo.cn//u/1936686553,Marilem,男,其他,417,64,74,这个时候我觉得可以抓起来了,1,2020-02-06 12:22
https://weibo.cn//u/5637213722,是喜东东啊X,男,其他,49,106,179,造谣biss,1,2020-02-06 11:46
https://weibo.cn//u/3853326066,RunningIntoTheSea,女,其他,18747,540,346,为什么每次会有人造谣这种事情啊,0,2020-02-06 08:24
https://weibo.cn//u/3810580117,听风自歌挽,男,浙江,199,253,374,造谣的能直接抓起来吗？,5,2020-02-06 01:44
https://weibo.cn//u/5726751861,Airshine1213,男,湖北,327,488,1439,回复@Airshine1213:@平安宜昌,0,2020-02-06 00:43
https://weibo.cn//u/5726751861,Airshine1213,男,湖北,327,488,1439,这种人不抓起来吗,9,2020-02-06 00:43
https://weibo.cn//u/2469240357,设计工作者田明,男,广东,145,541,369,造谣一张嘴辟谣跑断腿,5,2020-02-06 00:34
https://weibo.cn//u/2934283710,林夕乙_biu,女,其他,520,185,202,给他抓起来好伐,5,2020-02-05 23:38
https://weibo.cn//u/5790598670,看到请拉我回去学西班牙语,男,湖北,334,154,179,加氯气真的是连高中生都唬不过去，动点脑子。,1,2020-02-05 23:38
https://weibo.cn//u/5105727473,轻羞丿,女,湖北,143,148,66,都这个时候了，还唯恐天下不乱吗,0,2020-02-05 23:37
https://weibo.cn//u/6941844725,DDDGGGZY,男,其他,6,5,5,神奇马赛克，九安城业主群,4,2020-02-05 23:36
https://weibo.cn//u/2145045612,404_加载无意义,女,其他,5779,540,71,天天造谣的那些家伙不怕没🐴吗？,13,2020-02-05 23:35
