评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6482269083,高冬-gfz,男,江苏,117,29,25,想问下滞留在外地的怎么回宜昌？,0,2020-02-23 20:25
https://weibo.cn//u/5485315414,行藏语歌,男,上海,8463,1209,267,@阿九九九_甜食少女,0,2020-02-22 18:54
https://weibo.cn//u/2873195374,圆脸小忆,女,江苏,43,411,509,@林夕女亭orz,0,2020-02-22 16:41
https://weibo.cn//u/6482269083,高冬-gfz,男,江苏,117,29,25,想问下滞留在外地的怎么回宜昌？,0,2020-02-23 20:25
https://weibo.cn//u/5485315414,行藏语歌,男,上海,8463,1209,267,@阿九九九_甜食少女,0,2020-02-22 18:54
https://weibo.cn//u/5107116485,林夕女亭orz,女,湖北,310,248,179,回复@圆脸小忆:,0,2020-02-22 16:52
https://weibo.cn//u/2873195374,圆脸小忆,女,江苏,43,411,509,@林夕女亭orz,0,2020-02-22 16:41
https://weibo.cn//u/5767141241,不敢自称美女_,男,湖北,67,354,94,回复@p0werHu:您去前线就活成人样了,0,2020-02-22 16:40
https://weibo.cn//717897119,宜昌消防,男,湖北,56602,957,218465,【辟谣！这些谣言宜昌市民千万别相信！】,0,2020-02-21 21:27
https://weibo.cn//u/6510710480,林曦6510710480,女,湖北,31,438,52,回复@北山坡上坡最快:3月15号,0,2020-02-21 20:43
https://weibo.cn//xingqi5asj,星琪_sinky,女,上海,8638,281,689,回复@p0werHu:愿意做人就能活成人样呗,0,2020-02-21 20:22
https://weibo.cn//u/6508227235,普罗旺斯4411,女,其他,12,54,8,不用辟谣，到那一天就知道真假了,0,2020-02-21 20:10
https://weibo.cn//u/6012157873,胖冰碎碎念,女,广东,184,346,818,回复@a-_-夏:👌那我明天去社区问问,0,2020-02-21 20:09
https://weibo.cn//fangfang880125,a-_-夏,女,湖北,184,71,158,回复@BY冰昀:表上写了 县市区流通除外…………社区原话：离开大宜昌市范围外，除武汉的城市。,0,2020-02-21 20:04
https://weibo.cn//u/2307045834,江边散人,男,广东,163,394,124,回复@BY冰昀:我也是宜都滴，要去深圳,0,2020-02-21 19:57
https://weibo.cn//fangfang880125,a-_-夏,女,湖北,184,71,158,回复@BY冰昀:城区的,0,2020-02-21 19:57
https://weibo.cn//u/2307045834,江边散人,男,广东,163,394,124,回复@a-_-夏:谢谢，太南了,0,2020-02-21 19:57
https://weibo.cn//u/6012157873,胖冰碎碎念,女,广东,184,346,818,回复@a-_-夏:你们是宜昌哪里呢,0,2020-02-21 19:54
https://weibo.cn//u/6012157873,胖冰碎碎念,女,广东,184,346,818,回复@a-_-夏:我们是要出省的,0,2020-02-21 19:54
https://weibo.cn//fangfang880125,a-_-夏,女,湖北,184,71,158,回复@BY冰昀:不能去武汉。 评论配图,0,2020-02-21 19:53
https://weibo.cn//u/6012157873,胖冰碎碎念,女,广东,184,346,818,回复@a-_-夏:嗯嗯好的 谢谢！,0,2020-02-21 19:51
https://weibo.cn//fangfang880125,a-_-夏,女,湖北,184,71,158,回复@BY冰昀:我也不知道，我也是社区发群里我看到的，你问问你们社区管事的人。我只知道在统计了～,0,2020-02-21 19:50
https://weibo.cn//u/6012157873,胖冰碎碎念,女,广东,184,346,818,回复@a-_-夏:请问宜都这边这样也可以吗？目的地社区证明就可以吗？还需要在“宜安行”登记吗？小程序上面要求的是县级证明呢,0,2020-02-21 19:36
https://weibo.cn//u/6590590218,Onlyyou东东,男,其他,192,477,115,那个船真的很像的，一毛一样的,1,2020-02-21 19:26
https://weibo.cn//u/7385999697,北山坡上坡最快,男,其他,0,5,1,四月十五号湖北解封挺真的！,0,2020-02-21 18:49
https://weibo.cn//u/5030956792,一只猫猫呐,女,湖北,2623,293,2145,感觉遥遥无期，人都绝望了,0,2020-02-21 18:49
https://weibo.cn//fangfang880125,a-_-夏,女,湖北,184,71,158,回复@江边散人:1、填写《离宜人员统计统计表》； 2、申请人能够从目的地开具社区或公司的接收证明，在表格中“目的地同意返回”填1；不能开具接收证明，在“目的地不同意返回”填2；若目的地社区或公司只能开具身份证明，请在备注栏表明； 3、统计时间范围为个人意愿出行时间（最终出行时间以办理结果为准）。,0,2020-02-21 18:47
https://weibo.cn//fangfang880125,a-_-夏,女,湖北,184,71,158,回复@江边散人:目的地接收证明 http://t.cn/A6h8Wao7,0,2020-02-21 18:42
https://weibo.cn//michael1998,三萬英尺梦,男,陕西,10579,543,2110,回复@p0werHu:,1,2020-02-21 18:42
https://weibo.cn//u/6330924190,空巢老貘,女,其他,153,99,820,没有确凿证据，就不要相信任何微信聊天截图 ,0,2020-02-21 18:02
https://weibo.cn//u/6783641990,A镜花堂珠宝设计--西,男,其他,1045,448,99,     举报             赞[0]         回复             2020-02-21 17:58:48 来自网页,0,2020-02-21 17:58
https://weibo.cn//u/2307045834,江边散人,男,广东,163,394,124,滞留在宜的外省人员是不是可以自驾出省了？需要开啥证明？,3,2020-02-21 17:46
https://weibo.cn//p0werHu,p0werHu,男,海外,1308,659,5727,问一下，我们啥时候能活成人样,2,2020-02-21 17:29
https://weibo.cn//yj1959,孤山烈焰inside,女,湖北,21,127,1632,不信谣，多看官方消息。,0,2020-02-21 17:28
