评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5600397669,我要的糖我会得到,女,广东,4832,66,7,辟谣及时…下午的时候我家这边还传说是河溶的，也是从武汉走回来的，然后说明天又要封村…哎，疫情已经让人够烦的了，希望大家不要再造谣来火上浇油，安安静静、本本分分的等待解封吧🙏🙏🙏,3,2020-03-12 21:10
https://weibo.cn//u/6012937065,OLDThorn,男,湖北,55,55,148,造谣的抓起来啊  要追责,3,2020-03-12 21:09
https://weibo.cn//u/1964684013,我要回宜昌,女,广东,0,10,61,滞留在省外的宜昌人什么时候能回家？,36,2020-03-12 21:04
https://weibo.cn//u/3308155335,大Vv的baby,女,湖北,128,51,29,真想骂人了 高速那么多地市都可以办理通行证上 唯独宜昌不允许,1,2020-03-20 12:34
https://weibo.cn//jianghuawei0714,J1ANGhhhvv,女,广东,638,298,1584,回复@星期天的小职员:不管哪个体制都这样,0,2020-03-14 11:22
https://weibo.cn//u/2013528255,Superychen,男,湖北,59,752,5749,当阳政府真的无语 今天又他妈再大街上用喇叭喊戴口罩 搞的人心惶惶？,0,2020-03-13 15:14
https://weibo.cn//u/5299819520,琪琪琪琪琪琪琪琪琪琪琪琪果子,女,湖北,1247,208,92,外省要回宜昌的，你们的健康码绿了吗？,0,2020-03-13 10:43
https://weibo.cn//u/5664405887,橘子的橙子8,男,北京,174,266,80,笑了，刚刚从两河回市区,0,2020-03-13 10:00
https://weibo.cn//u/1926776970,大强VV,男,湖北,23,60,57,刚开始说上面没政策，现在有政策了。下面有不怂了,0,2020-03-13 09:37
https://weibo.cn//u/6511625702,沙漠中的鱼28,男,其他,5,56,21,宜昌有没有领导管滞留宜昌人员出省的事？,0,2020-03-13 08:49
https://weibo.cn//u/2532556685,肥肥的小龙虾,女,湖北,242,269,183,绿码有什么用？？？？？？？？？？？,1,2020-03-13 06:36
https://weibo.cn//u/2532556685,肥肥的小龙虾,女,湖北,242,269,183,绿码有什么用？？？？？？？？？,0,2020-03-13 06:35
https://weibo.cn//u/2532556685,肥肥的小龙虾,女,湖北,242,269,183,绿码有什么用？？？？？？？？,0,2020-03-13 06:35
https://weibo.cn//u/2532556685,肥肥的小龙虾,女,湖北,242,269,183,绿码有什么用？？？？？？,0,2020-03-13 06:35
https://weibo.cn//u/2532556685,肥肥的小龙虾,女,湖北,242,269,183,绿码有什么用？？？？？,0,2020-03-13 06:35
https://weibo.cn//u/2532556685,肥肥的小龙虾,女,湖北,242,269,183,绿码有什么用？？？？,0,2020-03-13 06:35
