评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5694337180,今天的雙涵也要开心鸭,女,其他,24,111,73,害，央视新闻昨天18：43发的，你今天21；00才发，不是我说，你这抄作业都跟不上大部队,26,2020-01-24 21:06
https://weibo.cn//u/5694337180,今天的雙涵也要开心鸭,女,其他,24,111,73,你抄作业都抄的这么慢，抄不die,16,2020-01-24 21:02
https://weibo.cn//u/6134930621,是丹丹姐姐呀,女,其他,28,392,53,信息公开透明，一级响应,11,2020-01-24 21:05
https://weibo.cn//u/6046153943,白格格兔,女,山西,28,118,10,求求大家关注环卫工人，他们基本都是老年人，全年无休上班，天天接触垃圾，但是没有口罩！！！！！！！ ,0,2020-01-25 19:33
https://weibo.cn//u/6354784923,坚定且温和,女,上海,8,89,7,请尽快启动一级响应一级响应一级响应一级响应一级响应一级响应一级响应一级响应！加强宣传力度，特别是小县城和乡镇农村！电视、广播循环播，喇叭喊起来！横幅拉起来！短信多发发！,0,2020-01-25 16:38
https://weibo.cn//u/5653338555,惠惠惠惠惠惠宁,男,山西,4,65,30,你还不一级响应？？？！,0,2020-01-25 12:56
https://weibo.cn//u/5706985709,事上炼心如止水,男,山西,584,129,67,咱山西不能落后，领导任务得做好呀。,0,2020-01-25 12:06
https://weibo.cn//u/5706985709,事上炼心如止水,男,山西,584,129,67,赶紧出台点禁令吧，劝说效果更本不行。春节这一美好节日随时都可能成为疫情的东风。希望政府快速响应，我们群众会极力配合的，让我们一起打赢这场不见硝烟的战争。,0,2020-01-25 12:05
https://weibo.cn//u/5639888622,蕤栉rui,女,山西,1205,216,129,加上宣传！！！！！你电视！！手机！！,0,2020-01-25 09:23
https://weibo.cn//u/6003958784,我必减肥_,女,重庆,185,168,140,太失望了山西政府干点什么吧⚠️ ⚠️ ⚠️ 控制人员流动控制人员流动控制人员流动控制人员流动控制人员流动控制流动⚠️ ⚠️ ⚠️ 在社区里村里广播在社区里村里广播在社区里村里广播在社区里村里广播在社区里村里广播在社区里村里广播⚠️ ⚠️ ⚠️ 拉横幅宣传拉横幅宣传拉横幅宣传拉横幅宣传,0,2020-01-25 09:04
https://weibo.cn//u/6312762480,Qqzynly,女,其他,534,299,202,回复@今天的雙涵也要开心鸭:人家考完试了他才来,2,2020-01-25 07:50
https://weibo.cn//u/6312762480,Qqzynly,女,其他,534,299,202,回复@今天的雙涵也要开心鸭:说得太对了,0,2020-01-25 07:50
