评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2932706720,我想要快乐翻倍,女,其他,7473,234,246,措施即使,19,2020-01-29 10:03
https://weibo.cn//616717696,崔小柒不思基,男,山西,7204,822,5843,不要传播不实信息啊，忻州目前还没有确诊病例！,14,2020-01-29 10:35
https://weibo.cn//u/5843720615,老韩家的胖橘,男,海外,199,174,51,棒棒，措施很及时,8,2020-01-29 10:04
https://weibo.cn//276777721,击剑赵帅,男,山西,186,73,455,那忻州的三例分别是在哪里？,0,2020-02-03 07:29
https://weibo.cn//u/1582919654,远帆浊酒,女,河南,3641,318,1311,建议把确诊病例的行动轨迹整理在一起，供大家自查，好多省市都有病例轨迹和同查询了,0,2020-02-02 16:38
https://weibo.cn//u/6223794384,新娘嫁日私享馆,女,山西,41,284,57,那就发的五台两例是？,0,2020-02-02 15:21
https://weibo.cn//u/5360604324,53453SQ,女,其他,28,232,35,回复@其实这里有个名字:陡咀亲兄弟俩八口人都在武汉居住，武汉疫情爆发后，二儿子一家腊月二十六回五台来！大儿子一家腊月二十九回来！同爹妈一家十口在陡咀村一起居住！期间二儿曾到政务大厅办事！大儿媳村里到处串门，二儿媳曾同八一厂那位同车同路回东天和娘家居住！不知哪个儿子曾来县城置办年货！现确诊的是大儿子大儿媳,0,2020-02-02 12:43
https://weibo.cn//u/5360604324,53453SQ,女,其他,28,232,35,回复@远帆浊酒:陡咀亲兄弟俩八口人都在武汉居住，武汉疫情爆发后，二儿子一家腊月二十六回五台来！大儿子一家腊月二十九回来！同爹妈一家十口在陡咀村一起居住！期间二儿曾到政务大厅办事！大儿媳村里到处串门，二儿媳曾同八一厂那位同车同路回东天和娘家居住！不知哪个儿子曾来县城置办年货！现确诊的是大儿子大儿媳,0,2020-02-02 12:20
https://weibo.cn//u/5360604324,53453SQ,女,其他,28,232,35,回复@哥哥名字叫刘橙:不是,0,2020-02-02 12:19
https://weibo.cn//u/1582919654,远帆浊酒,女,河南,3641,318,1311,才辟谣，就发现两例，扇脸了,1,2020-02-02 10:34
https://weibo.cn//xiaomqi,王小麦xm,男,山西,102,323,513,今天确诊的是不是跟重症咳嗽的同一人？,1,2020-02-02 09:45
https://weibo.cn//u/6331517498,SFannn,男,山西,26,65,27,现在有了，两例，能具体点公布一下吗,1,2020-02-02 09:02
https://weibo.cn//u/7342413300,刘小怂就是芷儿呀,女,山西,54,11,28,回复@游戏g人生96624:你看新闻,0,2020-02-02 09:00
https://weibo.cn//u/6220111431,游戏g人生96624,男,其他,9,157,5,回复@刘小怂就是芷儿呀:没人相信你，怕被抓,0,2020-02-02 08:37
https://weibo.cn//u/2353798133,平头哥是我g,男,其他,354,427,1169,2例了,0,2020-02-02 08:29
https://weibo.cn//u/5794636600,其实这里有个名字,女,山东,716,1024,125,别谣传了宝贝，确诊俩了，公布一下信息啊,4,2020-02-02 08:24
https://weibo.cn//u/6354346471,颖火虫---孤狼,男,山西,42,16,3,然而今天还是有了,0,2020-02-02 08:18
https://weibo.cn//u/5471353781,-张静子-,女,海外,400,124,191,回复@克里斯丁猫:西留属是繁峙的嘛？,0,2020-02-02 08:08
https://weibo.cn//u/7342413300,刘小怂就是芷儿呀,女,山西,54,11,28,五台真的有了,1,2020-02-02 06:58
https://weibo.cn//u/5314844302,哥哥名字叫刘橙,男,山西,1,100,9,今天公布的两例和辟谣的是同一例吗？请问。,10,2020-02-02 06:10
https://weibo.cn//u/5402757304,钗黛难平,女,山西,2660,987,230,气死了，能不能不谣传我今天还要上班啊,0,2020-02-01 10:13
https://weibo.cn//u/5468973751,流苏susu夫人,女,海外,998,468,147,真心希望我们五台不要有,1,2020-02-01 08:39
https://weibo.cn//u/6271610926,恋战end,女,北京,1401,463,21851,山西加油,0,2020-02-01 05:03
https://weibo.cn//u/6220111431,游戏g人生96624,男,其他,9,157,5,有发热咳嗽重症病例，也不算疑似病例，这就不明白了。,0,2020-01-31 23:11
https://weibo.cn//u/3871069970,我真的是大桥123,男,山西,177,87,103,造谣的处罚一波,0,2020-01-31 15:25
https://weibo.cn//u/1804055013,小鑫点小灯,男,其他,65,359,155,加强管理，加强宣传，不希望有人被感染，也不希望有瞒报漏报行为，加油,0,2020-01-31 12:12
https://weibo.cn//hakunamatata34,改了改了改了001,女,上海,7461,489,628,有那种6天后才变成阳性，应该继续隔离观察,2,2020-01-31 08:12
https://weibo.cn//u/5234526001,可丽椰蓉包,女,山西,1884,262,2356,谁发布的谣言了不要吓唬我们啊,0,2020-01-30 23:29
https://weibo.cn//u/7364417211,十七层角落的猫,女,山西,112,392,12,能不能监管一下各地方的拼车顺风车，到处拉人到处跑。太可怕了。,0,2020-01-30 14:47
https://weibo.cn//476191132,serendipity婧,女,山西,2328,248,708,真的很讨厌传谣的人！,0,2020-01-29 12:54
https://weibo.cn//u/5706162867,就是木子na吖,女,山西,526,1299,257,是不是永安村那个，徐向前元帅那个村的是谣言？,0,2020-01-29 11:42
https://weibo.cn//u/3091762490,ujumpijump_,女,其他,5380,1439,205,五台东冶那个吗,1,2020-01-29 10:58
https://weibo.cn//u/5532520707,夜半歌声小太阳,女,山西,174,356,92,是不是繁峙西柳树的那个？,1,2020-01-29 10:44
https://weibo.cn//u/3185074191,当个厨子,男,山西,10207,1268,6925,@Dear丨给力为主丨,0,2020-01-29 10:41
https://weibo.cn//616717696,崔小柒不思基,男,山西,7204,822,5843,不要传播不实信息啊，忻州目前还没有确诊病例！,14,2020-01-29 10:35
https://weibo.cn//u/3176192314,李小柔阿,女,山西,147,71,610,回复@芬芳草丛:自己翻着看,0,2020-01-29 10:26
https://weibo.cn//u/3181700584,浩宸唯爱lgx,男,北京,140,320,283,发布谣言的给我惩罚！,4,2020-01-29 10:19
https://weibo.cn//u/6880253809,不过专四不去当猪,女,山西,671,131,58,优秀,1,2020-01-29 10:15
https://weibo.cn//u/2715909634,嫚儿er,女,北京,616,231,171,工作人员也要注意病人隐私呀[加油],5,2020-01-29 10:14
https://weibo.cn//u/3109497441,猴年猴月猴子日,女,山西,23,67,271,赞一个！！！,0,2020-01-29 10:13
https://weibo.cn//u/5124376353,喜欢菲比和麦克,女,上海,104,361,184,回复@芬芳草丛:哪里没公布.....？？,0,2020-01-29 10:12
https://weibo.cn//u/5833163230,废er光,女,其他,2708,75,842,优秀！！！,3,2020-01-29 10:09
https://weibo.cn//u/2932706720,我想要快乐翻倍,女,其他,7473,234,246,回复@亿澈Pipes:,0,2020-01-29 10:06
https://weibo.cn//u/6587616771,亿澈Pipes,女,山西,0,11,10,回复@零卡橘子汁:及时,0,2020-01-29 10:05
https://weibo.cn//u/5843720615,老韩家的胖橘,男,海外,199,174,51,棒棒，措施很及时,8,2020-01-29 10:04
https://weibo.cn//u/6512733767,曹骏的圈外女友,女,河北,828,125,72,有没有口罩，可以发货的,1,2020-01-29 10:03
https://weibo.cn//u/2932706720,我想要快乐翻倍,女,其他,7473,234,246,措施即使,19,2020-01-29 10:03
https://weibo.cn//u/3555821284,真可怜让木木抱抱你,女,山西,655,143,148,很棒     举报             赞[1]         回复             2020-01-29 10:03:09 来自网页,1,2020-01-29 10:03
