评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5600447345,-暴躁小侯,女,山西,228,362,48,麻烦公布具体公布一下确诊病例的信息吧不要造成民众恐慌,5,2020-01-27 13:26
https://weibo.cn//u/2392181107,阿拉是灯神,女,其他,59,27,146,麻烦公布病例时详尽病患接触范围，谢谢。,37,2020-01-27 09:00
https://weibo.cn//yangyangshushu,洋洋叔叔超级棒,男,海外,8,57,12759,出门做好防护措施，注意安全，去没有紧急事情，尽量避免出门。,19,2020-01-27 08:55
https://weibo.cn//u/5828844692,阿婕大宝宝cui,女,山西,803,753,216,这几天柳林可以开私家车到太原吗,0,2020-01-31 22:24
https://weibo.cn//u/3100696480,ruwanz,女,天津,576,218,59,请问太原高速什么时候解封？,0,2020-01-30 20:00
https://weibo.cn//u/6504122372,xxxx小祖宗_,女,山西,26,44,195,所以公交车出租车停了吗,0,2020-01-28 19:46
https://weibo.cn//539233678,什么和什么的什么是什么,女,其他,120,25,497,现在还能开车去太原吗？,0,2020-01-28 13:32
https://weibo.cn//u/6135773115,霞阿霞阿,女,其他,1,128,3,明天可以去太原吗？,0,2020-01-28 00:15
https://weibo.cn//u/5675338240,怪我懦弱,男,山西,625,225,814,但医院对面的饭店商铺都关了 住院的我天天吃泡面,0,2020-01-27 21:49
https://weibo.cn//u/5495816429,Real白小灿,女,山西,6,128,142,我真觉得路可以封 山西省内就算了 跨省真的可怕,0,2020-01-27 21:29
https://weibo.cn//u/3564403230,董小姐的潮牌店,女,其他,69,374,69,我建议封城把，我们初五就要上班,0,2020-01-27 18:24
https://weibo.cn//u/5728103389,希望能够看到光,男,山西,87,156,12,太原私家车还能进去么。,0,2020-01-27 18:11
https://weibo.cn//u/3263340862,起名好麻烦,女,山西,721,765,127,餐饮企业没有要求关吗？我们家附近的饭店全都在低价处理菜呀，鱼呀,0,2020-01-27 17:04
https://weibo.cn//u/6011095895,想在雨天睡午觉,女,山西,404,263,60,我觉得餐饮场所可以关，减少聚餐,0,2020-01-27 16:57
https://weibo.cn//u/1073242730,平凡6889,男,山西,11236,1342,756,一级响应不如预防措施严格一些，要对疫情严防死守,0,2020-01-27 16:34
https://weibo.cn//u/6622188702,一粒白芥子,男,其他,918,56,70,听到要封城开心的要跳起来了，一辟谣又慌了,0,2020-01-27 14:22
https://weibo.cn//u/3529423303,度十五向南东,女,山西,2488,143,207,我们这也隐约有这种说法，但是还没有到这个地步，不需要,0,2020-01-27 14:14
https://weibo.cn//shanxifabu,山西发布,男,山西,31607,735,350160,回复@自话自说的团子:小布有最新消息会第一时间公布的,0,2020-01-27 13:46
https://weibo.cn//u/2856491594,我知道好多秘密就不告诉你-,女,山西,59,187,170,太原市领导班子不会还在春节休假期间吧……坐标万柏林区，小区一点动静也没有，连个大喇叭📣宣传都没，还不如地市县城工作到位！,0,2020-01-27 13:41
