评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5239439178,你的孤独虽败犹荣1122,女,海外,3049,267,158,封了也可以,13,2020-01-27 09:22
https://weibo.cn//u/2880507515,梅子青-时,女,其他,755,326,208,麻烦让忻州市原平市政府动一动，该上报的不上报，该宣传的不宣传，有点措施，让我们看的见的措施。,3,2020-01-27 10:21
https://weibo.cn//u/2398512071,画外人易朽er,女,陕西,21771,244,1687,山西数据更新一下 现在到底几例啊,1,2020-01-27 09:49
https://weibo.cn//u/6049911599,稚酒酒,男,其他,86,66,42,可是大巴没有了…怎么去郑州,0,2020-01-28 12:41
https://weibo.cn//u/5180417179,南宫贞贞,女,北京,820,62,76,回复@太行是我家:他随便跑就对了？凭啥不能挡外面？这跟封村封路不一个道理吗？真的是搞笑？！,0,2020-01-27 19:03
https://weibo.cn//u/6902901172,卡蜜尔wink,男,山西,0,4,13,回复@南桔妞妞:我们村就没有广播这个东西。我都没说啥,0,2020-01-27 17:42
https://weibo.cn//u/2902388353,太行是我家,男,山西,489,736,417,回复@南宫贞贞:有一说一 我不该这样说 您这说的也不对呀 怎么能把人家挡外边呢 现在就别搞地域了 这疫情赶紧结束才是头等大事,0,2020-01-27 17:15
https://weibo.cn//u/5180417179,南宫贞贞,女,北京,820,62,76,回复@太行是我家:你说话有水平,0,2020-01-27 15:50
https://weibo.cn//u/2902388353,太行是我家,男,山西,489,736,417,回复@南宫贞贞:我说你欠拾坎,0,2020-01-27 15:38
https://weibo.cn//u/5180417179,南宫贞贞,女,北京,820,62,76,回复@太行是我家:那你告诉我，怎么说就有水平,0,2020-01-27 15:05
https://weibo.cn//u/2902388353,太行是我家,男,山西,489,736,417,回复@南宫贞贞:你这话说的太没水平,0,2020-01-27 14:25
https://weibo.cn//u/1815265957,励志瘦到九十斤-,女,山西,6,112,87,我现在好像回家,0,2020-01-27 12:23
https://weibo.cn//u/1915027224,感冒的妞妞,女,山西,26,29,16,回复@栀子是橘色:重视这次疫情,0,2020-01-27 11:04
https://weibo.cn//u/2880507515,梅子青-时,女,其他,755,326,208,麻烦让忻州市原平市政府动一动，该上报的不上报，该宣传的不宣传，有点措施，让我们看的见的措施。,3,2020-01-27 10:21
https://weibo.cn//u/3778102532,Cherry樱桃ily,女,山西,1322,226,171,啊,0,2020-01-27 10:19
https://weibo.cn//u/5180417179,南宫贞贞,女,北京,820,62,76,我希望山西政府能严把山西交通，我们那领导是河南的，他说他初七还要回太原上班，能不能把河南的挡外面，别把河南的病菌带到我们大山西，河南现在新增病例那么多，我是真的很害怕啊,0,2020-01-27 10:18
https://weibo.cn//u/5706162867,就是木子na吖,女,山西,526,1299,257,回复@陌上桑cyan:现在总共13例,0,2020-01-27 10:13
https://weibo.cn//u/5840157472,纯黑贺卡,男,北京,82,106,7,为什么不封？,0,2020-01-27 09:57
https://weibo.cn//u/2398512071,画外人易朽er,女,陕西,21771,244,1687,山西数据更新一下 现在到底几例啊,1,2020-01-27 09:49
https://weibo.cn//u/1862348837,每天都挺困_,男,山西,24,228,70,请封城，延长假期至10日,1,2020-01-27 09:42
https://weibo.cn//u/6990641740,栀子是橘色,女,山西,27,15,8,我就想知道晋中到时九个感染者还是两个感染者，村里广播说是九个。,3,2020-01-27 09:33
https://weibo.cn//u/6326931679,指尖花凉_81924,女,山西,5242,864,1610,吓着我了,1,2020-01-27 09:25
https://weibo.cn//u/5896540319,大大大大大大大大倩倩,女,山西,235,77,28, 没封,1,2020-01-27 09:24
https://weibo.cn//u/6504200543,checktheluv,女,山西,9,33,3,有没有新增？,0,2020-01-27 09:22
https://weibo.cn//u/6996800052,希望照在大路上我会勇敢往前走,男,其他,43,52,50,出现确诊的城市都启动吧！前天刚看到有武汉的车停在临汾小区，今天就有临汾确诊的了,4,2020-01-27 09:22
https://weibo.cn//u/5239439178,你的孤独虽败犹荣1122,女,海外,3049,267,158,封了也可以,13,2020-01-27 09:22
