微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
JAn4Ex2KE,#网传北京宣布进入战时状态系谣言#【辟谣！#网传北京市委市政府紧急通知不实# 】12月25日，网上有传言称，转发北京市委市政府紧急通知，北京宣布进入“战时”状态。外地进京包括外出返京人员需隔离21天。返京人员除要求21天医学观察期满之外，还需持7日内核酸检测阴性证明。经向北京防控办核实，此为谣言。提醒广大市民朋友，从权威渠道获取信息，不信谣、不传谣。#微博辟谣# @北京日报 原图 ,,http://wx3.sinaimg.cn/large/001pe9JRly1gm26fjmmlmj60ad07swek02.jpg,无,TRUE,无,无,2020/12/27 10:00,微博 weibo.com,21,10,28,1
JAdsN0Jmj,#网传北京宣布进入战时状态系谣言#【辟谣！#网传北京市委市政府紧急通知不实# 】12月25日，网上有传言称，转发北京市委市政府紧急通知，北京宣布进入“战时”状态。外地进京包括外出返京人员需隔离21天。返京人员除要求21天医学观察期满之外，还需持7日内核酸检测阴性证明。经向北京防控办核实，此为谣言。提醒广大市民朋友，从权威渠道获取信息，不信谣、不传谣。@北京日报 原图 ,,http://wx4.sinaimg.cn/large/001pe9JRly1gm10107euej60ad07swek02.jpg,无,TRUE,无,无,2020/12/26 9:32,微博 weibo.com,59,12,35,1
JyqCherPX,"转发理由:幸亏及时辟谣，真是够吓人的//@北京政法: 辟谣：#武汉一小区紧急隔离是在拍电影#  
原始用户: 环球网
转发内容: 【#武汉一小区紧急隔离是在拍电影#：拍的是电影《中国医生》 】近日，湖北武汉。有网友在社交平台上发布短视频，称武汉一小区临时封闭，身穿防护服的医护人员在这里全员排查，视频中有救灾帐篷、警车、身穿防护服的人员等出现。据长江日报报道，该视频实为电影《中国医生》拍摄场景，剧组已发布声明辟谣，未来数天还将在江岸区部分小区取景。http://t.cn/A6q5C5Nk via澎湃新闻 ",,无,无,FALSE,无,无,2020/12/14 15:20,微博 weibo.com,6,3,1,3
JcnvYaS2a,#微博辟谣# 注意！下面这些关于新疆涉疫情的信息，千万不要信，这些都是谣言 @首都网警 带您#疫起捉谣# 网警提示：一定要从权威媒体、官方渠道了解疫情信息，切勿轻信、传播非正规来源、未经证实的疫情信息，更不得编造散布涉疫情不实信息和虚假疫情防控措施。  [组图共7张] 原图 ,,"http://ww3.sinaimg.cn/large/4cd3493fly1ggzp4jjhmpj20j60j6gnv.jpg,http://ww2.sinaimg.cn/large/4cd3493fly1ggzp4jlx6kj20j60xi412.jpg,http://ww1.sinaimg.cn/large/4cd3493fly1ggzp4jlpfbj20j60xk76z.jpg,http://ww4.sinaimg.cn/large/4cd3493fly1ggzp4jseftj20j60xkn0e.jpg,http://ww1.sinaimg.cn/large/4cd3493fly1ggzp4jn70yj20j60xkmzn.jpg,http://ww3.sinaimg.cn/large/4cd3493fly1ggzp4jlv1ij20j60xkad4.jpg,http://ww3.sinaimg.cn/large/4cd3493fly1ggzp4jmsrqj20j60xktba.jpg",无,TRUE,无,无,2020/7/22 15:00,微博 weibo.com,7,11,2,1
J7vrIwBtS,#微博辟谣#【这些关于北京的疫情谣言，别信别传！】北京餐饮业全部停业做核酸？王府井、金融街有确诊病例？接待北京客人核酸检测阳性？ @首都网警 带您#疫起捉谣# 不造谣、不信谣、不传谣，一起看清真相，识破谣言。  [组图共10张] 原图 ,,"http://ww3.sinaimg.cn/large/4cd3493fly1gfxpwao8b2j20j60j6jtn.jpg,http://ww4.sinaimg.cn/large/4cd3493fly1gfxpwaowoaj20j60xkadc.jpg,http://ww3.sinaimg.cn/large/4cd3493fly1gfxpwark18j20j60xk42i.jpg,http://ww2.sinaimg.cn/large/4cd3493fly1gfxpwax4j8j20j60xk41g.jpg,http://ww3.sinaimg.cn/large/4cd3493fly1gfxpwaqhzqj20j614dq7z.jpg,http://ww3.sinaimg.cn/large/4cd3493fly1gfxpwaq2dbj20j60xk0wl.jpg,http://ww1.sinaimg.cn/large/4cd3493fly1gfxpwasal0j20j60xkgoy.jpg,http://ww2.sinaimg.cn/large/4cd3493fly1gfxpwau3abj20j60xktcg.jpg,http://ww2.sinaimg.cn/large/4cd3493fly1gfxpwav4v6j20j60xk77a.jpg,http://ww3.sinaimg.cn/large/4cd3493fly1gfxpwaydsoj20j60xkdj7.jpg",无,TRUE,无,无,2020/6/20 14:00,微博 weibo.com,17,31,26,1
J6TRQEdRf,#微博辟谣#【最新北京疫情谣言，大家千万不要信！】北京地铁为防疫卸掉座椅？北京五棵松华熙沦陷？北京断粮？ @首都网警 带您#疫起捉谣#   希望大家面对疫情，人心不乱，不恐慌、不信谣、不传谣，加油[加油]#万众一心 百毒不侵#  [组图共5张] 原图 ,,"http://ww4.sinaimg.cn/large/4cd3493fly1gftyfv9cqaj20j60j6gnv.jpg,http://ww2.sinaimg.cn/large/4cd3493fly1gftyfvg16rj20j60xkq5u.jpg,http://ww4.sinaimg.cn/large/4cd3493fly1gftyfvqp4pj20j60xkq69.jpg,http://ww3.sinaimg.cn/large/4cd3493fly1gftyfvqo77j20j60xkadk.jpg,http://ww3.sinaimg.cn/large/4cd3493fly1gftyfwb0lej20j60xk0wb.jpg",无,TRUE,无,无,2020/6/16 14:20,微博 weibo.com,64,43,36,1
J6KHBbFga,#微博辟谣#【关于北京疫情，这些都是谣言别信！】北京市近日连续暴发新冠肺炎确诊病例和核酸检测阳性病例，随之而来的就是关于北京疫情的谣言……别慌！@首都网警 带您#疫起捉谣#  呼吁：防控不能松懈，重视但不恐慌，保持冷静与理智就是对疫情防控的最大支持！  [组图共5张] 原图 ,,"http://ww2.sinaimg.cn/large/4cd3493fly1gfsycjlarij20j60j676j.jpg,http://ww3.sinaimg.cn/large/4cd3493fly1gfsycjkbi6j20j60xkq5p.jpg,http://ww3.sinaimg.cn/large/4cd3493fly1gfsycjkdmyj20j60zn41k.jpg,http://ww3.sinaimg.cn/large/4cd3493fly1gfsycjlvztj20j61bxtes.jpg,http://ww3.sinaimg.cn/large/4cd3493fly1gfsycjnk11j20j60xkn0r.jpg",无,TRUE,无,无,2020/6/15 15:00,微博 weibo.com,35,30,15,1
ICdhiCQbB,#微博辟谣#【发生冒充防疫人员入户抢劫系谣言】近日，丰台某些社区张贴出“有假冒防疫人员入室抢劫的防范提醒”，经核实，该消息为不实信息，我分局并未接到此类警情。 @丰台警事  原图 ,,http://wx3.sinaimg.cn/large/4cd3493fly1gdl38b4wltj20j60pk77i.jpg,无,TRUE,无,无,2020/4/7 14:00,微博 weibo.com,31,7,17,1
IydWnvp6B,#疫情辟谣#【辟谣！网传北京4月开学系谣言】据@北京市教委 近日，“北京4月6日大学、中学开学，4月20日小学、幼儿园开学”的消息在多个微信群和朋友圈流传。对此，北京市委教育工委、市教委明确表示，这是一条虚假信息。北京当前疫情防控形势依然严峻复杂，特别是境外疫情呈加速扩散蔓延之势，成为首都防控新的挑战。在这最吃劲的关键阶段，各项防控一刻都不能放松，任何一个环节和细节都不能疏忽。北京开学时间仍要视疫情发展来定。请大家以官方权威发布为准，不造谣、不信谣、不传谣！ 原图 ,,http://wx1.sinaimg.cn/large/4cd3493fly1gcqdw62gs9j208c08s3zq.jpg,无,TRUE,无,无,2020/3/12 8:20,微博 weibo.com,235,58,85,2
Iy6bvxNxj,"转发理由:辟谣辟谣辟谣  
原始用户: 北京政法
转发内容: #辟谣#【3月16日北京居民出行正常化？24日全面复工？均属谣言！】近日，两条谣言在多个微信群和朋友圈流传。一条声称“北京市政府会议精神，3月16日居民出行正常化，17日公交正常化……”，还有一条称“北京本月24日（两周后）开始，结束全市一级响应及轮班居家办公模式，有序全面复工……”记者从北京疫情防控领导小组办公室核实获悉，以上两条网传内容均不属实。小政：请大家以官方权威发布为准，擦亮眼睛，不造谣、不信谣、不传谣！@北京青年报 #3月16日北京居民出行正常化是谣言# #北京24日全面复工系谣言# 原图 ",,无,http://wx1.sinaimg.cn/large/98f62377gy1gcpsj55jkuj20gs09njs7.jpg,FALSE,无,无,2020/3/11 12:35,微博 weibo.com,49,27,34,1
