评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//yigerendeziliudi,片片油麻菜田,女,其他,1962,104,106,首先，他可能根本进不了小区……,13,2020-04-07 14:16
https://weibo.cn//u/1224170504,独自行歌,男,重庆,1114,120,47,确认是造谣的话，给它抓起来，毙了,1,2020-04-07 14:20
https://weibo.cn//u/1075432464,李钊的围脖,男,北京,121,119,79,感谢物业与社区工作人员，在疫情防控期间的尽职尽责！希望在复工复产的趋势下，适时研究开放维修人员、大件货物运送人员进入小区的渠道。,1,2020-04-07 14:04
https://weibo.cn//u/1171250422,人重言轻,男,北京,363,60,832,瞎掰，怎么能进小区？,0,2020-04-15 13:34
https://weibo.cn//u/1987532487,星和麻辣烫,女,北京,157,353,210,这是copy美国的情况来造谣,0,2020-04-08 06:37
https://weibo.cn//u/2201679085,Mr_MrX,男,其他,4586,202,534,回复@vi_viW:真的不理解就爱转发微信这那消息的人,0,2020-04-07 23:15
https://weibo.cn//menghuadongjing,东京梦华录,女,北京,6242,187,297,回复@片片油麻菜田:没错，我第一反应也是这个,0,2020-04-07 20:35
https://weibo.cn//u/2606978215,热心北京市民,男,其他,4,114,11644,造谣生事的人抓到没有，拘留十五天,1,2020-04-07 20:33
https://weibo.cn//u/2930567351,毛驴在旅途,男,其他,1048,28,1244,针对造谣者严惩不贷，公布于众！,0,2020-04-07 16:22
https://weibo.cn//u/1655853167,吴小王sam,男,海外,579,73,63,@Magic祉轩,0,2020-04-07 16:11
https://weibo.cn//viviaixi,vi_viW,女,北京,1575,403,580, 好多都是假消息,0,2020-04-07 15:12
https://weibo.cn//ghw0602zhg,越野纯子,女,北京,843,100,90,他根本进不去小区,0,2020-04-07 15:00
https://weibo.cn//206066821,卷喵_高冷逗比,女,北京,1245,146,424,我们小区物业也发这个通知了，槽点太多不知从哪句开始说起。,0,2020-04-07 14:35
https://weibo.cn//u/2419862045,Bigtree啦啦,男,北京,6,27,90,徐晓东复工复产那个事儿怎么处理的 态度极其嚣张 推特明明写着收学员,0,2020-04-07 14:27
https://weibo.cn//u/1224170504,独自行歌,男,重庆,1114,120,47,确认是造谣的话，给它抓起来，毙了,1,2020-04-07 14:20
https://weibo.cn//yigerendeziliudi,片片油麻菜田,女,其他,1962,104,106,首先，他可能根本进不了小区……,13,2020-04-07 14:16
https://weibo.cn//u/6042683906,阿喵的生鱼片,男,北京,585,110,38,这不是发生在自由民主美利坚吗,0,2020-04-07 14:11
https://weibo.cn//u/5884798329,昵称1428,男,海外,33,77,31,这是前一阵美帝的警情，也有些日子了,0,2020-04-07 14:08
https://weibo.cn//chanjing925,mtykxy,女,其他,2770,1769,20,虽是误读  但也算给大伙提醒了鸭,0,2020-04-07 14:05
https://weibo.cn//u/1075432464,李钊的围脖,男,北京,121,119,79,感谢物业与社区工作人员，在疫情防控期间的尽职尽责！希望在复工复产的趋势下，适时研究开放维修人员、大件货物运送人员进入小区的渠道。,1,2020-04-07 14:04
