评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2127601641,乡村青年陈先生,男,江苏,4856,785,4451,请问田鸡也可以销售？田鸡是青蛙，属于国家三有保护动物！这个可以捕捉、销售？？？,5,2020-02-22 09:56
https://weibo.cn//weixiao2009,狂野塞伦盖蒂,男,北京,3958,243,396,言外之意，那就是接着吃呗……,2,2020-02-22 10:30
https://weibo.cn//spencershu,sumuruhala,男,北京,1049,59,253,发布一个真的吧,1,2020-02-22 10:52
https://weibo.cn//u/3149373101,TAT__l,男,北京,135,96,41,回复@乡村青年陈先生:啥理解能力啊,0,2020-02-24 17:58
https://weibo.cn//u/5653907368,西文37077,男,其他,1839,810,254,回复@北京盛民堂诊所:骗了我们的钱不还,0,2020-02-22 17:12
https://weibo.cn//u/7119150972,北京盛民堂诊所,男,北京,28,16,66,都知道是谣言了还转发它干啥,0,2020-02-22 16:47
https://weibo.cn//u/7119150972,北京盛民堂诊所,男,北京,28,16,66,回复@西文37077:这日子口你是心真大，你就当他们都得病了,0,2020-02-22 16:01
https://weibo.cn//u/2290670370,泡醋专业户,女,其他,1106,533,1263,回复@工大范德彪:太好了,0,2020-02-22 13:58
https://weibo.cn//527078910,不瘦十斤不改名字sph,男,北京,2324,435,1208,都不吃。。。,0,2020-02-22 13:51
https://weibo.cn//u/2858313977,工大范德彪,男,黑龙江,216,156,87,@泡醋专业户,0,2020-02-22 13:46
https://weibo.cn//u/5593389807,壹時六,女,其他,795,320,47,吓死我了，我以为我再也吃不上牛蛙了,0,2020-02-22 13:35
https://weibo.cn//ylwxyb,友联网,女,江苏,207,549,236,野生的确实不可以吃了，但是养殖的可以吃啊！可这个养殖和野生该怎么区别？,0,2020-02-22 12:59
https://weibo.cn//u/3090518875,六有新人,男,北京,1,2065,303,这名单里连毒源蝙蝠都没有,0,2020-02-22 12:09
https://weibo.cn//u/5394332206,请叫我小哲丶_35418,男,山西,47,209,94,好多评论好蠢啊，人家说的是“网传禁食名单”是谣言，并不等于这些名单上面的东西就都能吃，简单的阅读理解。,0,2020-02-22 11:33
https://weibo.cn//u/1823748081,馨仪已久,女,北京,3076,126,1424,就算禁了能怎么着啊，非得吃啊,0,2020-02-22 11:19
https://weibo.cn//spencershu,sumuruhala,男,北京,1049,59,253,发布一个真的吧,1,2020-02-22 10:52
https://weibo.cn//201222127,范洁阳,男,北京,32,44,1899,@后背八块腹肌,0,2020-02-22 10:47
https://weibo.cn//u/6327716862,隋东明的微博,男,北京,9134,4565,2214, 恳请北京市公安局的领导关注一下我发给您的私信,0,2020-02-22 10:39
https://weibo.cn//weixiao2009,狂野塞伦盖蒂,男,北京,3958,243,396,言外之意，那就是接着吃呗……,2,2020-02-22 10:30
https://weibo.cn//u/5605003211,紫馡萸,女,江苏,334,866,222,难道这些不应该禁？还是谣言！老天,1,2020-02-22 10:14
https://weibo.cn//u/6327716862,隋东明的微博,男,北京,9134,4565,2214,回复@隋东明的微博:所以我在此请求北京市公安局的领导依法责令北京市公安局刑事侦查总队受理此案，并对此案立案调查，同时请求局领导对此案进行督办，并对不依法受理此案的相关人员进行查处，以尽快的使受害者摆脱控制，讨得公道，感激不尽！！！ @平安北京,0,2020-02-22 10:09
https://weibo.cn//MoreSound,摩声MoreSound,男,广东,114,205,75,果子狸出现两次，严重错误，正规文件的话怎么可能出现这种低级错误？,1,2020-02-22 10:04
https://weibo.cn//zhangbudadewa,长不大的同学,男,北京,10923,198,11859,这次的伤，可还没愈合呢,1,2020-02-22 09:58
https://weibo.cn//u/2127601641,乡村青年陈先生,男,江苏,4856,785,4451,你不懂就别乱发布！蛇、田鸡等都是国家三有保护动物，禁止捕捉，那肯定禁止食用了！,1,2020-02-22 09:57
https://weibo.cn//u/2127601641,乡村青年陈先生,男,江苏,4856,785,4451,请问田鸡也可以销售？田鸡是青蛙，属于国家三有保护动物！这个可以捕捉、销售？？？,5,2020-02-22 09:56
https://weibo.cn//u/5653907368,西文37077,男,其他,1839,810,254,涉嫌非法集资合同诈骗！位于顺义的北京中投互贸投资有限公司，打着一带一路旗号，号称与新华社瞭望智库合作，能给企业带来订单，集合外交部退休大使李德彪，卢秋田，程涛，胡乾文等，先交钱后订合同，一律写“赞助费”，税都不用交！该公司这两年在全国各地注册了近百家社保0人的皮包公司，意图何为？,1,2020-02-22 09:52
