评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2125046283,极乐池绫儿,女,其他,13657,497,3479,吃饱了撑的，这种人直接割掉舌头,1332,2020-02-22 23:44
https://weibo.cn//u/5394048082,lijunyi51818,男,天津,21,73,29,就特么讨厌造谣这种人！这种人真尼玛缺德！,714,2020-02-22 23:47
https://weibo.cn//u/7283364547,来点石锤,男,北京,25334,405,415601, 利用疫情造谣的必须严惩！,288,2020-02-22 23:48
https://weibo.cn//u/5687956900,才不会吃胖,女,其他,26,81,55,傻子才信,0,2020-03-11 16:23
https://weibo.cn//u/3635960685,刺槐007,女,福建,1305,786,403,是真实的,0,2020-02-29 22:31
https://weibo.cn//u/7377608783,爱吃奇异果的赖,女,北京,9,55,2,这种人应该让她去一线治疗所清厕所去 在家太闲了,0,2020-02-26 17:26
https://weibo.cn//u/1788230181,不再愤世嫉俗的小妖怪,男,北京,552,156,572,能说说武汉来京的那个病例吗？是不是谣言，不是的话，她是怎么从武汉出来的？,0,2020-02-26 17:12
https://weibo.cn//u/7373314344,麻木不仁345,男,其他,40,60,44,警察同志你好：我受到威胁他们从我20岁到现在骚扰我们，年初一也从不停止，我谈女友他的威胁，好不容易结了婚也坏事做尽，夫妻生活也用在他們眼底，科技发达，说话和心跳身体活动一览无余，最近我到各个公安部门告发她们却越来越恶，威胁到非玩死你、耗死你，求助,0,2020-02-26 12:55
https://weibo.cn//u/1929573650,四火哥哥无脑吹,女,北京,2028,58,141,请问在哪里可以举报造谣？,0,2020-02-25 18:32
https://weibo.cn//yovibubu,Yovina榕榕,女,海外,476,640,25147,京东确实差劲,0,2020-02-25 02:33
https://weibo.cn//u/2700420402,缺钙月光,女,北京,4427,732,420,明尼苏达大学那女生的亲戚吗？,0,2020-02-24 23:28
https://weibo.cn//wz78119,德比会俱乐部,男,北京,54,2055,49720,这种人添油加醋对企业造成影响的，应该判刑的。,0,2020-02-24 22:34
https://weibo.cn//u/2295656524,抱歉此评论已被删除,男,海外,1209,852,517,回复@一个小荒岛:要是神经病，就使劲造谣吧，对别人有啥损失啊？ 正常人不会造谣，心里有鬼的人把真相当谣言。,0,2020-02-24 19:20
https://weibo.cn//kngame,恺英网络,男,上海,1137,77,6152, ,0,2020-02-24 17:48
https://weibo.cn//kngame,恺英网络,男,上海,1137,77,6152, ,0,2020-02-24 17:46
https://weibo.cn//u/5694341181,汉川小哥,男,湖北,38,85,137,回复@一个微小的红衣男孩:外媒那一套诋毁中国的手段你相信了又能如何？你无力改变任何事，如果你真觉得外国的月亮圆，外国的屁香，你可以移民。,2,2020-02-24 09:54
https://weibo.cn//u/5694341181,汉川小哥,男,湖北,38,85,137,回复@miu小九:没什么好呵呵的，因为事实真相就是这样，即使现在国家给予他奖励或者荣誉也好，我个人并不觉得他是医生里面的北斗泰山，一个医生在是不是非典的情况下都不清楚就说确诊的非典，一点医生的严谨性都没有。,2,2020-02-24 09:51
https://weibo.cn//u/5694341181,汉川小哥,男,湖北,38,85,137,回复@一个微小的红衣男孩:在你认知里国内的权威你不相信，你要相信外媒的，这样对你有什么好处？,2,2020-02-24 09:48
https://weibo.cn//u/6389822980,为你呐喊的声音不因输赢而停止,女,其他,337,100,38,理解不了造谣的人，对自己有啥好处呢？,0,2020-02-24 09:43
https://weibo.cn//272233653,Joyce惜雨,女,上海,2747,1459,722227,回复@猎杀黑中介:嗯,0,2020-02-24 08:52
https://weibo.cn//u/1976952643,钱湖之忻2011,男,浙江,440,269,298,回复@玩越野的海峰:也许是处罚还不够大？才造成谣言漫天飞，几乎天天有为它们没脑的人避谣。,1,2020-02-24 06:41
https://weibo.cn//u/7295667613,看看不能v讲,女,其他,6,110,1,回复@我能送你回家吗外面可能要下雨了:呵呵,0,2020-02-24 06:31
https://weibo.cn//u/7295667613,看看不能v讲,女,其他,6,110,1,回复@撩者必杀:要有自己的判断力，人云亦云的那么没头脑不好,0,2020-02-24 06:28
https://weibo.cn//u/6472261984,幽然怡馨,女,北京,1430,598,133,杀一儆百！以正视听！,1,2020-02-24 06:00
https://weibo.cn//u/5372161847,kkhhfly,男,河北,4,95,712,回复@学吧学无止境太深了:我不会干这种没脑子的事,0,2020-02-24 02:22
https://weibo.cn//u/3189834505,是宝盖宗,女,海外,1260,250,303,@水水的八爪鱼,0,2020-02-23 21:23
https://weibo.cn//u/6526370582,373304昊明,男,湖北,5,68,10,回复@首都网警:该用重刑的时候到了。拘留10天有什么用。,1,2020-02-23 21:23
https://weibo.cn//u/6526370582,373304昊明,男,湖北,5,68,10,直接枪毙了！,0,2020-02-23 21:21
https://weibo.cn//u/1250707015,miu小九,女,江苏,2020,832,954,回复@汉川小哥:呵呵,0,2020-02-23 21:03
https://weibo.cn//qingtianxiazhu,隔壁家de怪蜀黍,男,海外,619,523,819,妈蛋，这种人拖出去枪毙我都觉得便宜它了,0,2020-02-23 20:59
https://weibo.cn//577995073,生肉Valentina,女,海外,193,212,8561,一整天都意淫啥呢,1,2020-02-23 20:45
https://weibo.cn//u/3060170297,儒雅的狮子不会飞,男,陕西,2491,115,45,在,0,2020-02-23 20:42
https://weibo.cn//u/1787887201,有座城在等我,女,四川,2612,579,138,不晓得这种人脑壳头在想啥子,0,2020-02-23 20:40
https://weibo.cn//mek8zz,来吧不莱,男,河北,918,411,229,古代长舌妇是要割掉舌头的嗷,0,2020-02-23 20:36
https://weibo.cn//u/1855861874,只想换个用户名,女,山西,49,98,147,有病,0,2020-02-23 20:32
https://weibo.cn//u/5850645141,金刚芭比小玫瑰,女,其他,338,395,113,发在微信群里也算是造谣吗？又不是公开发布………,0,2020-02-23 20:32
https://weibo.cn//u/2812298102,小肥肥要减肥,男,湖北,287,37,85,真特么讨厌瞎造谣的,0,2020-02-23 20:30
https://weibo.cn//u/6877643528,梅林199609,男,江苏,2884,493,86,严惩造谣者,1,2020-02-23 20:28
https://weibo.cn//u/6047496563,于于是你哦,女,江苏,17,53,16,现在去上海需要什么证件,0,2020-02-23 20:26
https://weibo.cn//u/2141866737,不知道北在哪里,女,四川,332,223,42,造谣惑众,0,2020-02-23 20:24
https://weibo.cn//u/6469933200,今天也想求快乐,女,江苏,40,285,94,vv,0,2020-02-23 20:18
https://weibo.cn//u/5763844252,林更新老阿姨粉色团团员,女,山东,338,1010,252,没脑子！,0,2020-02-23 20:16
https://weibo.cn//u/6167673397,喵哥话理财,男,其他,0,19,133,不信不传装聋作哑就好了,0,2020-02-23 20:07
https://weibo.cn//midi2010,宁波LuKING,男,浙江,3730,1535,938,这货的谣言，害的老子在京东上买的耳温计迟发3天，导致我们公司推迟复工5天，生产进度延误一周，客户投诉亏了好几十万。我去,0,2020-02-23 20:00
https://weibo.cn//u/3975623095,龍翰鳳翼01,男,陕西,951,373,913,很多老年人判断不了信息真假还可以理解，一些年青人都判断不了就无法理解了。而且不经证实就乱宣传，是脑子短路吗？,0,2020-02-23 20:00
https://weibo.cn//u/6580542498,锦烨5776,男,北京,58,390,395,应该送到法院去，判刑。,0,2020-02-23 19:58
https://weibo.cn//u/6346823873,私奔也是要路费的好吧,女,河北,892,591,172,希望疫情赶快过去，中国加油,0,2020-02-23 19:57
https://weibo.cn//u/5654294897,jian到了,女,广东,387,381,91,幹嘛對京東下口。,0,2020-02-23 19:56
https://weibo.cn//u/1769874337,瓦朗_Valon,男,陕西,18,111,47,能严重到死车里了，那要烧到多少度啊？当路上没有测体温的？,0,2020-02-23 19:55
https://weibo.cn//u/6459122182,往事随风岁月-123,男,其他,1728,2043,118,嗯,0,2020-02-23 19:50
https://weibo.cn//u/2830608603,一个月换五次昵称,男,四川,161,89,22,建议查查这人的微博发言记录,0,2020-02-23 19:45
https://weibo.cn//u/1415493542,不耍,男,上海,3203,3223,183,严打,0,2020-02-23 19:45
https://weibo.cn//201009seven,雪碧配烧鸡,女,四川,2470,1939,473,这种人真的是傻啊，哈哈哈哈，怎么会有这样的人,0,2020-02-23 19:44
https://weibo.cn//u/6477295547,鈺林一念,女,吉林,36,139,1,过去吧疫情，,0,2020-02-23 19:44
https://weibo.cn//u/1330360184,梦里大唐凤羽,女,北京,695,1603,480,要相信国家，相信党！,0,2020-02-23 19:44
