评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//gebihuameinan,小白-Top,男,北京,535,441,14757,就这还3.16，北京这情形得12.16吧,10,2020-03-11 12:40
https://weibo.cn//u/2013175992,音十是章,女,海外,124,424,120,这种一看就是造谣。就北京这样的，疫情相关报送都遮遮掩掩的还想全面复工？？？,8,2020-03-11 12:59
https://weibo.cn//u/7097831034,Ratnettnova,女,北京,3015,326,65,真要把小企业都拖死么？现在是防住境外输入就好，还把人都关起来干嘛？国外疫区回来怎么隔离？这次真的不如天津…… 举报 赞[4] 回复 2020-03-11 13:13:29 来自网页,4,2020-03-11 13:13
https://weibo.cn//u/1228865373,小猴猴116,女,北京,3019,256,257,那个刚到北京2天就下楼溜达还发微博的女的 肯定是听到这消息了吧,0,2020-03-11 22:09
https://weibo.cn//u/1408504407,聂春良,男,北京,2415,373,130,小心打脸,0,2020-03-11 18:28
https://weibo.cn//u/2270528790,q滴二次方,女,湖南,2461,321,198,国际航班下来的人好好就地隔离或者统一安排回外省，请不要量个体温就轻易放走好吗？首都能不能有个首都的样子？？,0,2020-03-11 17:34
https://weibo.cn//u/7093620765,o吃不饱睡不醒o,女,北京,97,20,14,回复@觽朢:回头憋死了,0,2020-03-11 17:29
https://weibo.cn//dinahw,鹰眼的大喵喵,女,北京,10,425,455,鲜枣跟全面复工也没区别呀、领导一句话 全部门人员全齐、说好的50%！呢//,0,2020-03-11 17:22
https://weibo.cn//xihs,觽朢,男,其他,2417,421,1268,回复@吃不饱睡不醒2019:那必须一个口罩戴一个月了。,0,2020-03-11 16:31
https://weibo.cn//u/6973897448,我的逆子王昭明,男,河南,17,66,14,回复@郑太郎:何止外国人，来国的北京都放出去让你随便跑，多热情,0,2020-03-11 15:56
https://weibo.cn//u/5749514517,数风流人物2plus,男,河南,4377,196,132,北京严重拖后腿,0,2020-03-11 15:48
https://weibo.cn//jingyansheng,Remember小生,男,北京,1924,272,337,是不是得 到时间就不攻自破了,0,2020-03-11 15:10
https://weibo.cn//u/3513874487,东贰日月,男,江苏,40,322,199,用你辟谣？就你那增加人数想都别想,0,2020-03-11 14:22
https://weibo.cn//u/7093620765,o吃不饱睡不醒o,女,北京,97,20,14,反正我们公司已经全员复工了，公司不提供口罩，呵呵呵,1,2020-03-11 14:07
https://weibo.cn//u/2320759453,亚瑟CAMP,男,北京,1020,329,197,谁发的抓起来，让大家来围观！,0,2020-03-11 13:36
https://weibo.cn//u/2257824412,大花狗920123,男,北京,3700,474,3225,我还买不到口罩,0,2020-03-11 13:25
https://weibo.cn//u/7097831034,Ratnettnova,女,北京,3015,326,65,真要把小企业都拖死么？现在是防住境外输入就好，还把人都关起来干嘛？国外疫区回来怎么隔离？这次真的不如天津……     举报             赞[4]         回复             2020-03-11 13:13:29 来自网页,4,2020-03-11 13:13
https://weibo.cn//u/7247810063,hj-dx,男,北京,2062,404,63,满大街都是车了,0,2020-03-11 13:08
https://weibo.cn//u/1395091005,多多妈妈,女,北京,3541,769,1309,小时候捡到一分钱交给警察，长大了知道有事找警察，真的出事了找警察只会让自己变得更加生气，没找警察一肚子气，找了警察傻事不管，唉纳税人的钱啊养着他们他们养着骗子，以前总听说警察和骗子是一伙的，这次我是真的相信了。,0,2020-03-11 13:04
https://weibo.cn//zhuzhu2791,野惯了谁也不想的朱,女,北京,13273,118,1282,差不多得复工了，次生灾害了不得。,0,2020-03-11 13:03
https://weibo.cn//336595000,北京方庄纪业,男,北京,108297,6268,9546,谁说的，揪出来判刑//,0,2020-03-11 13:02
https://weibo.cn//u/2013175992,音十是章,女,海外,124,424,120,这种一看就是造谣。就北京这样的，疫情相关报送都遮遮掩掩的还想全面复工？？？,8,2020-03-11 12:59
https://weibo.cn//u/1995257603,dandingyouhao,男,北京,6837,1582,770,差不多就行了，,0,2020-03-11 12:58
https://weibo.cn//u/5556539961,Cycas1995,女,其他,72,233,39,有人知道北京现在到底让不让私家车进京啊,0,2020-03-11 12:57
https://weibo.cn//u/6622561771,河北老五吃大蒜辣着了,女,北京,532,98,72,公交地铁一直没停，只不过是限流，进站测体温，必带口罩，做好防护之类的。,0,2020-03-11 12:45
https://weibo.cn//mcdq,勺子大人就是说我呢,男,北京,102,478,1038,绝对的谣言，我感觉已经全面复工了,1,2020-03-11 12:43
https://weibo.cn//zhenglei811210,郑太郎,男,北京,8261,434,621,这两天外国人是否可以进京？,0,2020-03-11 12:40
https://weibo.cn//gebihuameinan,小白-Top,男,北京,535,441,14757,就这还3.16，北京这情形得12.16吧,10,2020-03-11 12:40
https://weibo.cn//u/6818067055,姑娘51317,女,其他,23,117,3,这两天外地人是否可以进京？,0,2020-03-11 12:39
https://weibo.cn//u/5384479977,股海东方不败,男,广东,36842,1807,959680,北京至今还没有全面复工啊？,0,2020-03-11 12:37
