评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1930524071,不知道要叫什么名儿,女,北京,1145,312,461,求求了四月开学吧 我想毕业,40,2020-03-12 08:20
https://weibo.cn//u/5362475196,西土城带投大哥,男,其他,3413,219,267,那可说好咯，别着急开学。我在家还没待够,50,2020-03-12 08:27
https://weibo.cn//yanqingjingfang,延庆警方,男,北京,3326,303,19569, ,1,2020-03-12 12:10
https://weibo.cn//u/2786904643,艾纳斯塔西娅,女,海外,152,59,467,这我就放心了,0,2020-04-08 13:44
https://weibo.cn//u/2684046455,我家盼煊,女,其他,459,192,130,回复@小葵198610:这学期直接不开学,0,2020-03-16 04:03
https://weibo.cn//u/1486523542,芒果香橙雪梨,男,北京,9,28,56,回复@油画里的仙女迪:gjbj,0,2020-03-15 17:14
https://weibo.cn//u/2063672000,樱木花道道-,男,广东,1293,300,337,回复@西土城带投大哥:我也是，还没在家呆够，但一想没做实验，怎么发论文，还是得要回学校,0,2020-03-15 17:05
https://weibo.cn//u/5621613389,-小Yura哇,女,北京,34,726,1087,那啥时候开学啊无语了,0,2020-03-15 15:48
https://weibo.cn//u/7312745667,灭霸168,男,其他,26,12,16,官方发布又取消，要以公安为标准,0,2020-03-15 10:11
https://weibo.cn//u/7410622028,浩杰13542889478,男,其他,0,49,1,回复@爱吃火锅哈比:大胆开学，应该没事的，疫情在中国已经要剧终了……放心去改革，尝试，勇敢驱魔避邪！,1,2020-03-15 07:37
https://weibo.cn//u/5053262840,山水清风66,男,上海,7,541,227,可不可以先关闭海关，然后让大学开学，学校封闭式管理，然后再打开海关，当然也不是完全打开，就是像现在一样严防。,1,2020-03-14 13:52
https://weibo.cn//u/2345669520,小小_小小的我,女,北京,270,703,109,不管什么时候开学，安全最重要,0,2020-03-14 13:43
https://weibo.cn//u/1580330880,善哉108,女,北京,544,88,88,五一之后开学,0,2020-03-14 12:55
https://weibo.cn//u/6272217369,梁悦萱说科技,女,北京,109,353,735,据说3月21开学,1,2020-03-14 09:58
https://weibo.cn//u/7375730935,小葵198610,女,黑龙江,40,149,11,千万要等疫情结束开学，孩子开学人流集中，不利于安全。最好6月开学,0,2020-03-14 05:08
https://weibo.cn//u/6459773149,陈山竹_Metrololi,男,北京,1080,364,364,我想回北京！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,0,2020-03-14 00:53
https://weibo.cn//u/3179476804,空条徐纶,女,黑龙江,1283,340,134,视疫情发展而定，那稳定好了不就三月末开学了,0,2020-03-13 23:53
https://weibo.cn//u/3911406044,-liuxiaolei,女,天津,199,654,966,回复@芒果香橙雪梨:命更重要，所以up主希望疫情快点过去，生活步入正轨，学校快点开学。没问题哈,3,2020-03-13 22:44
https://weibo.cn//u/3911406044,-liuxiaolei,女,天津,199,654,966,回复@咹静_52877:毕业季每个人都很难，表达一下想快点开学投入工作的心情怎么了？为什么我可以理解为up希望疫情快点结束赶紧开学，您却理解为不要命呢？智者见智仁者见仁吧,5,2020-03-13 22:43
https://weibo.cn//u/6445073050,大眼梅郎,男,海南,15,57,1,回复@Amy的行走:先放个风看看社会反馈如何，不行的话就辟个谣,0,2020-03-13 21:55
https://weibo.cn//u/5268197943,Gu独乐,女,海外,16,26,54,开学吧，开学就说明一切都恢复正常了。我想好好上班挣钱,0,2020-03-13 21:03
https://weibo.cn//u/5955521895,猫腻_仙女抱,女,新疆,1695,963,1119,回复@芒果香橙雪梨:是命重要 可两个冲突嘛？回不了学校做不了实验就是想开个学 咋还能跟命扯上关系呢,2,2020-03-13 20:39
https://weibo.cn//u/5955521895,猫腻_仙女抱,女,新疆,1695,963,1119,回复@咹静_52877:怎么这么杠,1,2020-03-13 20:37
https://weibo.cn//u/1824999290,LINA004,女,上海,2856,154,758,看这口气，4月北京难以开学了！但是上海大概可以！,0,2020-03-13 20:28
https://weibo.cn//u/7375730935,小葵198610,女,黑龙江,40,149,11,回复@最棒的张麦兜他爸:上什么学，孩子太多，在家上课挺好,0,2020-03-13 20:15
https://weibo.cn//u/7375730935,小葵198610,女,黑龙江,40,149,11,回复@西土城带投大哥:不希望太早返校，这样上网课挺好。一学期结束后去学校考试。正好6月份,0,2020-03-13 20:14
https://weibo.cn//u/7375730935,小葵198610,女,黑龙江,40,149,11,学生最好是5月底或者6月疫情结束后返校，孩子是祖国的未来。不能提前返校。学校学生太多，应该让他们晚点回学校,2,2020-03-13 20:13
https://weibo.cn//719184562,啾啾雨鸣,女,北京,14204,357,1969,回复@Tao-陶纸:,0,2020-03-13 19:28
https://weibo.cn//u/5611026077,咹静_52877,女,江苏,0,107,19,回复@不知道要叫什么名儿:没命毕什么业呢？,0,2020-03-13 19:05
https://weibo.cn//u/7263675121,青春有你4-抄作业,女,北京,475,278,101,回复@瞬间永恒的小小微博:对的,0,2020-03-13 18:24
https://weibo.cn//u/5174388316,瞬间永恒的小小微博,男,海外,888,691,121,回复@抄作业抽支烟:开学一起开  就看自己的自觉性了,0,2020-03-13 17:47
https://weibo.cn//u/7278899595,only-烨,女,北京,18,41,9,回复@啾啾雨鸣:是的是的,0,2020-03-13 17:09
https://weibo.cn//u/3201806787,今年夏天格外长,女,河南,29,78,26,回复@啊_莫愁:哈哈哈,1,2020-03-13 14:28
https://weibo.cn//u/5729127974,侯占才,男,江苏,15,26,15,心疼理科毕业生,0,2020-03-13 13:53
https://weibo.cn//u/3291193705,瑾如瑾如_,女,北京,171,88,244,每个月这老贵老贵的房租水电网费交着 去趟超市随便买点几百块就出去了 还不开始上班 我这真的撑不住了啊  四月开学是谣言 那五月五一房假 现在我还不如收拾收拾回家了,0,2020-03-13 13:20
https://weibo.cn//u/5857562069,2017表情得意走路有风,男,北京,1328,81,23,4月都是谣言呀,6,2020-03-13 12:21
https://weibo.cn//u/1839987294,阳光彩虹南瓜小马,女,北京,10676,757,368,回复@不知道要叫什么名儿:没做实验的毕业🐶要疯了。,1,2020-03-13 05:06
https://weibo.cn//u/2473029433,芝士七分甜rr,女,其他,29,313,145,求求您了！开学吧！！！啊啊啊啊啊啊,0,2020-03-12 12:20
https://weibo.cn//yanqingjingfang,延庆警方,男,北京,3326,303,19569, ,1,2020-03-12 12:10
https://weibo.cn//toutvabien,拍吹客张,男,北京,432,70,161,北京能管控再严格一些吗？看看上海，各个区现存确诊数据清清楚楚，机场严格控制入境。河南哪位郭XX咋回的郑州，这从首都机场处理，霍霍了多少北京居民？！,0,2020-03-12 12:07
https://weibo.cn//u/1582380553,老牛CFD_,男,北京,1424,144,188,好好抓一抓境外输入这块吧……老是隔三差五来个境外输入病例，没完了,1,2020-03-12 11:17
https://weibo.cn//206868355,传说中的女网警,女,北京,64226,6241,2596901,微博辟谣！网传北京4月开学系谣言！,1,2020-03-12 10:53
https://weibo.cn//u/3507330144,年过半百De二货,女,北京,2004,63,67,小区门口志愿者，物业人员，送快递，取快递人员聚集，希望引起注意⚠️,0,2020-03-12 10:38
https://weibo.cn//870118634,大力金刚猫,女,北京,18047,1371,6486,回复@抄作业抽支烟:现在已经这样了 能怎么着啊 你就保持好心态吧 心态别崩了 你就想大家都一样 谁也没比谁强哪儿去,0,2020-03-12 10:18
https://weibo.cn//u/3990110372,Na南梦,女,北京,164,410,465,大学生也很惨的，天天上网课抄笔记写论文,2,2020-03-12 10:18
https://weibo.cn//u/7263675121,青春有你4-抄作业,女,北京,475,278,101,回复@大力金刚猫:而且在家自觉的人真的是太少了，北京还正好选课考试等级赋分第一年，期末考试说好给的等级分也没给下来 ，真的不知道怎么办了,0,2020-03-12 10:13
https://weibo.cn//u/7263675121,青春有你4-抄作业,女,北京,475,278,101,回复@大力金刚猫:宝高三学生主要是感觉不确定啊 老师天天在群里说03高考不仅没延期难度还相比大了 现在这个时段真的太多不确定性了高三学生主要是慌啊,0,2020-03-12 10:11
https://weibo.cn//u/1930524071,不知道要叫什么名儿,女,北京,1145,312,461,回复@爱吃火锅哈比:可我得做实验啊..,1,2020-03-12 10:10
https://weibo.cn//870118634,大力金刚猫,女,北京,18047,1371,6486,回复@抄作业抽支烟:最倒霉的不是高三学生 是高二的 高三的都已经差不多定性了 就看谁在家自觉 而且我猜疫情这么严重 高考难度会适当下降 高二学生还有好多新知识没学 在家学肯定没课堂上学得好,1,2020-03-12 10:06
