评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//bjsjsfj,平安石景山,男,北京,15249,249,18598,【这些关于北京的疫情谣言，别信别传！】,0,2020-06-20 14:07
https://weibo.cn//wolfccb,wolfccb,男,北京,518,191,2349,编造“新冠病毒来自中国合成泄露”的造谣头子武小华就在北京海淀，为什么没人管？,1,2020-06-20 16:52
https://weibo.cn//wangzhuo0317,北京九爷-九天,男,北京,9262,392,100736,这些谣言的始作俑者就是新京报。。。。,0,2020-06-20 15:09
https://weibo.cn//123232236,是xujing,女,黑龙江,18,18,4,不信谣不传谣，正视官方发布！,0,2020-08-22 13:12
https://weibo.cn//xueerwudi,一杯茶拿铁,女,其他,162,358,158,我想问一下，北京现在允许举办那种把全国各地的人集中到一起的会议或者培训吗？我们总公司让我们全国各家分公司派出的人去北京总部做封闭式培训。,0,2020-07-22 18:09
https://weibo.cn//u/6612431975,Lady徽之我,女,北京,145,197,41,昨天说的金融大厦是哪栋楼？谣言就是因为披露的时候半推半就，比如某食品厂……,0,2020-06-23 14:34
https://weibo.cn//u/7409363246,麻木不仁被监视,男,云南,93,97,31,警官你好：我被人威胁、软禁，被三个专业拿工资的河南人监视，周围百姓无人不知，最近我到省，市、县、镇，各个公安部门报案，本以为对方会收敛一些，还是恶性不改更加猖狂，明目张胆一点不胆怯.不怕公安部机关，不知谁借她的胆如此嚣张，还是恶语相对威胁到，非玩死你、耗死你。一点离去的意思都没有,0,2020-06-21 08:40
https://weibo.cn//u/5163890231,太虚凡人,男,其他,913,127,203,网！传的！把网抓起来就地正法好了,0,2020-06-20 19:56
https://weibo.cn//wolfccb,wolfccb,男,北京,518,191,2349,编造“新冠病毒来自中国合成泄露”的造谣头子武小华就在北京海淀，为什么没人管？,1,2020-06-20 16:52
https://weibo.cn//u/5612449344,红豆布丁乳酪2,男,其他,0,509,48,北京大兴区博兴路派出所和诈骗犯勾结 收好处费 我被诈骗了 去报警不管不顾 北京警察真low,0,2020-06-20 16:12
https://weibo.cn//u/5612449344,红豆布丁乳酪2,男,其他,0,509,48,北京大兴区博兴路派出所和诈骗犯勾结 收好处费 我被诈骗了 去报警不管不顾 北京警察真low,0,2020-06-20 16:10
https://weibo.cn//515503451,瑜珈导师齐爱霞,女,北京,1283,41,600,是的，不信谣不传谣，我们小区有到过新发地的两例人员在居家隔离中核检程阳性，顿时网上就炸锅了，各种传闻。今天中午医务、警察你，社区等工作人员开始准备检测工作，每栋楼前有一个检测点，我是我们楼第二个检测的，非常感恩政府的行动力。,1,2020-06-20 15:37
https://weibo.cn//wangzhuo0317,北京九爷-九天,男,北京,9262,392,100736,这些谣言的始作俑者就是新京报。。。。,0,2020-06-20 15:09
https://weibo.cn//u/5799767225,黃秋豪2016,男,台湾,69,502,285,回复@大侠x先生:他沒造謠，只是話說不清楚誤解別人，抓不到,0,2020-06-20 14:18
https://weibo.cn//u/5799767225,黃秋豪2016,男,台湾,69,502,285,回复@追着兔子的狗:對,0,2020-06-20 14:17
https://weibo.cn//u/3295531735,大侠x先生,男,其他,13,68,68,听说某报是源头？？？不处理？？？,0,2020-06-20 14:11
https://weibo.cn//u/1401198487,圆圆的奥尔特星云,男,其他,30,60,12,现在谣言太多了，而且开始智能化谣言，九句真里＋一句假，造谣的越来越贼了,0,2020-06-20 14:11
https://weibo.cn//u/1867778110,Cheesy的阳光桑,男,北京,33808,778,1123,求辟谣,0,2020-06-20 14:08
https://weibo.cn//u/1261084295,紫藤蓝湖,男,北京,116,157,379,卡,0,2020-06-20 14:08
https://weibo.cn//bjsjsfj,平安石景山,男,北京,15249,249,18598,【这些关于北京的疫情谣言，别信别传！】,0,2020-06-20 14:07
https://weibo.cn//u/1667157732,追着兔子的狗,女,北京,4088,379,438,造谣者讨厌，但是环京区域通勤人员咋上班目前……一周一检测吗,0,2020-06-20 14:06
https://weibo.cn//akoverbearing,老陈-AK,男,北京,43,157,2486,造谣一张嘴，辟谣跑断腿,0,2020-06-20 14:05
https://weibo.cn//u/1867096117,戏子De眼泪,男,上海,300,128,45,所以造谣的应该被抓起来！太恶劣了！,0,2020-06-20 14:02
