评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6728431101,云柒Celeste777,女,北京,9905,325,4215,不信谣不传谣，拿这事造谣有病,8,2020-12-26 09:33
https://weibo.cn//xuanch,阿花_大难,男,北京,41991,426,22116, 举报 赞[0] 回复 2020-12-26 09:41:32 来自网页,0,2020-12-26 09:41
https://weibo.cn//u/2656185053,LDZC1045,男,河南,22,47,366,北京海淀区有利网诈骗15万家庭，拖欠120亿资金，东城区积木盒子拖欠40亿资金，诈骗12万家庭，爱钱进诈骗30万家庭，涉及拖欠资金200多亿，玖富诈骗30万家庭，拖欠资金200多亿，人人贷拖欠200多亿，涉及19万家庭~老百姓投诉无门，各部门互相推诿扯皮，几千亿的资金，数百万老百姓无法生活，大北京，厉害,4,2020-12-26 16:18
https://weibo.cn//728868915,浪费光阴的梭子,男,海外,2564,199,44,微博发的！而且还是热搜上！,0,2020-12-28 08:02
https://weibo.cn//u/6104526294,会飞的鱼731,女,陕西,129,79,27,北京爱钱进作为P2P全国头部平台，有刘国梁、汪涵知名主持代言，才致使37万无辜老百姓投入全部身家性命，现平台兑付逾期近，高层失联，截流出借人正常回款资金，转移优势资产去任买，频繁更换股东法人，上债权商城收割出借人，37万家庭，280亿代收金额触目惊心，望为我们主持公道！留条生路给我们！,1,2020-12-27 12:57
https://weibo.cn//u/6573203827,一把把朱一龙把住了,女,其他,17937,158,323,吓一跳,0,2020-12-26 19:32
https://weibo.cn//u/3624185023,番职院建工学院三下乡,男,广东,38,47,30,北京爱钱进作为P2P全国头部平台，有刘国梁、汪涵知名主持代言，才致使37万无辜老百姓投入全部身家性命，现平台兑付逾期近，高层失联，截流出借人正常回款资金，转移优势资产去任买，频繁更换股东法人，上债权商城收割出借人，37万家庭，280亿代收金额触目惊心，望为我们主持公道！留条生路给我们！,2,2020-12-26 18:30
https://weibo.cn//u/2656185053,LDZC1045,男,河南,22,47,366,北京海淀区有利网诈骗15万家庭，拖欠120亿资金，东城区积木盒子拖欠40亿资金，诈骗12万家庭，爱钱进诈骗30万家庭，涉及拖欠资金200多亿，玖富诈骗30万家庭，拖欠资金200多亿，人人贷拖欠200多亿，涉及19万家庭~老百姓投诉无门，各部门互相推诿扯皮，几千亿的资金，数百万老百姓无法生活，大北京，厉害,4,2020-12-26 16:18
https://weibo.cn//u/3860482169,柴郡猫810,男,广东,47,103,37,别急，只是顺义 ,4,2020-12-26 15:21
https://weibo.cn//u/2155023721,玉兰盛开时,女,北京,17790,439,3368,是顺义不是整个北京,2,2020-12-26 14:06
https://weibo.cn//u/2421277107,曹宫仪,女,北京,6,183,19,顺义宣布了,0,2020-12-26 13:44
https://weibo.cn//u/5970387928,爱钱进四赖人神共愤,男,湖北,164,520,178, 什么时候还出借人几百亿血汗钱？,2,2020-12-26 13:40
https://weibo.cn//u/1741732073,蒂尼since1989,男,北京,9,52,23,造谣的抓起来没有？,0,2020-12-26 12:55
https://weibo.cn//316572666,人到三张儿,男,北京,4239,458,728,我先截个图哈～,0,2020-12-26 11:14
