评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//207890316,云晕-朤燚叕茻,女,海外,4804,809,981,油米真的不用多囤，你一家能吃多少，最多就买一个季度的量就足够了,3,2020-04-01 16:39
https://weibo.cn//zuiyu0307,醉渔著,女,湖北,329,268,350,买两袋我是支持的，买多就没必要了，陈米不好吃。,1,2020-04-01 16:31
https://weibo.cn//soniac,錦濏_巡礼之年,女,湖北,1579,201,607,湖北今年因为疫情土特产都滞销了。你看看京山和荆州的大米，现在各个平台都在扶贫湖北。屯米屯油就是傻。你们高兴就好 不要危言耸听,1,2020-04-01 18:48
https://weibo.cn//u/1173425344,SMART-little,男,四川,151,224,157,回复@正在咬银时的神乐:有道理,0,2020-04-01 23:14
https://weibo.cn//207890316,云晕-朤燚叕茻,女,海外,4804,809,981,回复@一投野马:一百斤也太多了吧,0,2020-04-01 19:17
https://weibo.cn//u/5974164873,深蓝色的海23,女,广东,450,188,135,天气慢慢热起来了，你们买回去等着长那种小小的黑虫子吧。(宜昌话叫长油子),0,2020-04-01 18:56
https://weibo.cn//soniac,錦濏_巡礼之年,女,湖北,1579,201,607,湖北今年因为疫情土特产都滞销了。你看看京山和荆州的大米，现在各个平台都在扶贫湖北。屯米屯油就是傻。你们高兴就好 不要危言耸听,1,2020-04-01 18:48
https://weibo.cn//songchi1986,一投野马,男,福建,278,189,331,回复@坤源农业设备:买个一百斤以内是可以的，吃不完浪费了可惜。,0,2020-04-01 16:57
https://weibo.cn//207890316,云晕-朤燚叕茻,女,海外,4804,809,981,油米真的不用多囤，你一家能吃多少，最多就买一个季度的量就足够了,3,2020-04-01 16:39
https://weibo.cn//zuiyu0307,醉渔著,女,湖北,329,268,350,买两袋我是支持的，买多就没必要了，陈米不好吃。,1,2020-04-01 16:31
https://weibo.cn//u/2758824174,江城名博汇,男,湖北,4651,289,11917,目前全省原粮库存充裕，可供全省居民口粮消费一年以上。     举报             赞[0]         回复             2020-04-01 16:09:06 来自网页,0,2020-04-01 16:09
https://weibo.cn//u/6077160308,正在咬银时的神乐,男,重庆,63,541,62,我觉得吧，就听听就好了，现在有的话真不好说，说出来就查水表了。我不是湖北的我都在屯粮，有人说我们傻就说呗，要不是年前屯了点腊肉，今年连肉都买不起,2,2020-04-01 15:44
https://weibo.cn//u/6256763445,衡水大家好,男,其他,27,188,39,回复@坤源农业设备:还有就是，湖北领导发言，疫情不会扩散，然后。。。。。。,0,2020-04-01 15:37
https://weibo.cn//u/6256763445,衡水大家好,男,其他,27,188,39,回复@坤源农业设备:后来就没有然后了，,0,2020-04-01 15:37
https://weibo.cn//u/6256763445,衡水大家好,男,其他,27,188,39,大哥，如果我没猜错，疫情没公开前。口罩也说不会涨。。。。。。。然后。。。。。。,1,2020-04-01 15:36
