微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
JgKMVD0Nl,#净网2020# #辟谣# 朋友圈开卖“新冠肺炎疫苗？千万别信谣言  广东网警巡查执法的微博视频  ,,无,无,TRUE,无,无,2020/8/20 9:36,微博视频,1,0,0,1
JgrOH8kQp,#净网2020# #辟谣# 辟谣东莞市茶山镇确诊一例新冠肺炎病例！  广东网警巡查执法的微博视频  ,,无,无,TRUE,无,无,2020/8/18 9:18,微博视频,0,1,0,1
JbjoBy4aO,#净网2020# #广东网警提醒# 别被网上流传言论误导咯，警花小姐姐来辟谣！  广东网警巡查执法的微博视频  ,,无,无,TRUE,无,无,2020/7/15 14:40,微博视频,4,4,0,1
IAfZAkDVt,#微博辟谣# 【#辛冠费妍结婚证当事人辟谣#：证件照被冒用】近日，有网友晒出一张结婚证走红，结婚证上的男方姓名为“辛冠”，女方姓名为“费妍”，合起来与“新冠肺炎”同音，引发网友热议。近日，当事人辟谣称，网传照片系他人盗用自己证件照后ps合成，除了照片是他们本人，姓名、日期都是伪造的http://t.cn/A6zd9Msc ,,无,无,TRUE,无,无,2020/3/25 17:14,微博 weibo.com,3,1,0,2
IuV1Hjuir,【辟谣！这些话钟南山没说过】 #让科学比谣言快一步#  这些可能是这段时间听过最多的谣言了！科学知识学的越多，谣言就会听着越可笑。大家都来听一听，面对疫情，一起了解真相，击碎谣言！ 中国青年报的微博视频  ,,无,无,TRUE,无,无,2020/2/19 14:40,微博 weibo.com,2,2,0,1
ItYlEqHD3,#微博辟谣#【辟谣 | 湖北、浙江、湖南等7省人员不许进广东？真相来了】2月11日，网传“湖北、浙江、湖南、河南、安徽、重庆、江西7个省的一律原路返回，暂时不许进入广东”，并附带“详询12345”等内容，引起不少网友关注。   对此，广州12345政务热线的相关工作人员表示，目前没有任何限制外省人员进入广东的通知，但从湖北省与浙江省温州市返穗人员需做好居家（含宿舍）隔离健康观察，14天后无症状方可解除观察。疫情期间，各类信息繁杂，一不留神就容易走进谣言迷雾。兼听则明，偏信则暗。要辨别信息真伪，还需大家时刻保持理性，擦亮双眼。 原图 ,,http://wx4.sinaimg.cn/large/0067Lrnvgy1gbuibima8vj30cb0gndpl.jpg,无,TRUE,无,无,2020/2/13 9:17,微博 weibo.com,4,2,0,2
ItvLRffH9,#网警辟谣# 【阻击疫情，抵制谣言】  原图 ,,http://wx3.sinaimg.cn/large/0067Lrnvgy1gbqm6vy0yzj30f08okhdt.jpg,无,TRUE,无,无,2020/2/10 8:32,微博 weibo.com,3,2,0,1
IsKJUmmx8,发布了头条文章：《【网警辟谣】博眼球？求关注？信口开河可不行！》  【网警辟谣】博眼球？求关注？信口开河可不行！  ,,无,无,TRUE,无,无,2020/2/5 8:48,微博 weibo.com,1,0,0,1
IrQgA1pj6,"转发理由:辟谣！网传警察在当涂县某超市抓疑似病例为不实消息！  
原始用户: 安徽网警巡查执法
转发内容: #微博辟谣# 【辟谣！网传警察在当涂某超市抓疑似病例为不实消息！】1月28日下午，网上流传一段视频，视频内容为几名警察在某超市扭送走一位穿睡衣的男子，画外音称“刚刚大润发抓了一个……”，部分网民猜测与当前新冠肺炎疫情防控工作有关。经核实，1月28日下午，当涂县公安局110接群众报警，称在当涂某超市内有一个叫高某某的逃犯，后公安巡警大队将高某某抓获。经了解，高某某系因与他人借钱未还而被债权人举报为逃犯，与我县新冠肺炎疫情防控工作无关。敬请大家以官方发布信息为准！不信谣，不传谣！对编造、传播网络谣言构成违法犯罪的，公安机关将依法严肃查处。 原图 ",,无,http://wx1.sinaimg.cn/large/006t5rGfly1gbeablqdqyj30890d30th.jpg,FALSE,无,无,2020/1/30 9:02,微博 weibo.com,1,0,0,1
IrGU6ACge,#微博辟谣##新型肺炎辟谣进行时# 【大蒜水可以治好冠状病毒肺炎？】近日，“大蒜水可以治好冠状病毒肺炎，多喝大蒜水”的视频在网上疯传。是不是真的？专家表示，大蒜中的大蒜素具有抗菌等生物学功能。但是关于它的治疗机理的研究，主要还停留在体外（细胞层面）或者动物实验阶段，目前还缺乏严谨的人类试验数据。因此，大蒜水既难喝，又不能起到防护或预防作用。目前没有针对新型冠状病毒的特效药物，治疗时主要是对症治疗。在预防上，最好的还是佩戴好口罩、勤洗手、勤通风。 ,,无,无,TRUE,无,无,2020/1/29 9:11,微博 weibo.com,2,0,0,3
IpsKPa6f2,#微博辟谣# #捉谣记#【“2019年9大谣言盘点”视频来了 2020年这些谣言别再信了！】2019年已经过去，这一年里，有些谣言在信息传播的洪流里不是主角，却胜似主角。例如引发全民关注的人贩子“梅姨”落网谣言；让网民极度愤慨的“贵州毕节孤儿院幼儿遭性侵”谣言等。为此，@微博辟谣 联合@小央视频 @捉谣记 共同推出“2019年9大谣言盘点”视频。这些谣言2020年就别再信了！http://t.cn/AisHQ1D9 ,,无,无,TRUE,无,无,2020/1/14 17:30,微博 weibo.com,5,5,0,1
InAfngYDC,"转发理由:#微博辟谣# 8名网民散播谣言信息被武汉警方依法处理！//@江苏网警: #微博辟谣# 8名网民散播谣言信息被武汉警方依法处理！  
转发内容: 抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：http://t.cn/RfdBWwP  ",,无,无,FALSE,无,无,2020/1/2 8:53,微博 weibo.com,1,0,0,1
