评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1863890684,闲小斐,女,山东,6411,902,802,还延长，不早停就得谢天谢地的，已经很早感受不到地暖的温度了，这个冬天过的拔凉拔凉的。,39,2020-03-03 21:59
https://weibo.cn//shandongpiyao,山东辟谣,女,山东,7314,227,20528, 济南供暖要延长至3月27日？热企暂未接到通知！,0,2020-03-05 10:01
https://weibo.cn//u/1390566463,赵锡功-山东,男,山东,2584,992,1280,特殊时期勿造谣生事！,5,2020-03-03 22:00
https://weibo.cn//u/3371986960,超级污敌智者美少女,女,山东,24,65,142,延长吧，又不能出门，天天在家不得冻死,1,2020-03-06 19:18
https://weibo.cn//u/5359164649,李伟恒silent-,男,山东,126,436,112,热力公司的朋友说延长到27号,0,2020-03-06 16:03
https://weibo.cn//u/6424619645,鱼7宝,女,山东,8044,187,181,济南历城区，连续四天半夜冻醒,1,2020-03-06 10:00
https://weibo.cn//u/5379776005,不羁放纵爱抡博,女,山东,105756,216,291,延长吧 一停暖 天天在屋里不能出门活动晒太阳 冻死了,2,2020-03-05 10:33
https://weibo.cn//shandongpiyao,山东辟谣,女,山东,7314,227,20528, 济南供暖要延长至3月27日？热企暂未接到通知！,0,2020-03-05 10:01
https://weibo.cn//u/2163440041,Vita月,女,山东,2074,809,345,半夜起来，暖气都不热了…,2,2020-03-04 12:43
https://weibo.cn//u/5673131155,坏脾气爱哭鬼,女,山东,134,34,11,我家都不热乎了。我是文博家园的。年年如此,1,2020-03-04 09:34
https://weibo.cn//lovesyusuke,RainZahar,女,其他,2413,119,1404,回复@闲小斐:家里暖气最近明显不怎么热了 屋里冷嗖嗖的,4,2020-03-04 08:37
https://weibo.cn//u/7383008747,幸福简单68,女,山东,94,195,5,嗯！,0,2020-03-04 07:13
https://weibo.cn//u/3136614095,喜讨-icon,女,其他,293,270,49,房补的事情呢,0,2020-03-04 02:33
https://weibo.cn//u/1728498922,小婲不叨叨叨叨叨,女,山东,846,125,113,供不供的有什么区别吗？地都是凉的，在家还得穿棉袄,0,2020-03-03 23:47
https://weibo.cn//u/3479193713,旧伴见人心-,女,湖南,91,1324,141,回复@闲小斐:坐标济南，过年前后感觉暖气不行了，之前在家我都穿短袖短裤，现在在家长袖长裤还觉得冷,5,2020-03-03 23:08
https://weibo.cn//u/7153198273,Qlll596,男,山东,6,220,7,回复@闲小斐:坐标烟台，3.1开始地板感受不到啥热气了。之前温度还够,1,2020-03-03 22:27
https://weibo.cn//u/2412898671,无水_硫酸铜_,女,贵州,284,1290,2401,我早就说了那是去年的新闻,0,2020-03-03 22:23
https://weibo.cn//u/1989763513,博物杂志cd,男,山东,351,214,120,从可持续发展的角度来说济南可以停了，节能环保，温度还能说的过去,0,2020-03-03 22:22
https://weibo.cn//u/2788454577,__麦小兜lisa,女,山东,13,135,15,这个冬天我家连同我的心都是冰冷的，不知道我的钱都给了谁。。。,10,2020-03-03 22:17
https://weibo.cn//u/3213062125,南方有乔木Rita,女,山东,704,563,1984,延长吧,5,2020-03-03 22:03
https://weibo.cn//u/1390566463,赵锡功-山东,男,山东,2584,992,1280,特殊时期勿造谣生事！,5,2020-03-03 22:00
https://weibo.cn//u/5180809547,胸毛及腰的江流刀,女,山东,136,303,68,😂今天吃晚饭还讨论这个事来着,0,2020-03-03 22:00
https://weibo.cn//u/1863890684,闲小斐,女,山东,6411,902,802,还延长，不早停就得谢天谢地的，已经很早感受不到地暖的温度了，这个冬天过的拔凉拔凉的。,39,2020-03-03 21:59
