评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3280895751,大敏子嘞,女,四川,436,158,224,我们小区就是这样子的,154,2020-02-08 15:18
https://weibo.cn//u/5110184458,徐徐正在徐徐图之,女,四川,144,675,85,为什么要辟谣，这是真实情况。,109,2020-02-08 18:11
https://weibo.cn//u/1764535853,云来居,女,其他,951,177,737,你还辟谣呢，物业群都通知了。你们这些人，吃饱了没事干。,76,2020-02-08 18:09
https://weibo.cn//xin101226edc,MichiyoWang,女,广东,1576,892,2921,这是真的呀………辟谣啥？？？,0,2020-02-13 00:55
https://weibo.cn//u/1940905577,川川CTU,男,四川,178,376,1947,崇州基本完全实施了,0,2020-02-12 23:53
https://weibo.cn//u/3176009790,漫步人生1975,男,其他,48,87,309,我今天刚领到出入证，上面写2天购物一次；1人进出呀,0,2020-02-12 23:31
https://weibo.cn//u/3322192962,54海狸鼠,女,四川,132,61,22,想着钟老的眼泪。这样做的物业，理解就好！因为你代表不了所有人的自觉性！毕竟有特殊紧急事件上报物业也是可以通融的吧,0,2020-02-12 23:27
https://weibo.cn//u/6593013771,朋友多002,女,四川,28,81,31,这样是对大家好，早日战胜疫情，社区工作人员还是辛苦，理解万岁。,0,2020-02-12 23:04
https://weibo.cn//u/5863746864,晴天溜小狗,男,四川,635,204,364,回复@AmiumiuHK:那就是规定的内容没有表达清楚，没有写明上班除外,0,2020-02-12 22:52
https://weibo.cn//u/2869735282,AmiumiuHK,女,四川,105,514,1221,回复@晴天溜小狗:上班的又不在这种规定下开展…,0,2020-02-12 22:40
https://weibo.cn//u/6142602072,狮子座的战士没有剑1221,男,其他,56,509,53,吓得快乱了阵脚了。,0,2020-02-12 21:42
https://weibo.cn//u/5936042048,上瘾的抽抽er,女,海外,603,193,93,辟谣个🔨 ，这就是真实情况。,0,2020-02-12 21:33
https://weibo.cn//u/2875442580,--Xiaoming,男,四川,40,124,10518,图片评论 ,0,2020-02-12 21:16
https://weibo.cn//u/6244112702,提拉米苏65002,男,其他,97,157,52,我们小区物管说的是社区要求这样搞的，一户只准办一张进出卡一个人出去，要上班要求单位开复工证明才给办出入证，请问这个是哪个规定的,0,2020-02-12 21:12
https://weibo.cn//u/5863746864,晴天溜小狗,男,四川,635,204,364,回复@我抓住乌云了耶:我都出不去怎么开？,0,2020-02-12 18:32
