评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//lizhonghuishanhe,山禾益,男,四川,20104,2042,4735,回复@嫦娥应悔偷灵药whh 的表态:谢谢雅赞！,0,2020-02-24 14:00
https://weibo.cn//lizhonghuishanhe,山禾益,男,四川,20104,2042,4735,回复@嫦娥应悔偷灵药whh:谢关注！谢雅赞！,0,2020-02-22 20:41
https://weibo.cn//u/2343948264,我才是傩送,男,四川,122,158,359,谣言的出现是因为社会没有获取明确信息的渠道，只是简单的说是谣言也并不能让人信服，请官方发布正确的信息，,1,2020-02-21 07:56
https://weibo.cn//u/1739697117,午夜飞行hx,女,四川,402,293,223,回复@诛心一剑:有道理,0,2020-02-20 22:50
https://weibo.cn//u/2603216935,剑君929,男,四川,29027,114,1405,不会是818？,3,2020-02-20 21:21
https://weibo.cn//u/2603216935,剑君929,男,四川,29027,114,1405,大谣言应该抓住造谣者，比你辟谣有用,1,2020-02-20 21:21
https://weibo.cn//zhuxinyijian,诛心一剑,男,四川,201,119,78,辟谣要拿出真像，别不实就完了，这些天的轨迹呢?,7,2020-02-20 19:59
https://weibo.cn//lizhonghuishanhe,山禾益,男,四川,20104,2042,4735,造谣可悲！混淆是非！制造恐犋，罪责不轻！,1,2020-02-20 18:22
https://weibo.cn//u/3535434165,牙牙玉兔,女,四川,495,883,402,究竟接触过多少人呢,4,2020-02-20 18:09
https://weibo.cn//534993678,倔同学,男,四川,123,104,150,究竟接触过多少人呢,4,2020-02-20 17:47
