微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
Jy77O2gPD,【辟谣】#成都辟谣#12日一早，一张写有“请来自四川省成都市的旅客原路返回”和“南京禄口国际机场”字样的图片在网上流传，引起了众多网友的热议。交汇点记者第一时间向南京禄口机场的相关负责人求证，对方回应图片内容实为谣言，并已经向公安机关报案。随后，禄口机场相关人士向交汇点反馈了现场的真实照片，照片显示的内容为：“请来自四川省成都市郫都区的旅客主动到此申报登记”。（红星新闻）#南京机场劝返成都旅客是P的# [组图共4张] 原图 ,,"http://ww4.sinaimg.cn/large/001F7zcpgy1gll0qjtrjlj60b60b7tbm02.jpg,http://ww2.sinaimg.cn/large/001F7zcpgy1gll0mieribj60ci0m8q4f02.jpg,http://ww1.sinaimg.cn/large/001F7zcpgy1gll0n1d42sj60u01hcx6p02.jpg,http://ww4.sinaimg.cn/large/001F7zcpgy1gll0ptban1j60o01hcu0x02.jpg",无,TRUE,无,无,2020/12/12 13:43,微博 weibo.com,193,27,57,2
JxPIfgTwp,【#犀浦街道未封闭#  网传郫都区犀浦街道封街不实】12月10日下午，网传成都郫都区犀浦街道封街系谣言，特此辟谣：犀浦街道未封闭，市民上下班仍然正常通勤。仅犀池社区、玉龙社区和综合交易市场周边区域应疫情防控要求，只进不出，开展区域内全员核酸检测。请广大网友关注官方信息，不造谣不信谣不传谣，主动做好个人防护，配合疫情防控。 @郫都发布 #犀浦# 原图 ,,http://wx1.sinaimg.cn/large/001F7zcpgy1gliwbsagttj60b60b7tbm02.jpg,无,TRUE,无,无,2020/12/10 17:23,无,1348,40,230,3
JxDJwkac6,【#辟谣#钟南山院士来蓉？假的！】近日，网传“84岁钟南山院士落地成都”，刚刚，成都发布联系市卫健委对这一消息进行核实。市卫健委介绍，关于“84岁钟南山院士落地成都”的消息不实。据悉，当前成都已迅速组织省市区三级相关部门和专家成立工作专班，联合对情况进行研判，安排应急处置措施。同时强化医疗救治，组织四川大学华西医院等省市专家，精准救治。 （成都发布记者 白茹） [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/001F7zcpgy1glhf4hppz7j60qa16oq9f02.jpg,http://ww4.sinaimg.cn/large/001F7zcpgy1glhf16d6upj60b60agq3b02.jpg",无,TRUE,无,无,2020/12/9 10:53,无,2452,327,704,2
Jxzcp5nKv,【一图读懂 最新疫情情况（截至12月8日）】截至12月8日20时，本起疫情成都市共报告新冠肺炎确诊病例6例，无症状感染者1人。现有病例情况如何？关于本起疫情有哪些重要信息？哪些网络热传信息被辟谣？带你一图读懂↓↓↓（红星新闻）  原图 ,,http://wx4.sinaimg.cn/large/001F7zcpgy1glgvhivtddj60mp7ps4qp02.jpg,无,TRUE,无,无,2020/12/8 23:21,微博 weibo.com,366,100,54,2
JxwLKwKL4,【#网传确诊女孩照片系盗用#：为湖南一女孩艺术照，当事人已报警】12月8日，成都20岁女孩赵某被确诊为新冠阳性后，关于她的个人信息便在网上热传，其中包括一张坐在车内、穿白色裙子的照片。8日上午，湖南19岁女孩小瑶得知自己照片被误传后，“发现情况比想象中更糟糕，很多骂人的，骂得很难听，感觉自己很委屈”。随即她在微博上辟谣，称网上被热传的照片，是自己的艺术照，该照片被人盗用。现在她正在报警、澄清，希望广大网友不要再误传。（封面新闻）#成都确诊女孩朋友圈系冒用# http://t.cn/A6qAxn5l ,,无,无,TRUE,无,无,2020/12/8 17:10,微博 weibo.com,150,17,38,3
Jxwllvevt,【网传天府健康码已停用？网络理政办：没停用，目前已逐步恢复访问】）#成都辟谣# 12月8日下午，有市民群众反映，原“天府健康码”已停用，并发布新的取码渠道。成都市网络理政办发布：此为谣言，“天府健康码”没有停用，目前已逐步恢复访问，后续将加强保障。据了解，今日上午，天府健康码曾因访问量过大出现暂时无法使用的情况。（红星新闻） 原图 ,,http://wx4.sinaimg.cn/large/001F7zcpgy1glgie32gmpj60b60b7tbm02.jpg,无,TRUE,无,无,2020/12/8 16:05,微博 weibo.com,24,17,27,1
JxvUc304r,【辟谣 | 成华卫健：网传第4、5号患者均不属实】据@成华卫健 官方消息，12月8日，针对网传“李泽帅、陈智亮为成华区今日确诊病例赵某某的密切接触者”，经成华区卫健局核实，以下两条消息为虚假信息。请广大市民不信谣、不传谣，一切以官方权威信息为准。#成都辟谣#  [组图共4张] 原图 ,,"http://ww1.sinaimg.cn/large/001F7zcpgy1glgggdvns8j60g0076jst02.jpg,http://ww4.sinaimg.cn/large/001F7zcpgy1glgggdho6wj60gc0cgq6k02.jpg,http://ww1.sinaimg.cn/large/001F7zcpgy1glgghzidnij60gc08mdh202.jpg,http://ww4.sinaimg.cn/large/001F7zcpgy1glgghzy7zsj60b60b7n0d02.jpg",无,TRUE,无,无,2020/12/8 14:58,无,123,26,37,1
JxvlE3UR7,【辟谣 | 网传四川音乐学院封校？川音：假的！】12月8日，有网友在新浪微博等社交平台上发布消息，称包括川音在内的多所成都高校现已封校。收到消息后，记者第一时间联系上四川音乐学院，求证封校消息真伪。据校方知情人士透露，截至发稿，四川音乐学院并未封校，防疫措施与此前相同，校外人员无正常理由及相关证件禁止入内，请广大网友勿信谣传谣。（红星新闻）#成都辟谣# 原图 ,,http://wx3.sinaimg.cn/large/001F7zcpgy1glgdzke75dj60b60b7tbm02.jpg,无,TRUE,无,无,2020/12/8 13:32,微博 weibo.com,186,23,86,1
Jxv1smBCZ,【辟谣 | 网传世豪广场一男性为“孙女”密切接触者？社区：已了解情况，假的！】12月8日，朋友圈、微博等社交平台流传着这样一则消息：成都高新区世豪广场一26岁男子陈某亮为确诊病例赵某的密切接触者。记者从高新区世豪广场物业工作人员处了解到，该名男性确实为物业中心的工作人员，但网上所传截图均为谣言。发现问题后，他们也在积极配合社区进行调查，未发现陈某亮去到过确诊患者所去过的相关区域，请大家不信谣，不传谣。随后记者也从世豪广场所在的盛兴社区工作人员处了解到，他们已接到有群众在反映此事，已派工作人员去了解情况，确认陈某亮不是确诊病例的密切接触者。（红星新闻）#成都辟谣# [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/001F7zcpgy1glgcjvwxblj60b60b7tbm02.jpg,http://ww4.sinaimg.cn/large/001F7zcpgy1glgcjs2w4yj60l803k75802.jpg",无,TRUE,无,无,2020/12/8 12:43,微博 weibo.com,122,20,29,2
JxuWajxv8,【辟谣 | 网传理工大学因本土疫情原因封校？假的】12月8日，#成都理工#登上热搜，网传成都理工大学因成都本土疫情原因封校。8日上午，看度记者在成都理工大学采访时获悉，学校并未封校，学生凭证件可正常进出。同时，学校近期正在组织考试，校外人士无正当理由拒绝入内。（成都电视台看度）#成都疫情谣言# [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/001F7zcpgy1glgc6m37epj60hs0u0whu02.jpg,http://ww2.sinaimg.cn/large/001F7zcpgy1glgcu67po1j60b60b7tbm02.jpg",无,TRUE,无,无,2020/12/8 12:30,无,429,47,88,2
JxuiR8Idr,【辟谣 | 不排除实施封城？官方回应：假的！】对于成都市出现新冠肺炎患者一事，12月8日，网传“成都卫健委：将视情况采取措施，不排除实施封城。”12月8日，成都市卫健委宣传处回应，截至目前，没有发布类似消息。（封面新闻）  原图 ,,http://wx3.sinaimg.cn/large/001F7zcpgy1glg9at6cvlj60b60b7tbm02.jpg,无,TRUE,无,无,2020/12/8 10:53,微博 weibo.com,266,135,113,1
