评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//zhaonathalie,梅瓣残雪凝,女,四川,8305,211,66,我宁愿是真的,82,2020-02-06 11:45
https://weibo.cn//u/3560085872,小慧几_,男,四川,108,484,169,回复@Crystal子颜:哦哦，我回家了没有隔离,0,2020-02-14 11:17
https://weibo.cn//u/6060362519,Crystal子颜,女,四川,45,153,53,回复@小慧几_:我是，现在要出关了,0,2020-02-14 11:12
https://weibo.cn//u/6060362519,Crystal子颜,女,四川,45,153,53,回复@马普尔小姐的毛衣:社区，前脚回家，后脚上门,0,2020-02-14 11:12
https://weibo.cn//u/3499457535,nnnneko_,女,四川,3031,432,449,回复@甜发财_:那就好  害怕做了半天车又不让回家 那要窒息了,0,2020-02-12 02:28
https://weibo.cn//akanishikido,甜发财_,女,四川,1292,449,560,回复@nnnneko_:可以回,0,2020-02-12 02:27
https://weibo.cn//u/3499457535,nnnneko_,女,四川,3031,432,449,回复@甜发财_:那怎么办的啊,0,2020-02-12 02:02
https://weibo.cn//j4missliu43,我贼特喵奈斯,女,重庆,1339,413,366,回复@梅瓣残雪凝:有些也是迫不得已吧，我们家有病人就要去华西的，遇到这个也是难，病又不能耽搁,0,2020-02-08 17:40
https://weibo.cn//u/3152142794,杨家坤163067g1N,女,黑龙江,0,8,3,我也希望是真的，不自觉的人还是有，这样安全度还高一点,0,2020-02-08 10:34
https://weibo.cn//u/2796717354,陰森森森,男,四川,175,266,141,真是假的吗？,0,2020-02-07 18:16
https://weibo.cn//u/7339891124,菠萝站住_,男,北京,1928,3,97,//,0,2020-02-07 13:30
https://weibo.cn//u/2470893147,青白江经科信局,男,四川,12166,495,2154,//,1,2020-02-07 10:10
https://weibo.cn//zhaonathalie,梅瓣残雪凝,女,四川,8305,211,66,回复@三号场铁神:己所不欲，勿施于人。自己活腻了无所谓，不要害别人,0,2020-02-07 00:18
https://weibo.cn//u/6172475687,周文滨是可以长高的,男,四川,6,55,453,回复@木歘歘:我也是听别个说啥子现在出自贡市必须要去社区所在医院进行健康体检，以此为凭证高速才放行，我3号上成都，高速路口测了体温是直接给了我一张体温检测证明的小飞飞儿，跟我说的当天一天内可以自由上下高速，8号女朋友也要上来了，我又担心她坐大巴车有点危险，我自己开车回去接她，就怕出不到自贡,0,2020-02-07 00:04
https://weibo.cn//u/6403889155,三号场铁神,男,海外,10,125,21,回复@梅瓣残雪凝:自觉二字，如何理解,0,2020-02-06 23:40
https://weibo.cn//WYH96,養楽多BOY,男,四川,74,59,2258,我觉得很有必要,0,2020-02-06 21:25
https://weibo.cn//u/3748306553,NWNVVNWMN,女,四川,12958,1284,586,请问上高速去成都复工，需要开证明不？我怎么听说有的地方要开证明啊？,0,2020-02-06 21:12
https://weibo.cn//dan90dan90,我在这里冲浪浪,女,四川,118,216,524,我今天被这个吓得哭出来。。我要回成都啊。。。     举报             赞[0]         回复             2020-02-06 19:04:41 来自网页,0,2020-02-06 19:04
https://weibo.cn//u/3754619164,阝东-CCH,男,其他,994,149,276,我已经踏上返蓉的路，而且回不去现住等我小区了，你要是等我8号到了成都不让我进城的话，你就是真的孙子,1,2020-02-06 17:20
https://weibo.cn//u/1713861530,娥眉不可妒,女,四川,1978,477,350,发现发布这个谣言的我们要可以举报嘛？,0,2020-02-06 17:13
https://weibo.cn//u/5664127967,小猪小猪皮杰,女,其他,304,105,207,这是安岳的 ,1,2020-02-06 17:01
https://weibo.cn//qi78280134,Tenderne_凉薄,女,北京,17,56,427,我们小区的大爷大妈一点防范意识也没有，还在楼下跳舞呢，也不带个口罩，天天烦死了，物业也不管,2,2020-02-06 16:34
https://weibo.cn//u/5446185743,小糕饼子,女,其他,19,98,5,谢谢我也怀疑是假的，但是没有官方消息，家里人都不信,0,2020-02-06 16:02
https://weibo.cn//312099908,东由之,男,四川,664,21,141,除了成都两个字其他都是真的,0,2020-02-06 15:54
https://weibo.cn//u/1694364314,喵小白美女,女,北京,64404,1166,2023,其实真这样也好，减少流动,0,2020-02-06 15:53
https://weibo.cn//u/3572965513,投资成都,男,四川,12471,344,10552,【这个提示牌！假！的！】,0,2020-02-06 15:53
https://weibo.cn//u/2248276421,萱妈77,女,四川,294,67,98,即使不强行隔离也因自行在家隔离。对自己对大家负责。,1,2020-02-06 15:38
https://weibo.cn//916to916,木歘歘,女,四川,966,404,247,回复@安妮的失眠梦:对啊，所以才来问问嘛,0,2020-02-06 15:00
https://weibo.cn//aiai823,查无此人IV,女,四川,960,17,1504,回复@木歘歘:也不知道是真是假,0,2020-02-06 14:46
https://weibo.cn//916to916,木歘歘,女,四川,966,404,247,回复@安妮的失眠梦:我也是看到朋友圈有人发的这个图片,0,2020-02-06 14:44
https://weibo.cn//u/3512896325,锦江三圣,女,四川,9012,792,2262,【这个提示牌！假！的！】,1,2020-02-06 14:37
https://weibo.cn//u/1880562120,我有一片烤面包,男,四川,8116,932,201,造谣的人图个啥啊！一直搞不懂,0,2020-02-06 14:21
https://weibo.cn//u/1810376142,马普尔小姐的毛衣,女,四川,6040,482,525,谁要求隔离的啊？,0,2020-02-06 14:15
