评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1923216857,-SugarMan_J,男,四川,551,248,589,个人觉得成都的自来水比德阳的要好。水壶烧水，成都自来水很久才会有水垢，德阳的很快就会有水垢。热水器烧热出来的自来水，成都的不会有明显的味道，德阳的味道很浓,6,2020-02-06 19:38
https://weibo.cn//u/2763125980,小牛牛小朋友,女,四川,72,72,51,我确实觉得味道比原来重了些,10,2020-02-06 21:08
https://weibo.cn//u/2470893147,青白江经科信局,男,四川,12166,495,2154,//,0,2020-02-07 10:07
https://weibo.cn//carreykim,GinWormwood,男,四川,13,17,22,回复@-SugarMan_J:成都一大半的自来水来自都江堰，水质可以！,0,2020-02-07 23:31
https://weibo.cn//u/1744193860,守着云开,女,四川,975,235,130,回复@V-成都锐一代-V:好，谢谢哈,0,2020-02-07 19:06
https://weibo.cn//adam2099j,V-成都锐一代-V,男,四川,10500,597,457,回复@守着云开:买个那个滤水壶，亲测比3m都好用。滤了过后水确实软多了,0,2020-02-07 16:04
https://weibo.cn//u/1744193860,守着云开,女,四川,975,235,130,回复@V-成都锐一代-V:对，我也是在南边。这几天没叫送水的来，就自来水煮开水，必须泡茶了，不然有味道真喝不惯,0,2020-02-07 15:59
https://weibo.cn//u/5214316945,是四金不是四斤阿,男,天津,291,549,485,回复@毕砣砣的世界:因为烫嘴,0,2020-02-07 12:34
https://weibo.cn//u/3445963080,少城街道,男,四川,47262,322,920,自来水需静置两小时再用？成都市自来水公司：严重不实,0,2020-02-07 11:44
https://weibo.cn//u/2470893147,青白江经科信局,男,四川,12166,495,2154,//,0,2020-02-07 10:07
https://weibo.cn//adam2099j,V-成都锐一代-V,男,四川,10500,597,457,回复@s1nga:哦，这个原因嗦。反正我切整了个滤水壶就对了,0,2020-02-07 01:04
https://weibo.cn//u/2969343923,s1nga,男,四川,10,680,342,回复@V-成都锐一代-V:有几个水厂，设备不同水质不同,0,2020-02-07 01:02
https://weibo.cn//adam2099j,V-成都锐一代-V,男,四川,10500,597,457,回复@守着云开:层主估计在北门上，南门上表示恼火,0,2020-02-07 00:28
https://weibo.cn//u/3938336827,美妙旅程xq,女,四川,560,169,69,回复@毕砣砣的世界:因为烫嘴,1,2020-02-07 00:16
https://weibo.cn//yangguohong123,杨国鸿Bear,男,四川,672,199,264,回复@杨国鸿Bear:@成都发布,0,2020-02-06 23:50
https://weibo.cn//yangguohong123,杨国鸿Bear,男,四川,672,199,264,都江堰疫情防控需对居民停水断水，请问真不真实？合不合理？ ,1,2020-02-06 23:50
https://weibo.cn//u/5067361521,小白不白還很菜,女,四川,188,592,134,我说怎么最近水消毒水味道很浓,0,2020-02-06 22:28
https://weibo.cn//u/2556793530,青白江房产保障,男,四川,43473,223,1292, 【自来水需静置两小时再用？成都市自来水公司：严重不实】,0,2020-02-06 21:37
https://weibo.cn//u/1620690560,陌上泧,女,其他,248,367,275,回复@陌上泧:双流是岷江水厂供，龙泉驿、温江不清楚是哪家,0,2020-02-06 21:16
https://weibo.cn//u/7265475250,花茶苦_,男,四川,1897,168,9,怪不得昨天下午下班回家看到小区大妈一桶一桶的买矿泉水,0,2020-02-06 21:15
https://weibo.cn//u/2161337577,尐-東-邪,女,四川,256,777,10854,成都自来水绝对没问题，大家放心使用。,0,2020-02-06 21:15
https://weibo.cn//u/1620690560,陌上泧,女,其他,248,367,275,五城区范围内的都是成都自来水公司供应，没有问题，都江堰的水源，干净程度全国数一数二,1,2020-02-06 21:14
https://weibo.cn//u/2693270574,毕砣砣的世界,男,四川,8336,178,2124,总之烧开的水绝对不能马上喝！,2,2020-02-06 21:10
https://weibo.cn//qingbaijiang,成都青白江,男,四川,53544,315,308541,自来水需静置两小时再用？成都市自来水公司：严重不实,0,2020-02-06 21:09
https://weibo.cn//u/2763125980,小牛牛小朋友,女,四川,72,72,51,我确实觉得味道比原来重了些,10,2020-02-06 21:08
https://weibo.cn//u/2191129347,花脸SK962,女,其他,9992,338,497,回复@-SugarMan_J:温江的水一样硬 并有味道  烧水壶不到一周就要除垢,0,2020-02-06 21:08
https://weibo.cn//u/1506893714,cc_hh_yours,女,四川,3485,468,315,我婆婆今天下午刚发了这个谣言，刚好需要辟谣！,0,2020-02-06 20:59
https://weibo.cn//u/3147269562,懿竺澜嗣,女,四川,146,428,118,回复@带带小平安:土地污染是不可逆的,0,2020-02-06 20:42
https://weibo.cn//u/1395787347,挚爱雷姆亲,女,四川,1111,189,99,回复@-SugarMan_J:成都现在的水是从都江堰引下来的地表水，水垢就没那么多啦,0,2020-02-06 20:24
https://weibo.cn//u/1744193860,守着云开,女,四川,975,235,130,回复@-SugarMan_J:你跟我住一个成都吗？我觉得我的有啊,2,2020-02-06 20:10
https://weibo.cn//u/5880549296,不加糖的小宝贝er,女,四川,350,31,58,在?我们口罩什么时候要回来,3,2020-02-06 20:08
https://weibo.cn//u/1296888087,基维斯的Sadowsky,男,山东,175,258,77,回复@懿竺澜嗣:所以这么多年我们的工业净水技术和检测技术都没进步是吧？2020年了！,0,2020-02-06 20:06
https://weibo.cn//u/1968991091,Cccccc772,男,四川,536,218,338,回复@带带小平安:哈哈哈哈至少我们家水壶就是烧了之后太多水垢，我倒杯子里头放一会儿全部沉淀到杯底去了,0,2020-02-06 20:06
https://weibo.cn//u/1296888087,基维斯的Sadowsky,男,山东,175,258,77,回复@Cccccc772:民科党少来造谣,0,2020-02-06 20:03
https://weibo.cn//u/1296888087,基维斯的Sadowsky,男,山东,175,258,77,回复@Cccccc772:专家警告：烧开的水不能马上喝！,0,2020-02-06 20:03
https://weibo.cn//u/2298434451,SIXxxx,女,四川,771,98,308,回复@huwuxu:不得哦，我家里水一直是正常的。不要多想，不然可以打962965给自来水公司咨询一下,0,2020-02-06 20:00
https://weibo.cn//u/5979485579,_Kk京,女,四川,184,262,126,回复@huwuxu:是的 我也觉得,0,2020-02-06 19:58
https://weibo.cn//u/3147269562,懿竺澜嗣,女,四川,146,428,118,回复@SUNRISEfor7:以前的土地没有怎么被污染，所以地下水很干净,3,2020-02-06 19:56
https://weibo.cn//u/3147269562,懿竺澜嗣,女,四川,146,428,118,回复@-SugarMan_J:德阳工业城市能理解,0,2020-02-06 19:55
https://weibo.cn//promise12,我不是许诺,男,四川,112,165,1329,一直都用的净水器和净水壶，自来水不敢直接喝。,0,2020-02-06 19:53
https://weibo.cn//u/5338699721,惜zd往,女,四川,43,55,101,做个咨询可以吗？ 现在成都出门上班必须去医院开健康证明吗？  不想去医院啊，医院可是最不安全的的了，金堂平桥这边出门说必须去医院开健康证明，瑟瑟发抖,0,2020-02-06 19:46
https://weibo.cn//u/1968991091,Cccccc772,男,四川,536,218,338,烧开的水是要多放一下再喝，不然就喝还没沉淀下去的水垢了,0,2020-02-06 19:46
https://weibo.cn//smnkyoze,Youngfornow,男,四川,1140,172,226,觉得水有问题的，可以去买个水质检测仪，然后测试一下就知道了、长着一张嘴巴谁都可以乱说，但是没有实际的数据的话那就都是谣言,3,2020-02-06 19:44
https://weibo.cn//u/1807794177,想太多做太少然后就忘了,男,浙江,520,461,65,请问,1,2020-02-06 19:42
https://weibo.cn//u/2134717497,oWANGo,男,其他,503,255,166,@zdwydtkr,0,2020-02-06 19:39
https://weibo.cn//u/1923216857,-SugarMan_J,男,四川,551,248,589,个人觉得成都的自来水比德阳的要好。水壶烧水，成都自来水很久才会有水垢，德阳的很快就会有水垢。热水器烧热出来的自来水，成都的不会有明显的味道，德阳的味道很浓,6,2020-02-06 19:38
https://weibo.cn//u/1234223982,huwuxu,男,四川,250,21,18,刷牙时觉得这两天自来水漂白粉味道大了，不知道是不是心理作用?,0,2020-02-06 19:36
https://weibo.cn//u/2730306223,SUNRISEfor7,男,辽宁,113,99,70,老一辈的人 条件没现在好 甚至没有矿泉水 桶装水 照样把下一辈养活的特别好 他们喝了大半辈子自来水 我就特纳闷 现在的人是怎么合计的 不动脑子吗,2,2020-02-06 19:33
