评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//chenghuawx,成华发布,女,四川,33297,824,431588,【,0,2020-02-08 09:58
https://weibo.cn//qionlailinjizhen,邛崃市临济镇,男,四川,5072,215,228,//,1,2020-02-10 09:09
https://weibo.cn//u/6441636763,夏天的春风8686,男,四川,37,39,533,不公布详细路径，你们就是助纣为虐，会让更多不知情的人感染。,1,2020-02-08 09:12
https://weibo.cn//qifanliyi666,启帆礼仪服务,女,四川,792,92,21367,不传谣不信谣不造谣,0,2020-02-12 15:29
https://weibo.cn//qionlailinjizhen,邛崃市临济镇,男,四川,5072,215,228,//,1,2020-02-10 09:09
https://weibo.cn//u/3341033590,成华市场监管,男,四川,27701,478,1579,//,0,2020-02-08 17:20
https://weibo.cn//jiachengauto,嘉诚哈弗成都区域中心店,男,四川,9319,793,5274,【,0,2020-02-08 14:05
https://weibo.cn//u/6441636763,夏天的春风8686,男,四川,37,39,533,回复@青菜又爱上萝卜了:你是没听到报告说你那附近有感染的人，所以你比较轻松。,0,2020-02-08 12:30
https://weibo.cn//u/2086724597,青菜又爱上萝卜了,男,上海,23,35,23,唧唧歪歪，别人都忙不过来,0,2020-02-08 11:04
https://weibo.cn//chenghuawx,成华发布,女,四川,33297,824,431588,【,0,2020-02-08 09:58
https://weibo.cn//u/3195269857,崇州市农业农村局,男,四川,2595,82,1398,转发微博,0,2020-02-08 09:44
https://weibo.cn//u/2878992440,洛带古镇,男,四川,7617,361,3328,【,0,2020-02-08 09:26
https://weibo.cn//u/2831879710,天彭九尺铺,女,四川,22534,211,510,【,0,2020-02-08 09:25
https://weibo.cn//u/5492457514,另春解解,女,四川,82,259,146,回复@另春解解:——薛兆丰,0,2020-02-08 09:23
https://weibo.cn//u/5492457514,另春解解,女,四川,82,259,146,“散播谣言的成本是极低的，呼喊几声，再愤慨的响应，就可能散播极广。但是，辟谣的成本，几乎高的几十倍。”,0,2020-02-08 09:23
https://weibo.cn//u/6441636763,夏天的春风8686,男,四川,37,39,533,不公布详细路径，你们就是助纣为虐，会让更多不知情的人感染。,1,2020-02-08 09:12
https://weibo.cn//u/2436542991,ZHULEIIS21,女,四川,98,154,1265,回复@屌丝妥耶夫斯基:噢噢 昨天看发了个每两天每户一人出门，想看看是不是同一篇呢。那篇肯定是假的 谢谢哦,0,2020-02-08 08:41
https://weibo.cn//u/2835680813,屌丝妥耶夫斯基,男,其他,4,4144,365,回复@ZHULEIIS21:没有删掉，在成都发布 顶置里面。,0,2020-02-08 08:38
https://weibo.cn//u/5730564655,鞪懿,男,其他,33,38,23,现在的谣言真的是…迷惑性太大了！,1,2020-02-08 08:33
