评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5030629261,老是扎Fe的33,女,四川,744,115,219,不是我说 像省医院这种地方 随时随地都是人山人海 这种时候造谣的小心肺炎找上门哈,35,2020-02-08 17:33
https://weibo.cn//u/2023220732,lrzxcv,女,四川,322,94,1437,造谣的也太坏了，医院平常人也多嘛,6,2020-02-08 17:40
https://weibo.cn//u/7313264249,LBSTSA,男,其他,42,354,11,我现在就在静明路的定点医院，门诊几乎没有病人，整个下午都是医生比病人多的状态…,4,2020-02-08 17:59
https://weibo.cn//u/3174268395,温江发改,女,四川,11764,717,3433, 新冠肺炎患者排长队就诊？省医院辟谣：只是普通门诊患者及陪诊人员,0,2020-02-09 11:37
https://weibo.cn//u/6461881316,恶臭蝈蝻成都分蝻,男,四川,761,500,5663,其实没说对，原因是“太婆都喜欢打堆堆排队，管你啥子就是排”,1,2020-02-09 09:26
https://weibo.cn//u/5860061928,幻寂深空,男,四川,135,132,28,不是着急的病就不要去医院了，真不怕传染？,0,2020-02-09 05:13
https://weibo.cn//u/1449271791,锦瑟荼靡,女,四川,2543,248,500,回复@Q版杨贵妃:这个时候你和你的朋友应该先去报警,1,2020-02-09 01:28
https://weibo.cn//u/1892401204,V天道酬勤0010,男,四川,592,598,347,造谣者眼睛也是瞎了,0,2020-02-09 00:04
https://weibo.cn//u/1291260123,AprilZI,女,北京,768,117,393,回复@小雅na娜:这解释也合理，但是不解释清楚确实容易让人误解,0,2020-02-08 20:49
https://weibo.cn//u/7313264249,LBSTSA,男,其他,42,354,11,回复@LBSTSA:查完血C反应蛋白29mg/L立马放心了,0,2020-02-08 20:25
https://weibo.cn//u/1760822017,小雅na娜,女,四川,1714,359,337,回复@AprilZI:因为进门要量体温，需要挨个放进去，所以会排队。,0,2020-02-08 20:19
https://weibo.cn//u/5996986423,東都贵公子,女,海外,5539,210,79,省医院感觉随时人都这么多,2,2020-02-08 19:50
https://weibo.cn//u/5728919323,Almond0208,男,其他,1957,399,62,这就是我们小区业主群的大爷乱发的，我说不是的，他还来一句爱信不信，现在病毒真的是靠网络在传播,0,2020-02-08 19:12
https://weibo.cn//u/5181470412,猪肉容R,女,四川,49,753,136,回复@小尾巴不爱江山:,0,2020-02-08 18:57
https://weibo.cn//u/2867343870,小尾巴不爱江山,女,四川,553,891,1335,回复@猪肉容R:顶你上去！,0,2020-02-08 18:44
https://weibo.cn//u/2054264735,Q版杨贵妃,女,四川,580,475,328,回复@story-LXJ:不多600块，一朋友买了3400块的,0,2020-02-08 18:42
https://weibo.cn//u/1291260123,AprilZI,女,北京,768,117,393,普通门诊为什么会排到大街上去，平时省医院可不会这样，为什么不解释一下,4,2020-02-08 18:28
https://weibo.cn//u/6573115207,活宝贝Acekiller,男,其他,40,163,14,省医院和华西医院都去过，每次去人都多得不了,0,2020-02-08 18:25
https://weibo.cn//u/1911586892,story-LXJ,女,四川,1987,204,412,回复@Q版杨贵妃:你买了好多钱的？,0,2020-02-08 18:17
https://weibo.cn//u/2054264735,Q版杨贵妃,女,四川,580,475,328,回复@story-LXJ:微信上买的，说是成都的，给了钱给了我假的运单号，查不到物流信息，电话给我拉黑了！,0,2020-02-08 18:16
https://weibo.cn//u/2054264735,Q版杨贵妃,女,四川,580,475,328,回复@story-LXJ:刚那个条评论给我删了！,0,2020-02-08 18:15
https://weibo.cn//u/1875861533,麻烦输了别怪我,女,四川,907,81,485,有些人一天到黑到处造谣,0,2020-02-08 18:10
https://weibo.cn//u/1911586892,story-LXJ,女,四川,1987,204,412,回复@Q版杨贵妃:买口罩怎么被骗的,0,2020-02-08 18:09
https://weibo.cn//wxiaohongchen,成都张云峰,男,四川,4797,240,984,回复@LBSTSA:好事,1,2020-02-08 18:09
https://weibo.cn//u/2054264735,Q版杨贵妃,女,四川,580,475,328,我天，我被网络诈骗了！买口罩被骗了！！,0,2020-02-08 18:00
https://weibo.cn//u/7313264249,LBSTSA,男,其他,42,354,11,我现在就在静明路的定点医院，门诊几乎没有病人，整个下午都是医生比病人多的状态…,4,2020-02-08 17:59
https://weibo.cn//u/6518145098,小妍爱51,女,四川,6461,541,170,哦哦好的,0,2020-02-08 17:54
https://weibo.cn//u/5896189239,Eaawqdar,女,广东,15,142,1715,请问彭州企业复工要求去医院开健康证明是什么操作？,0,2020-02-08 17:52
https://weibo.cn//u/1823768784,防空洞呀,男,四川,24,397,234,请问哪个地方可以买口罩,0,2020-02-08 17:51
https://weibo.cn//u/2541655084,青白江司法,男,四川,43025,157,6061,【新冠肺炎患者排长队就诊？省医院辟谣：只是普通门诊患者及陪诊人员】,0,2020-02-08 17:45
https://weibo.cn//u/3246166380,白宫刺客-,男,广东,137,132,37,造谣的该收拾收拾   我印象中医院一年四季都是拥挤不通,0,2020-02-08 17:41
https://weibo.cn//chen19701210,橙橙701210,女,四川,473,111,261,这么多人,0,2020-02-08 17:40
https://weibo.cn//u/2023220732,lrzxcv,女,四川,322,94,1437,造谣的也太坏了，医院平常人也多嘛,6,2020-02-08 17:40
https://weibo.cn//u/3290122515,金蟲吇,女,四川,52,40,33,现在普通感冒咳嗽和发热是不是不敢切看病咯？,2,2020-02-08 17:39
https://weibo.cn//junduan23,Multiblade,男,四川,437,234,416,这尼玛造谣很爽？,0,2020-02-08 17:34
https://weibo.cn//u/5030629261,老是扎Fe的33,女,四川,744,115,219,不是我说 像省医院这种地方 随时随地都是人山人海 这种时候造谣的小心肺炎找上门哈,35,2020-02-08 17:33
https://weibo.cn//u/2006266113,i955,女,四川,24952,1788,1492,我看了视频都吓了1⃣️跳，咋那么多人🙃🙃大家都要保重身体呀,0,2020-02-08 17:33
https://weibo.cn//ppde,夏雨的风,女,四川,3527,187,251,没事干那些造谣的x还嫌不够乱哦,0,2020-02-08 17:32
https://weibo.cn//u/6331083623,往事如风过往不咎,男,其他,17,248,289,成都啥时候可以没有病毒？,0,2020-02-08 17:31
