评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6428762417,低糖烤奶,女,广东,22,41,3,高校麻烦要控制好了再开学   学生来自五湖四海,24,2020-02-20 19:57
https://weibo.cn//u/6616938984,胡萝卜配青椒,女,四川,2079,52,77,学校喊老师到位,21,2020-02-20 20:00
https://weibo.cn//u/1662116440,墨小呆在这里,女,北京,938,107,275,口罩都不能给学生供应充足，拿什么开学,18,2020-02-20 22:57
https://weibo.cn//aloneliu,LiuJuuun,男,四川,99,61,390,回复@墨小呆在这里:有供应，但学校卖的很贵,0,2020-02-25 16:46
https://weibo.cn//u/6089485362,冲鸭旅行家,男,四川,796,709,429,"不能盲目开学,景区同样不能盲目营业",0,2020-02-23 18:07
https://weibo.cn//u/2736715715,冷漠的心酸,女,四川,1428,1806,429,作为老师，确实很想早点上班，但是一想到娃娃些那么小他们得了这个病怎么办啊？还是稳稳再开学吧，生命健康更重要！,0,2020-02-23 09:45
https://weibo.cn//u/3570780602,Neko喵生,女,其他,263,426,205,回复@LYT-oc:我们学校之前也通知的暂定3.2开学  大学  现在也改口成2月底前不开学  我寻思也没啥区别,1,2020-02-22 19:52
https://weibo.cn//u/5895000722,LYT-oc,女,四川,1550,415,212,回复@梦起陨灭:不是，大学,0,2020-02-22 16:06
https://weibo.cn//u/7340279701,梦起陨灭,男,其他,8,377,20,回复@LYT-oc:高中吗,0,2020-02-22 11:15
https://weibo.cn//u/5522991539,清晨的星星和风,男,重庆,787,112,106,回复@撒撒一号:发一个口罩管什么用？,0,2020-02-21 23:28
https://weibo.cn//u/5522991539,清晨的星星和风,男,重庆,787,112,106,回复@Woodoctor:有网课上也不错哦，至少能保命,0,2020-02-21 23:27
https://weibo.cn//u/5895000722,LYT-oc,女,四川,1550,415,212,可我弟之前就是通知了3月2号开学诶……,1,2020-02-21 21:02
https://weibo.cn//u/2668068073,HUANGJIA_LIN,女,四川,129,217,121,回复@A_ks7:哈哈哈就是谣言,0,2020-02-21 19:00
https://weibo.cn//u/7065504820,友男外圈美里原石,女,四川,191,234,75,回复@胡萝卜配青椒:对,0,2020-02-21 18:20
https://weibo.cn//u/3191722933,江奇茂树,男,四川,937,1304,809,能不能够快点开学啊,0,2020-02-21 16:24
https://weibo.cn//u/3445963080,少城街道,男,四川,47262,322,920,辟谣！网传“四川省学校将于3月2日开学”系虚假信息！     举报             赞[0]         回复             2020-02-21 15:18:24 来自网页,0,2020-02-21 15:18
https://weibo.cn//u/3877361599,海边咖啡馆的老板娘,女,云南,116,473,215,回复 ,0,2020-02-21 15:13
https://weibo.cn//u/5012025313,成都市青白江女性力量,女,四川,13177,267,337,【,0,2020-02-21 09:55
