评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2641519627,泰瑞尔的灵魂牢笼,男,四川,8060,108,550,怎么就都无了呢？我记得的四川至少两列从武汉输入的无症状感染者。,7,2020-07-02 10:32
https://weibo.cn//qingyangqu,锦绣青羊,男,四川,56366,861,537092,微博辟谣 举报 赞[0] 回复 2020-07-02 10:12:33 来自网页,0,2020-07-02 10:12
https://weibo.cn//janehang,李巴适,男,四川,1632,336,7636,神经病.......,2,2020-07-02 09:49
https://weibo.cn//u/6991124675,阿尔法特柠檬山,男,四川,52,47,32,发谣言的都特么该死，一天天⚽ 吃多了。,0,2020-07-02 18:26
https://weibo.cn//u/1662116440,墨小呆在这里,女,北京,938,107,275,造谣成本低，应加大惩罚力度,0,2020-07-02 15:12
https://weibo.cn//u/2127397315,0鱼的记忆0,女,四川,617,105,84,这是有多闲,0,2020-07-02 15:00
https://weibo.cn//u/2671108727,秉直如颐,男,四川,80324,2559,3999,造谣者可耻,0,2020-07-02 10:57
https://weibo.cn//u/1868629520,我儿子叫蔡真的好吃,女,四川,27215,160,1522,最讨厌这种张起嘴巴乱说的。哪个说的，哪个就要得变异的新冠,0,2020-07-02 10:40
https://weibo.cn//u/2689731375,皮卡暖洋洋,女,四川,17,30,103,抓了吗,0,2020-07-02 10:38
https://weibo.cn//u/2641519627,泰瑞尔的灵魂牢笼,男,四川,8060,108,550,怎么就都无了呢？我记得的四川至少两列从武汉输入的无症状感染者。,7,2020-07-02 10:32
https://weibo.cn//qingyangqu,锦绣青羊,男,四川,56366,861,537092,微博辟谣     举报             赞[0]         回复             2020-07-02 10:12:33 来自网页,0,2020-07-02 10:12
https://weibo.cn//u/1448056987,秦帝国崛起,男,四川,901,227,397,。。。。。。干什么不好。造谣。 抓了。,0,2020-07-02 10:04
https://weibo.cn//u/2532737843,所以今年会下雪吗,女,四川,202,25,146,这些人是有多闲啊,0,2020-07-02 09:53
https://weibo.cn//uniplayfootball,宇任拓足球,男,四川,2809,402,60163,这些人就该抓起来，就见不得自己国家一点好？,0,2020-07-02 09:51
https://weibo.cn//janehang,李巴适,男,四川,1632,336,7636,神经病.......,2,2020-07-02 09:49
https://weibo.cn//u/1733647450,wlmq-hami,男,新疆,4775,247,693,严惩造谣者！,2,2020-07-02 09:46
https://weibo.cn//u/1798114152,水木昜昜,男,四川,1070,321,1122,乐观点吧……,0,2020-07-02 09:43
https://weibo.cn//u/1234741495,鸣夜S,女,上海,290,208,105,抓起来！！,2,2020-07-02 09:42
