评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5618861223,是小姐姐太迷人了,男,四川,0,68,60,真的造谣一张嘴，辟谣跑断腿，官方都没说有本地案例 一个个都信了,9,2020-08-07 13:30
https://weibo.cn//qingbaijiang,成都青白江,男,四川,53544,315,308541,辟谣！网传青石桥疑似新冠病例？其实是锦江区市场监管局开展农贸市场疫情防控演练,2,2020-08-07 13:19
https://weibo.cn//u/6164179248,温江发布,男,四川,30652,437,50724,辟谣！网传青石桥疑似新冠病例？其实是锦江区市场监管局开展农贸市场疫情防控演练,1,2020-08-07 13:46
https://weibo.cn//u/7490141595,爱笑的大黄008,男,北京,807,2,1,//,0,2020-08-12 15:37
https://weibo.cn//u/1992104173,要坐端,男,四川,132,11,89,//,0,2020-08-12 15:35
https://weibo.cn//u/3550037711,簇锦街道铁佛社区,男,四川,59046,679,1152,【辟谣！网传青石桥疑似新冠病例？其实是锦江区市场监管局开展农贸市场疫情防控演练】,0,2020-08-07 17:14
https://weibo.cn//u/5942905898,南宁辟谣,男,广西,2075,39,2373, 网传成都青石桥疑似新冠病例？其实是锦江区市场监管局开展农贸市场疫情防控演练,0,2020-08-07 17:02
https://weibo.cn//u/3269033783,蒲江妇女之家,女,四川,58978,264,849,【辟谣！网传青石桥疑似新冠病例？其实是锦江区市场监管局开展农贸市场疫情防控演练】,0,2020-08-07 15:35
https://weibo.cn//u/1093952161,蒲江发改,男,四川,49448,193,1337,【辟谣！网传青石桥疑似新冠病例？其实是锦江区市场监管局开展农贸市场疫情防控演练】,0,2020-08-07 15:16
https://weibo.cn//u/3800462022,三河长龙社区,男,四川,1821,29,57,转发微博,0,2020-08-07 14:54
https://weibo.cn//qjjgc,青聚锦官城,男,四川,14392,488,199832,辟谣！网传青石桥疑似新冠病例？其实是锦江区市场监管局开展农贸市场疫情防控演练,0,2020-08-07 14:39
https://weibo.cn//u/1770741435,艺新艺异,女,北京,2944,1156,706,吓死了，我就在这旁边,0,2020-08-07 14:24
https://weibo.cn//u/5865822881,人生概率论,男,其他,0,160,69,回复@名字很复杂吗:吓得我一天没上好班，这工钱算谁的,0,2020-08-07 14:19
https://weibo.cn//cdrfwx,成都人防,女,四川,20808,306,46176,辟谣！网传青石桥疑似新冠病例？其实是锦江区市场监管局开展农贸市场疫情防控演练,0,2020-08-07 14:11
https://weibo.cn//u/2539377204,成都国际铁路港,男,四川,24117,492,3690,【辟谣！网传青石桥疑似新冠病例？其实是锦江区市场监管局开展农贸市场疫情防控演练】,0,2020-08-07 13:56
https://weibo.cn//u/3546762844,豆媽_CD,女,四川,8545,1224,329,早上都准备去青石桥买点东西吓死了，我就说成都应该不会有，现在放心了。,1,2020-08-07 13:52
https://weibo.cn//u/6208679731,遗忘中de忧伤,男,四川,30,48,38,吓到了 还好,0,2020-08-07 13:47
https://weibo.cn//u/6164179248,温江发布,男,四川,30652,437,50724,辟谣！网传青石桥疑似新冠病例？其实是锦江区市场监管局开展农贸市场疫情防控演练,1,2020-08-07 13:46
https://weibo.cn//xiongxiong0602,红色南看台下的摄影熊熊,男,四川,19726,679,2591,吓死老子！！！！     举报             赞[0]         回复             2020-08-07 13:43:22 来自网页,0,2020-08-07 13:43
https://weibo.cn//u/5828403666,咩咩咩咩and洋,女,四川,4074,59,425,假的，别传了,0,2020-08-07 13:43
https://weibo.cn//u/2663326965,空谷足音1225,女,四川,328,59,208,今天有网友发这个视频，都不知真假。现在有回复了，放心了。谢谢及时辟谣和通报。,0,2020-08-07 13:32
https://weibo.cn//u/5618861223,是小姐姐太迷人了,男,四川,0,68,60,真的造谣一张嘴，辟谣跑断腿，官方都没说有本地案例 一个个都信了,9,2020-08-07 13:30
https://weibo.cn//u/5016946245,成都市青白江区档案馆,男,四川,7546,128,257,//,0,2020-08-07 13:27
https://weibo.cn//u/1930504221,名字很复杂吗,女,其他,165,351,193,吓死，在我单位附近。。。,0,2020-08-07 13:26
https://weibo.cn//u/6177367696,土申申_0726,男,四川,1858,737,13330,演练,2,2020-08-07 13:21
https://weibo.cn//u/2499136312,芹泽哆摩穷,男,四川,145,153,551,闪了豁尿惊,0,2020-08-07 13:21
https://weibo.cn//u/1858036904,没有烧鸭子的魔芋,女,四川,3589,391,392,吓死爸爸了,1,2020-08-07 13:20
https://weibo.cn//qingbaijiang,成都青白江,男,四川,53544,315,308541,辟谣！网传青石桥疑似新冠病例？其实是锦江区市场监管局开展农贸市场疫情防控演练,2,2020-08-07 13:19
