评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5356730284,单指拨胡琴,男,其他,328,45,94,这些造谣的瓜批,527,2020-12-09 10:55
https://weibo.cn//u/3553835470,StarryEcho,女,四川,8657,464,1370,啷个天天都有造谣的,276,2020-12-09 10:55
https://weibo.cn//u/5458402562,LiveNewLife7,男,四川,481,215,476,一天都是什么人闲的没事造谣啊！抓住一个封杀一个，永久禁止在社交平台发言！,237,2020-12-09 10:56
https://weibo.cn//u/3567957115,狙击213,男,浙江,4,61,11,问题是造谣没有代价,0,2020-12-10 21:11
https://weibo.cn//u/6123959926,不快乐的时候倒过来看,男,新疆,556,567,792,我在想  就不能把造谣者一起通报吗？ 为什么造谣传谣者就可以这样肆无忌惮 ？,0,2020-12-10 14:00
https://weibo.cn//u/7501036226,倾城之恋201310,男,其他,12,15,1,不知哪个是真？哪个是假？,0,2020-12-10 10:50
https://weibo.cn//u/6518079005,大撒子的小窝99,男,四川,6,88,1,回复@沐瑰瞳:,0,2020-12-10 09:28
https://weibo.cn//u/6518079005,大撒子的小窝99,男,四川,6,88,1,回复@单指拨胡琴:,0,2020-12-10 09:26
https://weibo.cn//u/6198685731,·lulu·,女,四川,735,976,334,这造遥的是一群什么样心态的人啊！毛病,0,2020-12-10 09:03
https://weibo.cn//u/5506260098,岁月留白,男,甘肃,1922,360,479,华佗来了，你信吗？,0,2020-12-10 09:00
https://weibo.cn//u/3948795264,宋康不是宋凯,男,四川,59,74,339,牙尖十八怪的,1,2020-12-10 08:55
https://weibo.cn//u/2886760022,ChrisSimon,男,湖北,1079,1397,453,不去带货吗？,0,2020-12-10 08:49
https://weibo.cn//u/6367830254,dds三仔,男,广东,3,44,13,多媒体就是喜欢造谣、抓去浸猪笼,0,2020-12-10 05:45
https://weibo.cn//u/7018770165,贞子巨2兔,男,其他,6,43,148,也不知道民法典有没有把关于造谣的事儿写进去，把这些人关个十年八年的也就没人再干造谣的事儿了,0,2020-12-09 22:36
https://weibo.cn//u/6513822156,空谷幽灵6513822156,男,四川,52,99,43,啥也不是！一天天的搞些假东西蹭流量……可耻！,0,2020-12-09 21:51
https://weibo.cn//u/7529793112,charming_zhh,女,湖北,9,33,1,回复@单指拨胡琴:加油吧 要抗击到底 云贵川不分家,0,2020-12-09 21:27
https://weibo.cn//u/5057800237,9个未接,女,海外,156,189,189,一天这些人闲得没得屁事干 憨批一样 就晓得造谣,0,2020-12-09 21:07
https://weibo.cn//u/5591662171,四川奔跑的蜗牛,男,四川,96,119,13,图片评论 ,1,2020-12-09 20:45
https://weibo.cn//u/5591662171,四川奔跑的蜗牛,男,四川,96,119,13,谣言止于智者！,1,2020-12-09 20:45
https://weibo.cn//u/3187096233,神仙也不过如此_787,男,其他,6,32,3,谣言几乎没有成本，惩罚力度又太低。,0,2020-12-09 19:47
https://weibo.cn//u/2539377204,成都国际铁路港,男,四川,24117,492,3690,【,0,2020-12-09 19:17
https://weibo.cn//u/3914043112,玄学上师,男,四川,65,20,3,成都不缺顶级专家 区区几个不必麻烦钟老,1,2020-12-09 18:51
https://weibo.cn//u/2732854275,正义军哥,男,其他,100,28,1,都是快手散打搞的,0,2020-12-09 18:46
https://weibo.cn//u/5468724069,隨風而移動,男,其他,4,102,4,瓜娃子，一天天跟老子批刮龙刮的,0,2020-12-09 18:31
https://weibo.cn//u/3341033590,成华市场监管,男,四川,27701,478,1579,//,0,2020-12-09 17:23
https://weibo.cn//u/5511856503,瑾的糯米团子V,女,江苏,39,560,8,     举报             赞[0]         回复             2020-12-09 17:20:29 来自网页,0,2020-12-09 17:20
https://weibo.cn//u/5991996366,日常嗯哼呀啊哈,男,北京,32,124,91,希望严惩造谣传谣者,0,2020-12-09 17:16
https://weibo.cn//u/5682598322,XYH航,男,山西,2,37,6,你。。,0,2020-12-09 17:09
https://weibo.cn//u/6047560202,润心有声资料,男,江苏,250,89,173,     举报             赞[0]         回复             2020-12-09 17:06:46 来自网页,0,2020-12-09 17:06
https://weibo.cn//u/6201434616,语之空语,男,上海,147,94,23,好像每一次都会这样？北京爆发疫情种院士就来北京………天津爆发疫情种院士就来天津……成都爆发疫情种院士又来了……！,0,2020-12-09 16:59
https://weibo.cn//u/7332631073,范小兔子zz,女,其他,34,27,5,     举报             赞[0]         回复             2020-12-09 16:59:48 来自网页,0,2020-12-09 16:59
https://weibo.cn//u/2756007751,-TurboJackson,男,其他,200,163,160,     举报             赞[0]         回复             2020-12-09 16:59:42 来自网页,0,2020-12-09 16:59
https://weibo.cn//u/7460928673,wbbzd不想取网名,男,其他,89,123,1,希望你们这种“官媒”不追求流量欺骗观众,0,2020-12-09 16:52
https://weibo.cn//u/6574754167,justingrid,女,其他,0,40,2,     举报             赞[0]         回复             2020-12-09 16:50:23 来自网页,0,2020-12-09 16:50
https://weibo.cn//u/7523013229,平生是福乐乐,女,黑龙江,5275,784,17,好,0,2020-12-09 16:46
https://weibo.cn//u/5458402562,LiveNewLife7,男,四川,481,215,476,回复@yt731110:就是,0,2020-12-09 16:35
https://weibo.cn//u/5185605944,雪见柳月,男,内蒙古,125,212,84,钟老都不知道自己去过成都,0,2020-12-09 16:33
https://weibo.cn//u/6489931612,Jigsaw的故事,男,其他,786,485,98,     举报             赞[0]         回复             2020-12-09 16:10:46 来自网页,0,2020-12-09 16:10
https://weibo.cn//u/5839824643,酣月二,女,其他,150,77,93,     举报             赞[0]         回复             2020-12-09 16:08:14 来自网页,0,2020-12-09 16:08
https://weibo.cn//u/7404788934,小蚂蚁·1998,男,山东,1048,1202,48,不信谣，不传谣,0,2020-12-09 15:58
https://weibo.cn//678809224,吃货是怎样变成de,女,其他,1430,273,375,回复@我是小福泥啊:说真的，我们四川人真的八卦得很,1,2020-12-09 15:54
https://weibo.cn//u/7510234265,宁搁这放盐水干甚,男,其他,16,14,1,回复@熟悉面:你是想表达某些营销号假借钟南山院士的身份宣传自己的假冒药误导老人，以此谋利吗？,0,2020-12-09 15:50
https://weibo.cn//u/5092374229,单纯的小王爷,男,其他,2,34,4,回复@倾听寂寞心跳的旋律:火处理，没有gc了,0,2020-12-09 15:49
https://weibo.cn//u/2107955882,Oh-Bad-Boy,男,广东,1396,2558,174,这样也行？,0,2020-12-09 15:48
https://weibo.cn//u/7510234265,宁搁这放盐水干甚,男,其他,16,14,1,回复@倾听寂寞心跳的旋律:大部分造谣狗抓不住的,0,2020-12-09 15:47
https://weibo.cn//u/7261562788,穿白色裙子的你,女,其他,65,65,19,这些造谣的人真的该惩罚惩罚了，哪怕是关几天也行啊！,0,2020-12-09 15:47
https://weibo.cn//u/7510234265,宁搁这放盐水干甚,男,其他,16,14,1,回复@LiveNewLife7:造谣可以赚钱,1,2020-12-09 15:46
https://weibo.cn//u/5750544930,落木神小川,男,江苏,10751,2886,650,希望下次国家出台法律把造谣的人牙齿都打碎,0,2020-12-09 15:45
https://weibo.cn//u/7530928059,小乔夏木,男,北京,57,36,1,不信谣，不传谣，积极辟谣,0,2020-12-09 15:44
https://weibo.cn//u/2770056967,阿悦bubble,女,山东,0,243,761,真的是,0,2020-12-09 15:43
https://weibo.cn//u/3686923214,柳絮飞2019,男,北京,697,1040,98,疫情期间留言不断,0,2020-12-09 15:41
https://weibo.cn//u/6872169035,一品鲜居清酒,男,四川,320,165,1336,回复@单指拨胡琴:这种人人自危的时候  不要相信民间传言各位  我身在其中呢,0,2020-12-09 15:39
https://weibo.cn//u/6383464432,冼飞尘码农,男,辽宁,40,12,1,怎么可以真的可爱呢,0,2020-12-09 15:33
https://weibo.cn//u/6833689777,米兰奢侈站分号,女,澳门,86,36,26,     举报             赞[0]         回复             2020-12-09 15:27:13 来自网页,0,2020-12-09 15:27
https://weibo.cn//u/7255288469,乌漆嗎黑99487,男,其他,220,649,5,冲冲冲,0,2020-12-09 15:17
https://weibo.cn//u/2729459001,互联网Amway阳光雨点,男,贵州,6120,19888,1311,     举报             赞[0]         回复             2020-12-09 15:16:27 来自网页,0,2020-12-09 15:16
https://weibo.cn//u/2607311537,王家小木木,男,辽宁,1811,1138,250,不造谣 不传谣,0,2020-12-09 15:13
https://weibo.cn//607997893,左左冷禅,男,山东,11446,921,15256,这个老贼,0,2020-12-09 15:12
https://weibo.cn//u/5995907336,xx是个mm怪,男,其他,576,306,87,造tm的谣，本成都人很稳，一点都不慌,0,2020-12-09 15:00
https://weibo.cn//u/7434386120,大陈哦689,男,其他,348,731,3,哇哦,0,2020-12-09 14:58
https://weibo.cn//u/7196888299,甜玉儿cindy,女,河北,51,527,6,     举报             赞[0]         回复             2020-12-09 14:57:14 来自网页,0,2020-12-09 14:57
https://weibo.cn//u/6644208238,蜜蜂我最胖,女,其他,73,91,50,早,0,2020-12-09 14:50
https://weibo.cn//u/1426562973,熟悉面,女,其他,1156,273,109,是啊  他来有毛用。就会宣传什么胶囊有用，什么颗粒有效。误导消费者,1,2020-12-09 14:49
https://weibo.cn//u/6256754599,A招财猫A687,男,北京,140,4897,70,...,1,2020-12-09 14:40
https://weibo.cn//u/6287091259,A钟亚丽,女,其他,0,22,1,还是要做好防护，口罩带起来，不能大意,0,2020-12-09 14:35
https://weibo.cn//u/7314259659,邓兴全201910,男,其他,161,78,6,丽要乱发消息,0,2020-12-09 14:30
https://weibo.cn//u/2493466551,-Libra丹,女,江苏,1871,1722,257,。,0,2020-12-09 14:30
https://weibo.cn//u/3298342701,yk月月鸟,男,浙江,633,114,55,假的,0,2020-12-09 14:28
https://weibo.cn//770545659,vay小陳,男,上海,130,67,2007,好大个烟锅巴踩不熄，造谣的这些憨批,0,2020-12-09 14:26
https://weibo.cn//u/7388263379,D家-小丽,女,其他,153,149,30,造谣的宝宝你过来一下,0,2020-12-09 14:26
https://weibo.cn//a141990,_小雯子,女,北京,413,448,728,嗯,0,2020-12-09 14:23
https://weibo.cn//u/2527355317,是不是一条傻狗,男,湖南,805,145,219,再说了，去钟南山病毒就消失了？？脑子呢，,0,2020-12-09 14:23
https://weibo.cn//u/2248329664,巴适得很嘛,女,四川,911,204,306,这还不至于出动钟老吧。这些造谣生事的真的应该抓起来！大家自己做好防护，不给国家添乱！,1,2020-12-09 14:14
https://weibo.cn//u/5464966788,大鱼焗海棠,男,重庆,6,123,102,抓到造谣的，直接送往新冠防控一线,0,2020-12-09 14:13
https://weibo.cn//u/5656400704,懒汉老袁,男,四川,3306,2314,608,抓住屎都打出来,0,2020-12-09 14:13
https://weibo.cn//u/7305161889,Hi-張鲲鹏,女,北京,110,69,14,，，,0,2020-12-09 14:10
https://weibo.cn//u/7305161889,Hi-張鲲鹏,女,北京,110,69,14,，,0,2020-12-09 14:10
https://weibo.cn//u/3154158235,涓涓细流5021246,女,河北,861,926,77,悬,0,2020-12-09 14:09
https://weibo.cn//u/7215308382,顾合唱不好停车,女,四川,4377,377,21,呃呃呃我真是服了服了服了！怎么天天有瓜的在造谣？？？,0,2020-12-09 14:07
https://weibo.cn//u/2605138564,denis小朋友,男,上海,3807,173,697,可恶的造谣人,0,2020-12-09 14:03
https://weibo.cn//u/6099944344,用户我的世界很阳光,女,重庆,431,57,21,哦？,0,2020-12-09 14:02
https://weibo.cn//u/7372910097,是芒果丫mm,女,其他,11,81,6,神经病吗一天天造谣的人,0,2020-12-09 13:54
https://weibo.cn//u/3837620527,竹鹤松石,男,湖北,100,177,19,就是一瘟神，谁都不欢迎！,0,2020-12-09 13:53
https://weibo.cn//u/6067590100,心在梦不在的重症患者,男,其他,44,160,3,     举报             赞[0]         回复             2020-12-09 13:52:38 来自网页,0,2020-12-09 13:52
https://weibo.cn//u/5252868718,我喜欢的都发财,女,广东,3873,70,1213,回复@今年要过完注会混过保代:我作为四川人，也真的很无语四川人的造谣能力，听风就是雨，烦得很,2,2020-12-09 13:50
https://weibo.cn//u/5496722575,98翎吖,女,天津,6,49,83,。,0,2020-12-09 13:49
https://weibo.cn//u/2010523015,Yipway,男,广东,191,642,228,造谣的都什么居心,0,2020-12-09 13:45
https://weibo.cn//u/6081813086,死不掉活不好废人而已,女,山西,1792,24,80,     举报             赞[0]         回复             2020-12-09 13:39:41 来自网页,0,2020-12-09 13:39
https://weibo.cn//u/3255188753,好像君,男,山东,2773,2514,232,！！！！,0,2020-12-09 13:38
https://weibo.cn//u/2244206767,罗罗哇_,女,四川,14,60,2589,怎么那么多造谣的，服了简直！,0,2020-12-09 13:37
https://weibo.cn//u/7514755228,未来一搏,女,山东,96,66,2,回复@沐瑰瞳:管你冱,0,2020-12-09 13:36
https://weibo.cn//u/2794515517,HeyyyyyyJude,男,安徽,200,43,105,为了流量不择手段造谣,0,2020-12-09 13:36
https://weibo.cn//u/6383389186,生息不断,男,其他,1327,81,232,，,0,2020-12-09 13:35
https://weibo.cn//u/2470670671,灵魂知音VS沁,女,四川,201,243,61,几个就让钟老来，我们大四川医疗这么差劲吗。把天天造谣的抓起来严惩。网警辛苦了,0,2020-12-09 13:34
https://weibo.cn//u/5746463620,东百浪漫革命,男,辽宁,209,506,229,回复@Kuxxxxx:一打开各种媒体平台，成都屁大点事都要营销一下，全网高潮。好事适当宣传没问题，过犹不及，再加上很多四川人随着成都的发展，越来越自信，在不了解的前提下对其他地区各种不尊重，也是惹人反感的点之一，我不回避问题，也不护短,0,2020-12-09 13:33
https://weibo.cn//u/7512714599,阳阳须努力,女,广东,102,82,10004,天天造谣，都不嫌累？,0,2020-12-09 13:33
