评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3852108705,_你妈叫你回家吃饭,女,四川,144,92,116,我是酒店前台，酒店在武侯区这，然后5号时候一个叫李泽帅的入住了我们酒店6号退房的，也是21岁99年的。不知道是不是同一个人   害怕,0,2020-12-08 15:02
https://weibo.cn//u/3322728594,老说我昵称格式不正确,女,海外,3848,85,152,谁啊特么这种事都拿来造谣,0,2020-12-08 14:47
https://weibo.cn//u/3852108705,_你妈叫你回家吃饭,女,四川,144,92,116,我是酒店前台，酒店在武侯区这，然后5号时候一个叫李泽帅的入住了我们酒店6号退房的，也是21岁99年的。不知道是不是同一个人   害怕,0,2020-12-08 15:02
https://weibo.cn//u/2560587005,懵十,女,重庆,106,227,329,回复@张益达ENter:耶，不是呦,0,2020-12-08 14:50
https://weibo.cn//u/3322728594,老说我昵称格式不正确,女,海外,3848,85,152,谁啊特么这种事都拿来造谣,0,2020-12-08 14:47
https://weibo.cn//u/1931307737,后现代猥琐大师,男,四川,838,236,254,回复@dou某人的新号:闲的，生活缺乏激情,0,2020-12-08 14:19
https://weibo.cn//pjzrj,蒲江县规划和自然资源局,女,四川,58325,182,6872,【辟谣 | 网传李泽帅为确诊病例赵某密切接触者？假的！】,0,2020-12-08 13:50
https://weibo.cn//u/3240782912,冬日元气c,女,湖北,1500,468,35963,回复@Cottonbro:,1,2020-12-08 13:32
https://weibo.cn//u/2967583483,Ceci爱吃螺蛳粉,女,四川,264,202,296,是假的就好,0,2020-12-08 13:20
https://weibo.cn//u/5996748594,FLIPPED鱼白白,女,四川,197,162,83,造谣的人太可恶了，打工人今天早上误工迟到了，还担惊受怕的，领导要求去做核酸检测,0,2020-12-08 13:17
https://weibo.cn//u/3863866792,奶酪与土豆,女,四川,254,587,166,好开心，得到官方消息,0,2020-12-08 13:10
https://weibo.cn//u/6057475242,陆上河童兽,男,其他,240,198,105,，“学生赵某居住于高新区科华南路银泰泰悦湾，为成华区确诊病例赵某的密切接触者……”  经核实，关于李泽帅确诊的信息不实,1,2020-12-08 13:01
https://weibo.cn//ourgang,敖纲,男,四川,136,266,6423,以官方公告信息为准！,0,2020-12-08 12:50
https://weibo.cn//stevenzhangwei,Steven_五档起步,男,四川,173,485,706, 每到这个时候真的是谣言满天飞,0,2020-12-08 12:49
https://weibo.cn//u/6760399415,看爪,男,北京,944,391,7437,图片评论 ,0,2020-12-08 12:46
https://weibo.cn//u/2053087582,青蛙也有牙,男,四川,106,198,79,回复@人间探险者:支持抓 @平安成都,0,2020-12-08 12:45
https://weibo.cn//u/7398899109,Ookuma-_-2号机,男,四川,858,208,17,传谣的人是真的坏,0,2020-12-08 12:41
https://weibo.cn//u/1872058402,船山微博,男,四川,1897,386,272,这个时候造谣唯恐天下不乱的应该严惩哈,0,2020-12-08 12:28
https://weibo.cn//u/2679886457,不将就也只能凑合了,女,四川,359,132,12,亲，你在检查一下文字，好像有错误呢。是赵某是赵某的密切接触者-？,0,2020-12-08 12:22
https://weibo.cn//312645103,南山一笼鸡,男,北京,14,62,25,坐等对造谣者的处理,0,2020-12-08 12:18
https://weibo.cn//u/1823002213,沉默菋噵18,女,四川,643,655,85,晕，这个都是假的？,0,2020-12-08 11:56
https://weibo.cn//u/5152327143,不加醋的火锅粉,女,其他,241,94,93,朋友圈还有人在发 也是醉了,0,2020-12-08 11:45
https://weibo.cn//u/5865571256,捕捉一个小心动,女,云南,56,181,44,回复@你怎么那么不乖:你关注我吧，我发给你，评论不方便。,0,2020-12-08 11:39
https://weibo.cn//u/6232860215,融化的孤雁,女,福建,11,49,13,回复@你怎么那么不乖:我的是妊娠斑，会好吗？你能详细说说嘛,0,2020-12-08 11:39
https://weibo.cn//u/5865571256,捕捉一个小心动,女,云南,56,181,44,回复@融化的孤雁:我是内调养好的，你也有斑吗？,0,2020-12-08 11:39
https://weibo.cn//u/6232860215,融化的孤雁,女,福建,11,49,13,回复@你怎么那么不乖:你的斑怎么好的呀？,0,2020-12-08 11:38
https://weibo.cn//u/6179269746,蜀人与蜀事,男,四川,8801,1528,5516,造谣的成本太低，泰悦湾躺枪！,0,2020-12-08 11:36
https://weibo.cn//u/1969652591,镜子5654,女,四川,374,139,93,截图造谣满天飞，官方消息转评几十,0,2020-12-08 11:33
https://weibo.cn//u/7382198055,养了只暴躁小猫咪,女,四川,41,18,24,所以赵某是被哪个传染的,0,2020-12-08 11:28
https://weibo.cn//u/6224532563,给你整个排面,女,四川,8797,483,352,啊假的啊，都在发,0,2020-12-08 11:16
https://weibo.cn//u/7415281325,微言四川,男,四川,597,59,645,     举报             赞[0]         回复             2020-12-08 11:16:30 来自网页,0,2020-12-08 11:16
https://weibo.cn//u/1216814457,奥利奥323,女,海外,68,266,213,爆人隐私的也抓起来,0,2020-12-08 11:12
https://weibo.cn//u/2237367180,星星的yon,男,四川,2504,2730,1388,李泽帅是谁？,0,2020-12-08 11:10
https://weibo.cn//u/2750279541,_阿宝姐姐,女,四川,147,174,139,我觉得，如果这个是那个妹妹朋友的话。也要看看是不是这个境外带回来的。如果连朋友都不是那就传的过分了,0,2020-12-08 11:10
https://weibo.cn//u/6041865940,sy_jessica0418_ys,女,重庆,1,105,1,回复@Cottonbro:别人早点给你说不去抓感染者抓他们干嘛,1,2020-12-08 11:06
https://weibo.cn//u/2778787170,心之忧已於我归息,男,四川,164,207,356,意思是我们南充人？还以为是外省的,0,2020-12-08 11:06
https://weibo.cn//serendoo,星壹壹,女,四川,2572,130,1119,哪个把名字和小区都造得这么准！我也看到这个消息了,0,2020-12-08 11:04
https://weibo.cn//u/5865571256,捕捉一个小心动,女,云南,56,181,44,太恐怖了，虽然斑淡化好了，可疫情还没过去。,9,2020-12-08 11:04
https://weibo.cn//u/2309174714,张益达ENter,男,海外,486,921,549,@懵十,0,2020-12-08 11:00
https://weibo.cn//u/7438596776,我想做个羽根结x,女,四川,4802,2075,53,传谣可恶，这种时候传谣的更该被抓，缺德。,0,2020-12-08 10:59
https://weibo.cn//u/5236850298,疯人院长小任性,女,四川,11,159,41,QQ那边转发了一早上结果来微博一看根本没有任何官方发布这个人的确诊信息，造谣的人安的什么心啊,0,2020-12-08 10:58
https://weibo.cn//u/1954820720,热忱的响木_,女,四川,1,26,37,把造谣的抓起来 真的让人恐慌,0,2020-12-08 10:57
https://weibo.cn//ssports2013,Hippo_曼联,男,海外,11117,220,22620,谁转过，都抓起来,0,2020-12-08 10:56
https://weibo.cn//u/5186230667,mhf李,男,四川,69,49,34,抓起来，这个时候还造谣,1,2020-12-08 10:54
https://weibo.cn//u/5272310504,小白我要请你吃饭,男,四川,1164,63,51,不信谣，不传谣,1,2020-12-08 10:54
https://weibo.cn//u/2656435115,老何与葱,男,四川,155,146,5966,辟谣,0,2020-12-08 10:53
https://weibo.cn//u/1629511797,EnergeticJun,男,四川,14,403,201,@凌晨一点半的阳光,0,2020-12-08 10:52
https://weibo.cn//u/6019968129,昵称什么嘀无所谓,男,其他,15679,24,11,吃饱了撑得，必须把造谣的抓起来,0,2020-12-08 10:51
https://weibo.cn//u/6600133672,祝捱到新天地,女,四川,23163,1115,210,建议把造谣和扒人信息的都抓起来哈,0,2020-12-08 10:50
https://weibo.cn//925614646,当年华褪去了生涩,女,四川,6342,75,241,不信谣，不传谣！,0,2020-12-08 10:50
https://weibo.cn//u/2663326965,空谷足音1225,女,四川,328,59,208,加大打击谣言的力度！,0,2020-12-08 10:50
https://weibo.cn//u/1104036695,香武仕1104036695,男,北京,1753,3971,329,特殊时期把造谣抓起来，搞得人心晃晃的！,0,2020-12-08 10:49
