评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5344832198,左右南北,男,四川,126,246,13058,全员核酸检测吧,42,2020-12-08 10:56
https://weibo.cn//u/5272310504,小白我要请你吃饭,男,四川,1164,63,51,浑水摸鱼造谣闹事者好自为之，不要等被抓了再后悔，大家不信谣不传谣,30,2020-12-08 10:55
https://weibo.cn//u/6067284892,-周是我,男,四川,1712,154,1097,那些造谣的吃饱了嗦,24,2020-12-08 10:54
https://weibo.cn//u/6970152807,蓝隼37401,男,其他,716,380,372,封城这么大的事怎么可能卫健委出通知,0,2020-12-08 17:17
https://weibo.cn//u/1689016520,wumingshi7,男,北京,1557,634,902,还是封城吧,0,2020-12-08 14:45
https://weibo.cn//pjzrj,蒲江县规划和自然资源局,女,四川,58325,182,6872,【辟谣 | ,0,2020-12-08 13:50
https://weibo.cn//u/3660523610,淡定的桃之女王,女,四川,748,881,445,应该查一下，谣言是从哪里出来的,0,2020-12-08 13:24
https://weibo.cn//u/6709002756,北天石,男,四川,14,340,614,唯恐天下不乱,0,2020-12-08 13:18
https://weibo.cn//snowbamboo,夜雪折竹声,男,海外,11331,1316,1646,就几个封鸡毛,0,2020-12-08 12:58
https://weibo.cn//u/3515624747,锦住建交,男,四川,4617,185,421,【辟谣 | ,0,2020-12-08 12:50
https://weibo.cn//327070720,Lanxll,女,四川,7329,287,3314,如果全员核酸和封城能尽快查出那个源头，我也没得意见,0,2020-12-08 12:45
https://weibo.cn//u/5856591941,纯白色虞姬,女,河南,78,225,99,回复@你怎么那么不乖:已关注，求分享。谢谢！,0,2020-12-08 12:24
https://weibo.cn//u/6232860215,融化的孤雁,女,福建,11,49,13,回复@你怎么那么不乖:你的斑怎么好的呀？,0,2020-12-08 12:23
https://weibo.cn//durflee,joehemmings,男,四川,11,238,292,真搞不清楚那些专门p图造谣的人是为了什么,0,2020-12-08 12:07
https://weibo.cn//u/6095878000,啾一个吧888,女,重庆,6124,311,1112,好的,0,2020-12-08 12:02
https://weibo.cn//u/6305024833,记录流浪者之家,男,其他,49,240,28,用点脑袋想想，这种情况最多就是全员核酸检测，怎么可能封城,0,2020-12-08 11:59
https://weibo.cn//raven7,殓房镇暴兵团,男,四川,1569,611,420,要封城排查也无所谓，赶快弄清楚查彻底。,2,2020-12-08 11:59
https://weibo.cn//u/1367868205,用户gh5ja6bjxh,女,其他,785,317,8,回复@我儿子叫蔡真的好吃:那两个是境外回来的,0,2020-12-08 11:59
https://weibo.cn//u/1823002213,沉默菋噵18,女,四川,643,655,85,早点抓到这个造谣者，唯恐天下不乱吗！,0,2020-12-08 11:55
https://weibo.cn//u/3645602767,Lemonan龍,男,新疆,190,1041,1168,多大个事，还扯到封城，现在不是元月份，个人管好个人，配合核酸，舞照跳，酒照喝,0,2020-12-08 11:51
