评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2726038843,陈二傻立志成为摄影师,男,海南,16833,463,575,卧槽！怎么今天谣言满天飞啊！造谣的人真的是唯恐天下不乱嗦！造谣者应该为自己的嘴巴和手手付出相应的代价！,31,2020-12-08 13:34
https://weibo.cn//u/5631350879,張板栗儿,女,湖南,128,107,532,川音新都校区表示已封校,46,2020-12-08 20:59
https://weibo.cn//u/3259154101,姑娘出息那么一点行不,女,四川,677,111,192,造谣可耻,5,2020-12-08 13:37
https://weibo.cn//u/3237561085,林海海的海,男,四川,1471,994,190,回复@MIniHeDgHog:之前不知道，不好意思，没想到这个辟谣辟的是假的,1,2020-12-11 16:49
https://weibo.cn//u/2948199174,MIniHeDgHog,男,四川,6,272,135,回复@林海海的海:你是学生么？我们封了你在说啥？,0,2020-12-11 16:48
https://weibo.cn//u/2948199174,MIniHeDgHog,男,四川,6,272,135,川音？现在出去很难盖章和请假手续 出去一次回来的时候好要提供最新的核酸检测报告 学生表示已经出不去了 你还辟谣？这就是记者吧 张口就来,1,2020-12-11 16:47
https://weibo.cn//u/6938218179,小宸丶7,男,四川,5,43,6,回复@張板栗儿:老子翻墙出来的，怎么滴，来抓老子？,0,2020-12-10 21:46
https://weibo.cn//u/7040182040,阿鹿有梦,女,其他,2,87,2,回复@洛咯络珞:今儿好像连假都请不了了吧,0,2020-12-10 18:04
https://weibo.cn//u/7040182040,阿鹿有梦,女,其他,2,87,2,回复@張板栗儿:还在辟谣呢，没封校，就是出不去而已。,0,2020-12-10 18:01
https://weibo.cn//Lucy1987410,王万贯_Laura,女,河北,974,139,123,回复@張板栗儿:小区邻居家的孩子在川音，说是封校了,0,2020-12-10 15:52
https://weibo.cn//u/1750077687,-人尔-,女,其他,232,254,508,回复@我是小确丧:在说川音封校的微博下面杠封城，🧠真感人。,0,2020-12-10 00:22
https://weibo.cn//u/5396876485,我是小确丧,男,四川,92,283,226,回复@-人尔-:造谣的封城 封城。 你哪看到封城了，戒严小区和封城是一个概念吗？,0,2020-12-09 23:04
https://weibo.cn//u/1750077687,-人尔-,女,其他,232,254,508,回复@我是小确丧:外面住的都拉着行李回来了，只要进了学校，明文规定除急病和家庭重大变故一律不给盖出门条，你说封没封。,0,2020-12-09 22:38
https://weibo.cn//u/3722746241,JunyiyShang,女,山东,55,137,215,别辟了就是封了,2,2020-12-09 20:10
https://weibo.cn//u/3261726140,烂花笑真,女,其他,6,29,23,已经封了，进学校出不来了，还辟谣，辟个屁啊。作为媒体能不能专业一点。,2,2020-12-09 18:50
