评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//sr19890928,行走的柚子GG,男,湖南,908,109,662,微信上面的一直在维护，只有支付宝上可以用,0,2020-12-08 19:08
https://weibo.cn//u/1250147001,古墓派的画渣,男,四川,225,355,87,每天都有人在用怎么没见访问量过大？确实有没访问到的情况吧？没人传谣，也没听到谁说这个事。,0,2020-12-08 18:40
https://weibo.cn//u/2248329664,巴适得很嘛,女,四川,911,204,306,已经可以用了,0,2020-12-08 17:24
https://weibo.cn//u/5247967665,萤萤逐一笼,女,四川,479,394,73,回复@石墨安:完全不同的区域,0,2020-12-08 23:02
https://weibo.cn//u/7415745832,皮五辣子0073685,男,江苏,29,70,2,回复@哎呀芒芒:四川人民玻璃心吗？我只说我们一直在用苏康码有问题吗？,0,2020-12-08 22:42
https://weibo.cn//u/2460202211,石墨安,女,四川,403,508,202,回复@萤萤逐一笼:,0,2020-12-08 21:28
https://weibo.cn//u/5208084196,那些光阴的故事2020,女,四川,575,220,217,回复@tourpie:好的，谢谢你,0,2020-12-08 20:29
https://weibo.cn//sr19890928,行走的柚子GG,男,湖南,908,109,662,微信上面的一直在维护，只有支付宝上可以用,0,2020-12-08 19:08
https://weibo.cn//u/2641308224,tourpie,女,上海,4921,317,431,回复@那些光阴的故事2020:健康打卡一下就行,0,2020-12-08 18:52
https://weibo.cn//u/1250147001,古墓派的画渣,男,四川,225,355,87,每天都有人在用怎么没见访问量过大？确实有没访问到的情况吧？没人传谣，也没听到谁说这个事。,0,2020-12-08 18:40
https://weibo.cn//u/2248329664,巴适得很嘛,女,四川,911,204,306,已经可以用了,0,2020-12-08 17:24
https://weibo.cn//u/6054399429,回不去的乡秋,男,四川,9,89,125,打麻将的太多了，应该关闭麻将馆。,0,2020-12-08 17:17
https://weibo.cn//shinhwakyj,清冷蓝语,女,四川,5067,60,185,才试了，没问题。有些人就是闲得慌。,0,2020-12-08 17:13
https://weibo.cn//u/5247967665,萤萤逐一笼,女,四川,479,394,73,回复@石墨安:还是不行 说的是疫情期间十五天内不能更改 那我等到十五天过后再改吧 我也不离开这个区域了,0,2020-12-08 16:37
https://weibo.cn//u/5247967665,萤萤逐一笼,女,四川,479,394,73,回复@石墨安:我再去试试 我今天下午试了不行,0,2020-12-08 16:35
https://weibo.cn//u/2460202211,石墨安,女,四川,403,508,202,回复@萤萤逐一笼:但是是14天内只能改一次,0,2020-12-08 16:34
https://weibo.cn//u/2460202211,石墨安,女,四川,403,508,202,回复@萤萤逐一笼:可以改啊 我昨天晚上刚改了,0,2020-12-08 16:33
https://weibo.cn//u/5673919063,傻白是糖粉控,女,其他,611,182,41,回复@萤萤逐一笼:我也搬了，没改地址的咋整啊,0,2020-12-08 16:32
https://weibo.cn//u/7314031819,舜华颜free,女,四川,3475,1265,152,传谣言的是有病么,1,2020-12-08 16:28
https://weibo.cn//u/7415745832,皮五辣子0073685,男,江苏,29,70,2,我们苏康码从开始到现在一直在用，从未停止,0,2020-12-08 16:25
https://weibo.cn//u/6390924713,寻寻幂幂爱扶摇白浅,男,其他,1126,775,709,可以打开,0,2020-12-08 16:23
https://weibo.cn//u/5208084196,那些光阴的故事2020,女,四川,575,220,217,刚才去看了一下，我的健康码已经过期？,0,2020-12-08 16:22
https://weibo.cn//u/1662116440,墨小呆在这里,女,北京,938,107,275,我还打不开，应该升级一下，太不给力了，访问的人一多就崩,0,2020-12-08 16:19
https://weibo.cn//u/1110397750,悠悠南山002,男,其他,62,329,167,咋我的现在还打不开呢？,0,2020-12-08 16:17
https://weibo.cn//u/5186230667,mhf李,男,四川,69,49,34,能打开了,1,2020-12-08 16:12
https://weibo.cn//u/7055397982,Bevva,男,四川,69,28,15,可以用了，我刚才打开了,0,2020-12-08 16:08
https://weibo.cn//u/1667332943,mioalaz,男,海外,67,1237,1685,一天都在辟谣,0,2020-12-08 16:08
https://weibo.cn//u/1868242920,珍惜与永恒,女,四川,8294,462,563,扩,0,2020-12-08 16:06
https://weibo.cn//u/5247967665,萤萤逐一笼,女,四川,479,394,73,我的健康码在今年五月份就搬地方住了，但是当时没更改新的居住地址，现在疫情期间不能更改了。,3,2020-12-08 16:06
https://weibo.cn//u/1517916214,米瑞蓉,女,四川,61940,892,1021237,转发微博,0,2020-12-08 16:05
