评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//lytoro,怒三爷,男,四川,2697,423,1167,这种信息发布的图片很是友善明了！赞一个,26,2020-12-08 23:23
https://weibo.cn//u/1888513141,紫陌轻尘86,女,四川,298,243,161,终于等到这样简单清晰的报道了，各家新闻媒体说的的各不相同。个别病例又是重复报道，想弄清楚有几例跟做数学题一样！,28,2020-12-08 23:28
https://weibo.cn//u/1093952161,蒲江发改,男,四川,49448,193,1337,【一图读懂 ,0,2020-12-09 10:07
https://weibo.cn//dayijingkaiqu,大邑经济开发区,女,四川,4401,313,460,转发微博,0,2020-12-09 09:28
https://weibo.cn//lovelizi,骑姐就是骑姐,女,四川,5569,1112,154682,所以截至目前 9日上午，成都一共几例,0,2020-12-09 09:20
https://weibo.cn//u/5697889205,贰仙桥-明明,男,四川,5,128,162,年轻人应该挺得过去，不知道老年人该怎么办了,0,2020-12-09 09:16
https://weibo.cn//u/6822355068,充满正能量的少女0121,女,其他,459,1301,219,成都赶紧来抄作业！十月份时我们青岛发现了六例本土病例就全员检测了，五天内全城1100万人口一个不漏全部检测完毕，是继武汉之后第二座全员检测的城市！不测的还要被抓！,1,2020-12-09 08:56
https://weibo.cn//u/2792871070,考研政治刘涛,男,北京,4810,77,27538,成都加油。信息明了。,0,2020-12-09 08:19
https://weibo.cn//u/2396805674,喵喵喵8,女,上海,9581,898,4709,图不错,0,2020-12-09 07:59
https://weibo.cn//tanleitanlei325,大四叉叉,男,海外,439,306,524,终于发了个看得懂的了,0,2020-12-09 07:38
https://weibo.cn//u/1784386693,人生胳肢窝,女,四川,3243,154,732,简单、清晰,0,2020-12-09 07:29
https://weibo.cn//u/1868242920,珍惜与永恒,女,四川,8294,462,563,扩,0,2020-12-09 07:28
https://weibo.cn//u/6089085676,Sulrain,女,四川,197,222,177,加油，一定可以渡过难关的[加油][加油],0,2020-12-09 05:28
