评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3625202245,xxxxxxxxxxxxx_y,女,四川,962,714,304,谣言图P了中文没P英文…,62,2020-12-12 13:44
https://weibo.cn//u/6794929491,迷死的Sun,男,湖北,969,694,64,，著名公知老谣棍。这都不追究责任？,27,2020-12-12 13:46
https://weibo.cn//u/1953691382,GeekHsiang,女,其他,785,271,408,原路返回四个字真的给我整笑了 哈哈哈哈哈,20,2020-12-12 13:44
https://weibo.cn//746678169,Joelnn,男,四川,194,190,256,图是批出来的？,0,2020-12-13 00:15
https://weibo.cn//u/3811454054,少伤我心X,男,广东,306,256,374,疫情期间故意造谣的，建议刑法处理,0,2020-12-12 20:54
https://weibo.cn//u/1817584503,噔噔噔噔噔的微博,男,西藏,194,132,227,p图的不动英文。。,0,2020-12-12 20:24
https://weibo.cn//pjzrj,蒲江县规划和自然资源局,女,四川,58325,182,6872,【辟谣 | 南京禄口机场要求成都旅客“原路返回”？机场回应：谣言，已报警】,0,2020-12-12 19:57
https://weibo.cn//liyuchun421,Zy1c-,女,四川,2854,187,3491,神经病,0,2020-12-12 19:15
https://weibo.cn//u/6377036548,二马口尧,男,其他,151,45,42,英文都没有一起P，这种憨批，抓起来关半年吧,0,2020-12-12 18:22
https://weibo.cn//u/1776324412,Edison风语,男,四川,60,37,22,回复@xxxxxxxxxxxxx_y:人一样P了的,0,2020-12-12 17:19
https://weibo.cn//shinhwakyj,清冷蓝语,女,四川,5067,60,185,神搓搓的胎神,0,2020-12-12 17:04
https://weibo.cn//u/7280946019,谭佳6120,男,其他,48,63,109,造谣都没人管了，成都公安不做点事吗？,0,2020-12-12 16:41
https://weibo.cn//captainziyang,吃火锅的夏天傍晚,男,北京,2205,841,647,ps这种图片涉嫌寻衅滋事,0,2020-12-12 16:03
https://weibo.cn//u/7362533128,13壹闪亮晶晶,女,其他,114,124,3,回复@墨小呆在这里:真的无语。脑子有病吧。居然还那么多关注,0,2020-12-12 15:50
https://weibo.cn//u/1880562120,我有一片烤面包,男,四川,8116,932,201,立刻对南京实施豆瓣禁运！,1,2020-12-12 15:45
https://weibo.cn//u/3239821482,耗子为自,男,四川,512,436,132,这都相信，智商已经废了！,2,2020-12-12 15:26
https://weibo.cn//u/3627347664,花漾甜心兔,女,四川,2,30,1,这ps技术还好意思出来丢人现眼？,0,2020-12-12 15:22
https://weibo.cn//u/7413179956,拆了-01,男,重庆,1238,227,12, 进来挨打，,2,2020-12-12 15:03
https://weibo.cn//u/1736470421,茉莉丝儿Morris,男,四川,35966,1912,872,P不来英文暴露了一切 人蠢就不要搞幺蛾子 请追责重罚造谣者,0,2020-12-12 15:02
https://weibo.cn//u/7373835213,英击常空,男,山东,1179,1046,169,回复@迷死的Sun:这家伙造的遥,0,2020-12-12 14:57
https://weibo.cn//207181119,小圜圈圈,男,四川,9411,125,274,ps明显，但造谣的请原地火化,4,2020-12-12 14:55
https://weibo.cn//u/1078836810,夕照寒塘,女,其他,2306,840,570,严惩造谣者！太居心叵测,0,2020-12-12 14:55
https://weibo.cn//thetaoyuan,记者陶源,女,北京,416,219,2672,简直了，唯恐天下不乱,0,2020-12-12 14:53
https://weibo.cn//u/2231439650,涛憨憨是我,女,四川,641,189,226,这些编造谣言的人到底是什么心态,0,2020-12-12 14:49
https://weibo.cn//u/2519587673,ZY_ZT,男,四川,5911,334,978,出差党隔7天要去做一次检测才行了~,0,2020-12-12 14:48
https://weibo.cn//276771120,咚儿锵露儿biu,女,四川,341,100,293,@_喵阿九,0,2020-12-12 14:42
https://weibo.cn//u/2329208551,南充嘉陵江畔人,男,四川,4916,72,380,急需快查快处！！,1,2020-12-12 14:34
