评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5880194233,尼尼更博了n,女,四川,228,87,1379,警察叔叔抓人吧！那个啥杨老师！影响恶劣这个时候还要散步谣言 ，把我室友差点吓哭了,111,2020-01-25 10:48
https://weibo.cn//u/5312068257,不羁de流年,男,四川,72,225,89,就是，应该把那个杨老师抓起来，我这里也有那个视频,63,2020-01-25 11:00
https://weibo.cn//u/5742380173,我是那个谁谁谁压,男,江苏,87,97,60,在这种时候，我咋觉得封路更好一点呢,53,2020-01-25 11:01
https://weibo.cn//u/5496372507,番茄啊啊啊啊啊啊,女,四川,26,92,47,请问遂宁市射洪县到成都市封路没,0,2020-01-30 12:29
https://weibo.cn//u/5503994977,A朱海勇,男,四川,6,206,55,宠物能带走吗？,0,2020-01-27 16:12
https://weibo.cn//u/5069299871,北寒带风格吧,男,四川,273,212,47,那名网名为【D. SU】乱发网络信息难道不处罚吗？就只辟个谣？,0,2020-01-27 08:32
https://weibo.cn//u/3112098830,机智糖酱咿呀咿呀哟_,女,四川,5952,152,1089,评论憨批这么多？,1,2020-01-27 08:29
https://weibo.cn//yinzimm,银子爱SUKI,女,四川,3714,442,729,赶紧有措施，那么多人现在才查出来多少…,0,2020-01-27 08:10
https://weibo.cn//u/2423360445,Ez_炫,男,北京,587,660,222,这个时候除了医务人员非常忙碌之外，制造谣言的人员也在加班加点。,0,2020-01-27 07:26
https://weibo.cn//jjoky,唐婷er,女,四川,1402,258,177,回复@Foolish憨人:我知道是造谣的，但是把家里老人吓着了，所以希望有关部门处理一下。              所以你的理解是？,0,2020-01-27 03:18
https://weibo.cn//u/3945977938,古越品逸轩,男,浙江,48090,5,726399,转发辟谣,0,2020-01-27 00:05
https://weibo.cn//u/2265172895,Jane_筱茜xx,女,四川,373,595,446,为啥不封，现在这么严重了。就该封了保平安啊,0,2020-01-27 00:04
https://weibo.cn//maomaolingye,御坂猫要天天向上,女,上海,2199,398,345,@控制狂你到底怎么想,0,2020-01-26 23:19
https://weibo.cn//u/5415029254,简单的ycy,男,四川,6862,991,599,谣言打屎,0,2020-01-26 22:45
https://weibo.cn//u/5223689359,Mint薄荷味儿,男,山东,782,393,206,回复@唐婷er:有些东西过过脑子再说，真不一定真，假不一定假，自己掂量来。,0,2020-01-26 22:22
https://weibo.cn//u/3860939731,吾道正义,男,北京,782,706,2051,你还不如封了呢,0,2020-01-26 21:43
https://weibo.cn//u/6386927952,漂泊在安庆的枞阳人,男,安徽,0,20,1,在必要的时候是可以封的，而不是直接硬回复,0,2020-01-26 18:07
https://weibo.cn//u/6994760619,阴zero,男,广东,0,76,6,所有的高速公路都不会停吗？,0,2020-01-26 17:34
https://weibo.cn//u/2729180843,醉美茶山之西双版纳,男,云南,1656,1898,735,有个辱骂武汉的很火,0,2020-01-26 14:52
https://weibo.cn//u/2881932403,明明如月aa,男,江苏,674,504,255, ,0,2020-01-26 13:42
https://weibo.cn//u/6283798578,花与爱丽丝199009,男,其他,10,206,7,真是很棒的偶像！,0,2020-01-26 12:38
https://weibo.cn//u/5058002832,邹沁良,男,四川,0,3,60,@_Arjuna,0,2020-01-26 12:32
https://weibo.cn//u/7136009971,自动削土豆机,女,上海,403,76,6,回复@唐婷er:这个是湖北口音…,0,2020-01-26 11:54
https://weibo.cn//u/7044165046,干锅红薯藤,男,四川,51,103,761,我初五的火车回得来么？,0,2020-01-26 10:48
https://weibo.cn//u/1326135903,记礼,男,海外,11,199,1208,真的是谣言吗。封城对全国都好 ,0,2020-01-26 10:33
https://weibo.cn//u/5880194233,尼尼更博了n,女,四川,228,87,1379,回复@勇农民芭比Treelov_174:微信公众号，搜较真,0,2020-01-26 10:12
https://weibo.cn//u/3518703864,勇农民芭比Treelov_174,女,上海,3,46,3,回复@尼尼更博了吗:给个链接。,0,2020-01-26 10:09
