评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5784621365,王二麻子扯犊子,男,其他,953,220,31,借个楼，大家要是遇到谣言或者恶意言论，可以到微博监督员的超话里发帖寻求帮助，也可以私发我。我们的兄弟姐妹在前线战斗，我们也要守护好自己的岗位！祝平安,2,2020-01-26 10:16
https://weibo.cn//u/6056930778,雪莲-201308,女,四川,101,5012,672,支持,0,2020-01-27 12:51
https://weibo.cn//u/3297145281,壳油刘,女,四川,87,342,231,建议天回镇银杏园上面查一下 还在聚众钓鱼 打麻将 吃饭 真的无语了,1,2020-01-26 13:39
https://weibo.cn//u/6056930778,雪莲-201308,女,四川,101,5012,672,支持,0,2020-01-27 12:51
https://weibo.cn//u/2034043214,herseyhe,女,四川,427,337,317,回复@CexVone:杨老师已经公开道歉了,0,2020-01-26 22:33
https://weibo.cn//u/2205854524,海边的曼彻斯特627,男,四川,15,137,102,回复@成都的蜡笔小新:不动脑子,0,2020-01-26 17:52
https://weibo.cn//elyanlo,夏日x不知,男,四川,114,490,2953,回复@成都的蜡笔小新:你看看这个病毒名字,1,2020-01-26 16:46
https://weibo.cn//u/5948289588,CexVone,男,其他,137,228,297,还有一个啥子杨老师 造谣可以抓了,0,2020-01-26 15:28
https://weibo.cn//u/3297145281,壳油刘,女,四川,87,342,231,建议天回镇银杏园上面查一下 还在聚众钓鱼 打麻将 吃饭 真的无语了,1,2020-01-26 13:39
https://weibo.cn//u/3760850730,土豆车库,男,湖北,5444,1238,97496,我微信艾特您不回复一下吗？,1,2020-01-26 12:48
https://weibo.cn//MaplesLee,成都的蜡笔小新,男,四川,1638,432,371,回复@成都的蜡笔小新:@成都网警巡查执法 请核查，微信是已经很多群在转发了,0,2020-01-26 11:59
https://weibo.cn//MaplesLee,成都的蜡笔小新,男,四川,1638,432,371,回复@成都的蜡笔小新:@成都网警巡查执法 有人造谣不能吃鱼，尤其是酸菜鱼，我寻思酸菜鱼得罪谁了,0,2020-01-26 11:58
https://weibo.cn//MaplesLee,成都的蜡笔小新,男,四川,1638,432,371,回复@成都的蜡笔小新:图片评论 评论配图,0,2020-01-26 11:57
https://weibo.cn//XuTianJun666,徐天俊,男,四川,3006,530,2437,微信是真的牛批，红包类消息直接AI识别不让复制，谣言就识别不了,0,2020-01-26 11:28
https://weibo.cn//u/2644764562,今天吃板蓝根了吗,男,四川,278,66,136,不能就简单辟谣，等疫情过去了，一定要把造谣的人绳之以法，对造谣者的处罚还是太轻了,0,2020-01-26 10:40
https://weibo.cn//u/5784621365,王二麻子扯犊子,男,其他,953,220,31,借个楼，大家要是遇到谣言或者恶意言论，可以到微博监督员的超话里发帖寻求帮助，也可以私发我。我们的兄弟姐妹在前线战斗，我们也要守护好自己的岗位！祝平安,2,2020-01-26 10:16
