评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1654613841,SuperHolic88,女,四川,20697,2094,488,我朋友圈那个成都总府路王府井海蓝之谜的柜姐刚刚还在朋友圈转发这个！不动脑子的吗？！无语！,2,2020-02-04 12:49
https://weibo.cn//u/3898798802,成都暖心,女,四川,9656,614,291992,网警辟谣——“成都某小区业主使用酒精不当引燃房屋”为不实信息！,1,2020-02-04 15:17
https://weibo.cn//cdhotshare,成都唠一唠,女,四川,12162,527,437916,网警辟谣——“成都某小区业主使用酒精不当引燃房屋”为不实信息！,0,2020-02-04 11:31
https://weibo.cn//u/5791423478,既然琴瑟起亻可以笙簫默,男,四川,29,82,3775,回复@不是泡泡肉:看图我都知道的是假的了 明明早就有其他地方拿出来谣言还被辟谣了这些人智商,0,2020-02-11 14:17
https://weibo.cn//u/5791423478,既然琴瑟起亻可以笙簫默,男,四川,29,82,3775,回复@Maybe丶再见:湖南某小区曾背这个锅 同样的图同样的事换个地名而已 怀疑这些人都是不看新闻的 我都看到好几个地方辟谣这个图了,0,2020-02-11 14:15
https://weibo.cn//u/6065429674,伊涵111888,女,四川,3262,1590,390,每一次谎言的背后都有一个居心叵测的人,0,2020-02-04 23:44
https://weibo.cn//u/2152843064,wbo129,男,四川,2994,237,521,这要能烧了，得多少酒精，普通家不可能存这么多,0,2020-02-04 21:42
https://weibo.cn//u/6390924713,寻寻幂幂爱扶摇白浅,男,其他,1126,775,709,微信群传播的“成都某小区业主使用酒精不当引燃房屋”，成都警方辟谣！,0,2020-02-04 21:03
https://weibo.cn//u/2866109812,cutxxxxxxxx,男,四川,24,4410,479,回复@锦瑟荼靡:,0,2020-02-04 20:35
https://weibo.cn//u/5290858786,著名川剧变脸选手,女,上海,488,440,424,我都不知道哪有来那么多没脑子的……………………还转发,0,2020-02-04 19:02
