评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1886582512,赛德先生,男,四川,1116,453,399,请调查下这条微博反映的内容 ,35,2020-02-04 23:46
https://weibo.cn//u/6026859381,雨中雨非雨,男,其他,100,43,87,成都网警：你好！这次肺炎，我相信很多人都希望快点结束。首先该视频应该在某个地方发生真实存在的，我觉得你们不应该仅仅是只辟谣，应该告知大家该视频是哪里，这是一个闭环过程，大家就清晰明白发生在哪里，大家也会更加重视，而不是一句（经核查，该视频并非本地），不信谣不传谣，谢谢。,22,2020-02-05 09:39
https://weibo.cn//u/5331510364,聚雨狐,男,重庆,78,71,43,不是成都那是哪儿啊，既然有图，肯定哪出现这个情况了啊，只发说不是，那到底是哪？,24,2020-02-04 17:36
https://weibo.cn//u/2741102815,2月龙抬头,男,四川,209,192,63,回复@Amou1:这个前几天说的是疑似，现在我不知道,0,2020-02-08 13:43
https://weibo.cn//chunbairose,rosemary1002,女,四川,6,251,477,那你说是哪呀？,0,2020-02-07 05:10
https://weibo.cn//574299165,我想如鲸游向海,女,四川,3957,563,130,成都网警你好！最近各个微信群说不能讨论疫情，不论真假一律封群封号，请问是真的吗？那这样不交流疫情，想提醒不在身边的家人注意防护，还有及时给他们看真实的报道进行辟谣都不能吗？请回答一下吧，只讨论疫情不造谣不传谣会被微信封号吗？？好多个群都在说禁止讨论了,0,2020-02-06 19:30
https://weibo.cn//u/5394233530,不如陪我吹吹风,女,海外,1,48,50,回复@不如陪我吹吹风:你好  请问现在是不许人买口罩了吗？  这个人说要当官的才能买到正规口罩了？这个人是成都双流的  卖了我假的东西  还造谣吗？,0,2020-02-06 10:45
https://weibo.cn//u/5394233530,不如陪我吹吹风,女,海外,1,48,50,图片评论 ,0,2020-02-06 10:44
https://weibo.cn//u/6223222550,Icey_suki,女,其他,4118,170,80,你们听一下方言就知道不是成都啊。。。。,0,2020-02-06 10:29
https://weibo.cn//u/5848577094,二月_拾柒,女,重庆,432,83,205, ,0,2020-02-06 03:47
https://weibo.cn//u/2524938635,Ophelia-,女,四川,523,233,129,看到绵阳的说是他们隔壁栋，难道是绵阳？,0,2020-02-05 17:54
https://weibo.cn//u/1449271791,锦瑟荼靡,女,四川,2543,248,500,成都要是像深圳南京甚至四川部分城市一样精准通报，详细到具体小区，哪有这么多谣言生存的空间。堵不如疏，公开透明是击退谣言最好的办法,6,2020-02-05 16:12
https://weibo.cn//u/6905321718,-戍心,男,海外,24,28,8,回复@王入眠:？,0,2020-02-05 15:49
https://weibo.cn//u/2778324295,E网无忌-,男,四川,8837,156,256,有人说此视频发生地是重庆某小区，是这样吗?成都网警？,2,2020-02-05 15:15
https://weibo.cn//u/6487500388,与你无关108,女,其他,821,286,224,回复@夢转浅回113:不是成都，但是麓山国际确实有,0,2020-02-05 13:57
https://weibo.cn//louisronniedan,LouisR_DarthVader,女,四川,6952,725,1717,吓到都不敢回家了      举报             赞[1]         回复             2020-02-05 13:02:26 来自网页,1,2020-02-05 13:02
https://weibo.cn//awesomewoman,王入眠,男,其他,299,276,885,@cdc丶申屠,0,2020-02-05 12:02
https://weibo.cn//u/2905178043,哈登登登登登登登登登,男,北京,80,82,102,回复@北潞_:听声音有点像内江话……,0,2020-02-05 10:30
https://weibo.cn//u/5474577317,Deborah辛束,女,其他,1725,525,261,回复@聚雨狐:也有可能是白头盔,0,2020-02-05 10:23
https://weibo.cn//duanyi0724,安室奈丑惠子,男,广东,2313,191,5029,回复@聚雨狐:我也这么觉得 这个通报意思就是 不是成都是别的地方,4,2020-02-05 10:12
https://weibo.cn//u/3189411930,Xngxixi,女,其他,28,317,765,回复@母驴家的贰羊:说话阴阳怪气的一律按八千处理,0,2020-02-05 10:10
https://weibo.cn//u/5108763280,-Luyii,女,其他,37,364,479,回复@白羽浅浅不知深:真的有在家自愈的吗？ 我不知道，想知道,1,2020-02-05 10:08
https://weibo.cn//u/3145812311,zheshimmjj3333,女,北京,1672,1027,172,重庆人表示，这不是成都,3,2020-02-05 10:07
https://weibo.cn//u/6026859381,雨中雨非雨,男,其他,100,43,87,成都网警：你好！这次肺炎，我相信很多人都希望快点结束。首先该视频应该在某个地方发生真实存在的，我觉得你们不应该仅仅是只辟谣，应该告知大家该视频是哪里，这是一个闭环过程，大家就清晰明白发生在哪里，大家也会更加重视，而不是一句（经核查，该视频并非本地），不信谣不传谣，谢谢。,22,2020-02-05 09:39
https://weibo.cn//u/5146195778,merrill-R,女,四川,13,79,97,回复@母驴家的贰羊:也许她说的是事实，不过官家为了避免造成恐慌，所以。。。灾难面前，没有谁对谁错，有的人想寻求真相，有的人想保护大家。,1,2020-02-05 08:18
https://weibo.cn//u/1211941147,王大狗是谁,男,其他,2696,554,700,回复@王大狗是谁:图片评论 http://t.cn/A6PRcdS1,0,2020-02-05 05:10
https://weibo.cn//u/1211941147,王大狗是谁,男,其他,2696,554,700,回复@王大狗是谁:群里聊天记录 http://t.cn/A6PRcdtK,0,2020-02-05 05:10
https://weibo.cn//u/1211941147,王大狗是谁,男,其他,2696,554,700,这个人高价出售假3m ,4,2020-02-05 04:40
https://weibo.cn//u/1868629520,我儿子叫蔡真的好吃,女,四川,27215,160,1522,朋友圈和微信群，看到消息就不能先求证一下再转发啊,1,2020-02-05 00:55
https://weibo.cn//u/6230228955,哎呀闹麻了,女,其他,234,149,64,管管我们小区业主群吧，天天发一些东西,1,2020-02-05 00:25
https://weibo.cn//u/2936233265,Mogu666,女,四川,7,244,86,哪里哟,1,2020-02-05 00:18
https://weibo.cn//chunbairose,rosemary1002,女,四川,6,251,477,警察叔叔可以说说是哪里吗 知道大概哪里 要是我们离得近也会更加注意的,1,2020-02-04 23:47
https://weibo.cn//u/1886582512,赛德先生,男,四川,1116,453,399,请调查下这条微博反映的内容 ,35,2020-02-04 23:46
https://weibo.cn//u/1777035235,Amou1,女,四川,14,167,318,沙湾东一路菜市的门卫感染是造谣吗,5,2020-02-04 23:35
https://weibo.cn//yuer666,鱼儿悠悠摆,女,四川,1234,205,246,那到底是哪里嘛？,2,2020-02-04 22:42
https://weibo.cn//u/2773637501,及家二小姐,女,四川,50,84,85,那是哪儿？？？？,4,2020-02-04 22:24
https://weibo.cn//u/5590794921,Zys997_,女,四川,325,143,100,还有说是我们绵阳滴,1,2020-02-04 22:00
https://weibo.cn//u/5331510364,聚雨狐,男,重庆,78,71,43,回复@夢转浅回113:只是觉得这情况通报,0,2020-02-04 21:37
https://weibo.cn//u/2741102815,2月龙抬头,男,四川,209,192,63,而且，还有人传说是塔子山，所以说估计视频导致谣言到处飞，希望那些被封了单元门的能发出来让大家知道，避免健康的人们无意中走到那边去，特别是外卖和物流人员，他们的风险更大,2,2020-02-04 21:33
https://weibo.cn//u/2741102815,2月龙抬头,男,四川,209,192,63,有人说是麓山国际的视频，不能确定，但是麓山国际确实有人得病了，业主本人也在业主群里面公开了他们一家人的情况,1,2020-02-04 21:30
https://weibo.cn//u/3284055527,白饿娃,女,四川,245,82,383,回复@兔子吃猫粮:百倍不太可能哦.. 十倍估计嘛...,6,2020-02-04 21:25
https://weibo.cn//u/2705308341,夢转浅回113,女,四川,580,580,208,回复@聚雨狐:相信官网，不是成都就行了,0,2020-02-04 21:25
https://weibo.cn//u/2639041477,白羽浅浅不知深,女,四川,843,276,96,回复@母驴家的贰羊:那她咋不说轻症在家自愈了的有好多呢,4,2020-02-04 21:00
https://weibo.cn//u/5173143595,举头望明月001,男,北京,176,200,321,回复@母驴家的贰羊:同样的句式，同样的语气，什么，流浪汉，我才知道，什么内部消息……有组织的。,3,2020-02-04 19:33
https://weibo.cn//u/2884127734,RiversChen,男,浙江,7,232,956,回复@母驴家的贰羊:是真的呢。情况很严重，但我不能说。真的很严重。,0,2020-02-04 19:29
https://weibo.cn//conan007yy,逝忆如枫,男,天津,779,214,54,回复@RiversChen:看来是真没人管了，这造谣的在我微博喷我呢,0,2020-02-04 19:25
https://weibo.cn//u/2778787170,心之忧已於我归息,男,四川,164,207,356,整得我们上班的人心惶惶的，只说不是成都。那到底是哪个地方嘛？,3,2020-02-04 19:12
https://weibo.cn//dydaiyue,人参汤,女,四川,12728,243,107,到底是哪里？🈶️视频说明是真的发生了，不能光说不是成都，到底是哪里也让大家安心啊,1,2020-02-04 18:41
https://weibo.cn//huberta2011,sissiae,女,四川,141,439,427,那是哪儿嘛,0,2020-02-04 18:05
https://weibo.cn//u/7281442536,兔子吃猫粮,女,广东,1123,270,35,回复@母驴家的贰羊:要是死几万人 还能藏得住？ 真的是愚昧。,2,2020-02-04 17:36
https://weibo.cn//u/5331510364,聚雨狐,男,重庆,78,71,43,不是成都那是哪儿啊，既然有图，肯定哪出现这个情况了啊，只发说不是，那到底是哪？,24,2020-02-04 17:36
https://weibo.cn//u/1846473867,清凉一族_neu,男,辽宁,5358,67,289,回复@母驴家的贰羊:这个……额……不敢说,0,2020-02-04 17:30
https://weibo.cn//ibaoliao,成都头条,女,四川,40368,1344,1010433,心累…,1,2020-02-04 17:19
https://weibo.cn//conan007yy,逝忆如枫,男,天津,779,214,54,这个能查一下吗 ,2,2020-02-04 17:14
https://weibo.cn//panguangzheng1989,热门成都事儿,男,四川,8777,4338,104008,【网警辟谣——网传“成都某小区出现大量医护人员”为不实信息】,0,2020-02-04 17:14
https://weibo.cn//zyltop,_昨天涯,男,四川,2772,352,123,警方辟谣,2,2020-02-04 16:20
https://weibo.cn//u/5057050669,争取争取再争取-,男,四川,6060,6823,272549,成都网警辟谣:网传“成都某小区出现大量医护人员”为不实信息，请广大成都网民切勿再传播不实信息(包括微信群内）！,0,2020-02-04 15:57
https://weibo.cn//u/2894417981,沙漏d11,女,四川,639,228,311,不造谣不传谣不信谣,3,2020-02-04 15:41
