评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//jiamusiwangjing,佳木斯网警巡查执法,男,黑龙江,2385,820,3523,转发微博,0,2020-02-05 10:06
https://weibo.cn//louisronniedan,LouisR_DarthVader,女,四川,6952,725,1717,求辟谣,2,2020-02-05 13:11
https://weibo.cn//u/5601758623,只我独自热恋,女,北京,66,159,153,警察叔叔 看一下图上面这个是真是假啊 家在附近 有点怕,1,2020-02-05 10:32
https://weibo.cn//u/6311014848,Lope丶跑跑,男,四川,8,67,182,回复@梦露的QQ空间:我问的物管，物管说的确诊了,0,2020-02-05 23:11
https://weibo.cn//u/5601758623,只我独自热恋,女,北京,66,159,153,回复@Lope丶跑跑:我住旁边万科！但是最近过年在老家！！朗香坊那儿真的有人确诊吗？？这太恐怖了！！,0,2020-02-05 20:42
https://weibo.cn//u/6736313539,十里桃花fdj,男,其他,0,171,1,成都监察委纪委联系方式多少？,0,2020-02-05 17:33
https://weibo.cn//u/6311014848,Lope丶跑跑,男,四川,8,67,182,回复@LouisR_DarthVader:要的要的,0,2020-02-05 17:11
https://weibo.cn//louisronniedan,LouisR_DarthVader,女,四川,6952,725,1717,回复@Lope丶跑跑:一定一定一定要勤洗手 注意啊  特别是厕所的马桶盖不用要盖上 希望一切平安🙏🙏🙏,0,2020-02-05 17:10
https://weibo.cn//u/6311014848,Lope丶跑跑,男,四川,8,67,182,回复@LouisR_DarthVader:第一条是我们小区同一栋，打电话问过物管也说的确诊了，现在我都在居家隔离,0,2020-02-05 17:08
https://weibo.cn//louisronniedan,LouisR_DarthVader,女,四川,6952,725,1717,回复@夢转浅回113:我也在很多群里看到了 主要是有一处是我家附近的小区 所以特别想知道真假,0,2020-02-05 16:16
https://weibo.cn//u/2705308341,夢转浅回113,女,四川,580,580,208,回复@LouisR_DarthVader:对头，这个，我大娘都发在家族群里，。网警叔叔，快劈造谣的,0,2020-02-05 16:11
https://weibo.cn//louisronniedan,LouisR_DarthVader,女,四川,6952,725,1717,求辟谣,2,2020-02-05 13:11
https://weibo.cn//u/6390924713,寻寻幂幂爱扶摇白浅,男,其他,1126,775,709,     举报             赞[0]         回复             2020-02-05 11:48:57 来自网页,0,2020-02-05 11:48
https://weibo.cn//u/5601758623,只我独自热恋,女,北京,66,159,153,警察叔叔 看一下图上面这个是真是假啊 家在附近 有点怕,1,2020-02-05 10:32
https://weibo.cn//qiumomingtang,请叫我崔元芳,男,四川,1148,392,441,您好 问哈现在网传天涯石西街49号确诊3例，说该小区已封闭是不是真的啊？,0,2020-02-05 10:21
https://weibo.cn//jiamusiwangjing,佳木斯网警巡查执法,男,黑龙江,2385,820,3523,转发微博,0,2020-02-05 10:06
