评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//scolcn,四川在线,男,四川,5113,1030,815704,转发微博,1,2020-02-07 16:56
https://weibo.cn//u/5921199319,四川网警巡查执法,男,四川,6854,272,20419,【网警辟谣——“成都一小区市民在家用酒精消毒引爆炸？”谣言！】,0,2020-02-07 17:59
https://weibo.cn//u/6205431300,小糖糖de唐,男,四川,533,301,141,及时辟谣,5,2020-02-07 17:30
https://weibo.cn//u/6056930778,雪莲-201308,女,四川,101,5012,672,支持,0,2020-02-28 18:58
https://weibo.cn//u/2258298491,柒个洞,男,四川,19,246,289,回复@花遇和风:看嘛，你的小道消息不靠谱,0,2020-02-09 16:59
https://weibo.cn//u/6091439693,东舟梦,男,湖北,18,38,63,怎么回事，酒精能爆炸?,0,2020-02-09 10:58
https://weibo.cn//u/6410348060,恬2017,女,山东,17,58,5,发生在哪不重要，重要的是这个事是真的就能给大家提个醒，预防为主。,0,2020-02-08 16:34
https://weibo.cn//enny103,温热最好,女,四川,694,152,386,@柒个洞,0,2020-02-08 16:32
https://weibo.cn//u/3146793837,6小we1,女,四川,133,221,71,回复@呲呲球:你看下第二张图下面的文字,0,2020-02-08 00:15
https://weibo.cn//tigerdiego,今晚扁老虎,男,四川,6374,216,1007,谢谢,0,2020-02-07 18:57
https://weibo.cn//tigerdiego,今晚扁老虎,男,四川,6374,216,1007,假,0,2020-02-07 18:57
https://weibo.cn//zll1995,王木木界,女,新疆,9434,525,648,刚老板娘在微信群发完这个视频。。。 我转发了这条微博到微信群辟谣了,1,2020-02-07 18:57
https://weibo.cn//u/5747066698,锦绣天府四川外宣平台,男,其他,782,93,8603,成都一小区市民在家用酒精消毒引爆炸？假的！,0,2020-02-07 18:35
https://weibo.cn//hingis,scorpio,男,其他,2645,404,1915,假的，最开始谣传深圳，现在改成成都了。深圳和成都都没有此通知,0,2020-02-07 18:23
https://weibo.cn//802221968,海心沙没滩,男,广东,1998,103,71,严惩造谣者！,2,2020-02-07 18:23
https://weibo.cn//u/5621072443,北海棒棒冰,女,四川,3,116,5,温馨提示:        刚接通知，定于今晚12点对全市主干道进行大面积消杀、消毒工作。因此次消毒药水浓度较大，请各位于今晚10点后务必呆在家中，不要随意出入，睡觉时请紧闭门窗。以免给您造成身体不适，请各位务必配合消毒工作。（市政府办）  这个是真的还是假的啊？,0,2020-02-07 18:10
https://weibo.cn//u/2150870691,牛奶啵啵三分甜,女,四川,2146,99,264,康康我的私信！！！等一个辟谣！,0,2020-02-07 18:09
https://weibo.cn//u/2939028965,凯美了秀,男,四川,299,350,47,谢谢辟谣,0,2020-02-07 18:04
https://weibo.cn//u/5921199319,四川网警巡查执法,男,四川,6854,272,20419,【网警辟谣——“成都一小区市民在家用酒精消毒引爆炸？”谣言！】,0,2020-02-07 17:59
https://weibo.cn//u/6390924713,寻寻幂幂爱扶摇白浅,男,其他,1126,775,709,感谢辟谣,0,2020-02-07 17:47
https://weibo.cn//u/6390924713,寻寻幂幂爱扶摇白浅,男,其他,1126,775,709,     举报             赞[0]         回复             2020-02-07 17:47:22 来自网页,0,2020-02-07 17:47
https://weibo.cn//u/1773429764,呲呲球,女,宁夏,168,309,278,发生在哪不重要，我觉得这种举动是否会存在安全隐患，着火是不是这个原因。请官博科普如何正确使用和存放酒精,3,2020-02-07 17:41
https://weibo.cn//u/1773429764,呲呲球,女,宁夏,168,309,278,那么是由于酒精浓度过高然后又打开了中央空调引起的吗？,0,2020-02-07 17:38
https://weibo.cn//u/6205431300,小糖糖de唐,男,四川,533,301,141,及时辟谣,5,2020-02-07 17:30
https://weibo.cn//u/3146793837,6小we1,女,四川,133,221,71,凡事先上微博看看真假,11,2020-02-07 17:12
https://weibo.cn//scolcn,四川在线,男,四川,5113,1030,815704,转发微博,1,2020-02-07 16:56
https://weibo.cn//zixuchen,陈子叙,男,四川,20,102,117165,被朋友圈坑了,2,2020-02-07 16:48
