评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//ibaoliao,成都头条,女,四川,40368,1344,1010433,唉,1,2020-02-17 09:11
https://weibo.cn//abwj,阿坝网警巡查执法,男,四川,2448,377,9341,转发微博,1,2020-02-17 15:32
https://weibo.cn//u/2953441174,崇州那些事儿,男,四川,8099,669,53550,网络不是法外之地，造谣必重处,15,2020-02-17 09:14
https://weibo.cn//u/2832252323,金苏_梵天,男,广东,7436,356,573,网传“青白江姚渡镇凉水井发生恶性案件”系谣言，造谣者已被依法处理。,0,2020-02-17 22:19
https://weibo.cn//u/5501787661,周小猪最帅,男,四川,120,105,1388,求原视频出处，我好说服我妈,0,2020-02-17 22:02
https://weibo.cn//u/6347606189,Q-失悲兔,女,四川,8,120,18,哦哟，厉害,0,2020-02-17 21:40
https://weibo.cn//u/1991948951,扎西卓玛YY,女,四川,206,171,1104,真的是脑壳有病  心理有问题嗦,0,2020-02-17 18:42
https://weibo.cn//abwj,阿坝网警巡查执法,男,四川,2448,377,9341,转发微博,1,2020-02-17 15:32
https://weibo.cn//u/6418265414,懒懒的婉晚,女,四川,87,58,10,卧槽，我还问了青白江那边的人，都说是真的。结果是谣言，太夸张了,1,2020-02-17 14:16
https://weibo.cn//u/5288832077,KCIblue,男,重庆,113,92,289,家就在青白江，我妈也听说了，幸好喊她不要乱传，,1,2020-02-17 12:24
https://weibo.cn//qingbaijiang,成都青白江,男,四川,53544,315,308541,网传“青白江姚渡镇凉水井发生恶性案件”系谣言，造谣者已被依法处理,0,2020-02-17 12:13
https://weibo.cn//qingbaijiang,成都青白江,男,四川,53544,315,308541,《网传“青白江姚渡镇凉水井发生恶性案件”系谣言，造谣者已被依法处理》,0,2020-02-17 12:10
https://weibo.cn//u/5347142499,Hejoyllo,女,四川,769,683,1790,网传“青白江姚渡镇凉水井发生恶性案件”系谣言，造谣者已被依法处理,0,2020-02-17 12:09
https://weibo.cn//u/2364461085,老是在停电,男,四川,1075,173,78,青白江只瓜嘛,0,2020-02-17 11:59
https://weibo.cn//u/5894373029,丈剑次雨,男,四川,4,72,104,同学群昨天传遍了,1,2020-02-17 11:48
https://weibo.cn//pswen,纳凉先生,男,上海,8230,946,664,拍死造谣者//,0,2020-02-17 11:33
https://weibo.cn//u/2889334994,赤足耕夫,男,四川,183,71,23,转发微博,0,2020-02-17 11:20
https://weibo.cn//u/2754185287,XBB2017,女,四川,478,162,81,严惩，这些人太无聊了，一天无中生有,0,2020-02-17 11:19
https://weibo.cn//u/3091484407,射手小飞哥,男,四川,876,746,912,转发微博,0,2020-02-17 11:18
https://weibo.cn//u/6233513588,热心市民_y女士,男,其他,1,84,4,造谣都拘留 哎 闯关 辱骂 威胁 该怎么处理？？？,0,2020-02-17 11:14
https://weibo.cn//u/6655486937,吟游男孩765,男,四川,9,114,37,回复@崇州那些事儿:什么法，谁定的？,0,2020-02-17 10:49
https://weibo.cn//u/5654631198,一气开阖,男,北京,2493,359,158,弄他拘留3月,0,2020-02-17 10:45
https://weibo.cn//u/7278285327,冷眼观世界之看客,男,其他,71,163,2,不信谣不传谣,0,2020-02-17 10:43
https://weibo.cn//u/5591273968,昵称伦子,男,四川,125,190,10,     举报             赞[0]         回复             2020-02-17 10:41:11 来自网页,0,2020-02-17 10:41
https://weibo.cn//u/5505847704,你的水平有点斜,男,四川,73,110,42,无中生有,0,2020-02-17 10:36
https://weibo.cn//u/7374896059,我是小妖怪逍遥游自在3u8633,男,其他,5,45,1,如此危难时刻，居然还能造谣，真的是求莫得名堂,0,2020-02-17 10:33
https://weibo.cn//u/2650930843,君不见黄河之水TSLdyj,女,河北,1097,441,165,造谣者图啥呢,0,2020-02-17 10:28
https://weibo.cn//u/3181512377,O_oNed,男,四川,3672,505,266,这个我实在想不通居心何在,0,2020-02-17 10:27
https://weibo.cn//u/5821764959,纯真的音符,女,吉林,52,216,45,回复@梦停留_M:对、简单拘留、不长记性、就应该严惩。,0,2020-02-17 10:24
https://weibo.cn//u/5821764959,纯真的音符,女,吉林,52,216,45,造谣者就是应该严惩、谣言惑众、扰乱民心、破坏社会秩序、吃饱了撑的、干点什么不好！,0,2020-02-17 10:23
https://weibo.cn//u/7097627608,MM小蘑菇MM,男,其他,3,20,7,拘留五日太少了，在这疫情这么严重的时期，占用公共资源，应该重判,1,2020-02-17 10:20
https://weibo.cn//u/6087721152,岁晏予,女,其他,30,468,273,连我妈都转发了，这个谣造得有点大哦，弄他,0,2020-02-17 10:19
https://weibo.cn//u/3036335744,dong扯扯,男,四川,15,44,23,以后辟谣的时候能不能把原视频图片中具体发生的时间地点情况说一下。这样有利于传播真相，抑制谣言,11,2020-02-17 10:17
https://weibo.cn//u/6307265134,aka肥阳,男,四川,17,43,16,那为什么都戴口罩呀？除了这种时刻还有什么时候戴口罩？,0,2020-02-17 10:17
https://weibo.cn//ehwfv,月在云中穿行,男,四川,12,50,264,抓起来，有一个抓一个。,0,2020-02-17 10:15
https://weibo.cn//u/7382728333,可爱的酱酱在修机,男,四川,16,45,1,好惨呐，头都没了,0,2020-02-17 10:14
https://weibo.cn//u/6558246251,祝你听橘子海早日睡到心上人,女,四川,125,619,42,传谣的真的是莫求得名堂 太无聊了 自己找些事情做嘛,2,2020-02-17 10:14
https://weibo.cn//windpen,dreamcatfly,男,其他,99,250,203,谣言,0,2020-02-17 10:14
https://weibo.cn//u/2932020535,Elena沫筱莉,女,四川,239,485,173,必须严惩,0,2020-02-17 10:13
https://weibo.cn//u/5782557363,瞌睡哥睡瞌睡,男,四川,202,80,23,无中生有，暗度陈仓，这些造谣的人是啥心理呢？想出名？,0,2020-02-17 10:10
https://weibo.cn//u/6101547349,飞奔的琦哥,男,四川,20,18,5,造谣者处于什么心态哦！这个时候还要造谣，严惩不贷,1,2020-02-17 10:10
https://weibo.cn//u/5615073796,阴天傍晚车窗外呀,女,四川,241,78,82,我也在一些群头看到了，还有视频,0,2020-02-17 10:10
https://weibo.cn//u/1473699104,蔡小笨笨,男,四川,151,495,95,无中生有，暗度陈仓,0,2020-02-17 10:10
https://weibo.cn//u/2118294392,厕所真的没纸了,女,四川,24459,44,116, ,0,2020-02-17 10:05
https://weibo.cn//u/1792134824,BBOYYARN,男,四川,1240,2007,686,我觉得应该立严刑,0,2020-02-17 10:04
https://weibo.cn//u/1800334301,卓蕾Promise,女,四川,826,210,408,我妈还打电话问了姚渡的，还说真的，造谣简直要不得,12,2020-02-17 10:02
https://weibo.cn//u/5312078526,灰崎一护,男,四川,16934,453,141,丢我们青白江的脸,0,2020-02-17 09:54
https://weibo.cn//unagod,梦停留_M,女,四川,3688,1654,3844,恶意散播谣言的人该判刑！尤其是造谣源头！对于不知情的传播者也该拘留教育！有意造假的源头拘留几天太轻了！,2,2020-02-17 09:51
https://weibo.cn//ThinkwuliSisi,YIBOSEAN-85,女,四川,622,115,702,@Real-雲児,0,2020-02-17 09:49
https://weibo.cn//u/3239309543,五月的Rick,男,四川,463,108,241,我妈群里都收到了，谁传的，简直了,0,2020-02-17 09:49
https://weibo.cn//u/1984755113,九零后代表,男,四川,23,63,60,奔驰男是不是谣言,0,2020-02-17 09:48
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3607,265,1404,网传“青白江姚渡镇凉水井发生恶性案件”系谣言，造谣者已被依法处理,1,2020-02-17 09:35
https://weibo.cn//zyltop,_昨天涯,男,四川,2772,352,123,转发微博,0,2020-02-17 09:31
https://weibo.cn//u/5057050669,争取争取再争取-,男,四川,6060,6823,272549,无中生有的事儿，严办,9,2020-02-17 09:23
https://weibo.cn//u/2953441174,崇州那些事儿,男,四川,8099,669,53550,网络不是法外之地，造谣必重处,15,2020-02-17 09:14
https://weibo.cn//ibaoliao,成都头条,女,四川,40368,1344,1010433,唉,1,2020-02-17 09:11
