评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5942275167,4Am小铭,男,其他,19,108,5, 统一回复：关于举报主播帅比在石250，成都警方与本人上周五、本周一都有联系过。该案情正在核查审理中，请大家再耐心等警方最终处理结果。法治社会违法必究！    警察叔叔 处理的怎样了,0,2020-06-21 18:04
https://weibo.cn//pjs1989,成都生活印记,男,四川,11031,2730,197951, ,0,2020-06-11 22:28
https://weibo.cn//panguangzheng1989,热门成都事儿,男,四川,8777,4338,104008,【网警辟谣——“彭州蒙阳市场发生货车司机被杀伤事件”系谣言】,0,2020-06-11 22:24
https://weibo.cn//579989955,成都小二孃,女,四川,20733,5476,155954,不信谣！不传谣！,0,2020-06-11 12:56
https://weibo.cn//peoplesc,人民网四川频道,男,四川,14679,609,54998,不信谣！不传谣！,0,2020-06-11 11:41
https://weibo.cn//u/6354933217,给力四川,女,四川,2880,621,4299,不信谣 不传谣  不造谣,0,2020-06-11 11:14
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3607,265,1404,网警辟谣——“彭州蒙阳市场发生货车司机被杀伤事件”系谣言,0,2020-06-11 10:56
https://weibo.cn//u/3431651554,炫动成都,男,其他,2615,251,4630,官方要及时通报！,0,2020-06-11 10:29
https://weibo.cn//scolcn,四川在线,男,四川,5113,1030,815705,不信谣！不传谣！,0,2020-06-11 10:23
https://weibo.cn//u/5921199319,四川网警巡查执法,男,四川,6854,272,20419,网警辟谣——“彭州蒙阳市场发生货车司机被杀伤事件”系谣言】,0,2020-06-11 10:15
