微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
JAPztAySk,【辟谣！网传南充王府井冻库食品查出新冠，商场被封 警方：信息不实】连日来，四川南充不少社交群里，出现“王府井冻库食品包装查出新冠病毒”、“王府井被封”等消息。12月29日晚，南充市公安局官方微博发布辟谣。请大家不造谣、不信谣、不传谣，共同营造清朗的网络空间。  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/7a859ad3gy1gm5of79munj20lc0lcjtb.jpg,http://ww4.sinaimg.cn/large/7a859ad3gy1gm5of735z5j20ge0a0q4k.jpg",无,TRUE,无,无,2020/12/30 10:32,微博 weibo.com,1,3,1,1
Jy7zcufl8,【辟谣 | 南京禄口机场要求成都旅客“原路返回”？机场回应：谣言，已报警】#辟谣#12日一早，一张写有“请来自四川省成都市的旅客原路返回”和“南京禄口国际机场”字样的图片在网上流传，引起了众多网友的热议。交汇点记者第一时间向南京禄口机场的相关负责人求证，对方回应图片内容实为谣言，并已经向公安机关报案。随后，禄口机场相关人士向交汇点反馈了现场的真实照片，照片显示的内容为：“请来自四川省成都市郫都区的旅客主动到此申报登记”。（红星新闻）#南京机场劝返成都旅客是P的# [组图共3张] 原图 ,,"http://ww3.sinaimg.cn/large/7a859ad3gy1gll2q1pyskj20ci0m8jt5.jpg,http://ww4.sinaimg.cn/large/7a859ad3gy1gll2q24s7kj20u01hc47h.jpg,http://ww1.sinaimg.cn/large/7a859ad3gy1gll2q2kcngj20o01hcaje.jpg",无,TRUE,无,无,2020/12/12 14:50,无,0,0,1,1
JxPILaEwN,#辟谣# 【#官方回应犀浦街道封闭#】针对网上传言“#犀浦#封闭”的消息，郫都区委宣传部回应：犀浦街道未封闭，市民下班仍然正常通勤。仅犀池社区、玉龙社区和综合交易市场周边区域应疫情防控要求，只进不出，开展区域内全员核酸检测。#犀浦街道未封闭# （成都日报、四川日报）  [组图共3张] 原图 ,,"http://ww2.sinaimg.cn/large/7a859ad3gy1glivwr0imwj20c8096401.jpg,http://ww2.sinaimg.cn/large/7a859ad3gy1glivwqb0z2j20c809275w.jpg,http://ww3.sinaimg.cn/large/7a859ad3gy1glivwrtbg0j20c8096myk.jpg",无,TRUE,无,无,2020/12/10 17:24,无,11,63,55,2
JxDOj41eu,#辟谣# 【假的！#钟南山院士来成都系谣言#】近日，网传“84岁钟南山院士落地成都”，经核实，关于“84岁钟南山院士落地成都”的消息不实。据成都发布，当前成都已迅速组织省市区三级相关部门和专家成立工作专班，联合对情况进行研判，安排应急处置措施。同时强化医疗救治，组织四川大学华西医院等省市专家，精准救治。 原图 ,,http://wx2.sinaimg.cn/large/7a859ad3gy1glhfcrzezbj21yi0u0qv7.jpg,无,TRUE,无,无,2020/12/9 11:05,360安全浏览器,1,0,3,1
JxxLldLmj,【#网传成都确诊女孩照片系盗用#：为湖南一女孩艺术照，当事人已报警】12月8日，成都20岁女孩赵某被确诊为新冠阳性后，关于她的个人信息便在网上热传，其中包括一张坐在车内、穿白色裙子的照片。8日上午，湖南19岁女孩小瑶得知自己照片被误传后，随即在微博上辟谣，称该照片是自己的艺术照，该照片被人盗用。现在她正在报警、澄清，希望广大网友不要再误传。（封面新闻） http://t.cn/A6qAxn5l ,,无,无,TRUE,无,无,2020/12/8 19:41,无,4,1,0,3
JxwXt6yWc,【网传天府健康码已停用？成都市网络理政办：没停用，目前已逐步恢复访问】）#辟谣# 12月8日下午，有市民群众反映，原“天府健康码”已停用，并发布新的取码渠道。成都市网络理政办发布：此为谣言，“天府健康码”没有停用，目前已逐步恢复访问，后续将加强保障。（红星新闻）  原图 ,,http://wx2.sinaimg.cn/large/7a859ad3gy1glgl3tgrhzj20j616ljsy.jpg,无,TRUE,无,无,2020/12/8 17:38,无,2,2,1,2
Jxv5sApBx,【#辟谣# 网传世豪广场一男性为“孙女”密切接触者？社区：已了解情况，假的！】12月8日，朋友圈、微博等社交平台流传着这样一则消息：成都高新区世豪广场一26岁男子陈某亮为确诊病例赵某的密切接触者。#防控疫情 成都高新在行动# 记者从高新区世豪广场物业工作人员处了解到，该名男性确实为物业中心的工作人员，但网上所传截图均为谣言。发现问题后，他们也在积极配合社区进行调查，未发现陈某亮去到过确诊患者所去过的相关区域，请大家不信谣，不传谣。随后记者也从世豪广场所在的盛兴社区工作人员处了解到，他们已接到有群众在反映此事，已派工作人员去了解情况，确认陈某亮不是确诊病例的密切接触者。（红星新闻）#成都迅速进入战时状态# 原图 ,,http://wx3.sinaimg.cn/large/7a859ad3gy1glgcuehcv1j21yi0u04qp.jpg,无,TRUE,无,无,2020/12/8 12:53,360安全浏览器,6,2,2,3
Jxuk9doDH,#成都辟谣实施封城# 【#辟谣#成都不排除实施封城？官方回应：假的！】对于成都市出现新冠肺炎患者一事，12月8日，网传“成都卫健委：将视情况采取措施，不排除实施封城。”12月8日，成都市卫健委宣传处回应，截至目前，没有发布类似消息。（封面消息）  原图 ,,http://wx2.sinaimg.cn/large/7a859ad3gy1glg9gfm8pxj21yi0u00y7.jpg,无,TRUE,无,无,2020/12/8 10:56,无,0,1,0,1
JxuhWpE9d,【#辟谣# 网传李泽帅为确诊病例赵某密切接触者？假的！】12月8日，不少网友在朋友圈、微博等社交平台发布信息称，“学生赵某居住于高新区科华南路银泰泰悦湾，为成华区确诊病例赵某的密切接触者……”经核实，关于李泽帅确诊的信息不实。据了解，李泽帅21岁，2020年10月16日从加拿大回北京，10月16号至10月29号在北京集中隔离14天后，又在北京待了10天，于11月8日晚上从北京回到泰悦湾小区，均有核酸检测报告及隔离证明。11月8日至12月5日期间并未去过上述地区活动，并于12月6日凌晨4点多开车至南充，目前在南充回成都的高速上。泰悦湾物业已经联系社区工作人员，等他回成都后，对其进行核酸检测。请各位网友不信谣、不传谣！（四川观察） [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/7a859ad3gy1glg9biqj1zj20j60ee0u8.jpg,http://ww4.sinaimg.cn/large/7a859ad3gy1glg9bi92noj20ao07xgmy.jpg",无,TRUE,无,无,2020/12/8 10:51,无,2,0,1,3
JurG4ubSw,【成都国外航班到北京先停成都？成都预留3万张床位？都是谣言！】#辟谣# 11月17日，一则消息在网上流传。这则消息称，从国外到北京的航班要先停留成都双流机场再飞北京；四川要求成都紧急预留3万个床位的消息……经查验，是5个月前的谣言。（四川日报）  [组图共4张] 原图 ,,"http://ww1.sinaimg.cn/large/7a859ad3gy1gkt4n1v3e0j20k00ecmxu.jpg,http://ww1.sinaimg.cn/large/7a859ad3gy1gkt4n2mdfcj20cb0qowfl.jpg,http://ww4.sinaimg.cn/large/7a859ad3gy1gkt4n5kmiuj20u02p7te0.jpg,http://ww2.sinaimg.cn/large/7a859ad3gy1gkt4n756k2j20rm1nuab5.jpg",无,TRUE,无,无,2020/11/18 10:41,无,2,3,2,1
