评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3561402655,肖家河街道兴蓉社区,女,其他,25900,180,410,【假的！成都公交停运？谣言！】,0,2020-02-05 17:36
https://weibo.cn//u/3737684373,大源社区,男,四川,14367,133,167,【假的！成都公交停运？谣言！】,0,2020-01-27 15:47
https://weibo.cn//gxshsq,双和社区,女,四川,7836,67,91,【假的！成都公交停运？谣言！】,0,2020-01-27 15:43
https://weibo.cn//u/3561402655,肖家河街道兴蓉社区,女,其他,25900,180,410,【假的！成都公交停运？谣言！】,0,2020-02-05 17:36
https://weibo.cn//u/3653561697,中和街道会龙社区,女,四川,10123,35,233,【假的！成都公交停运？谣言！】,0,2020-01-27 21:40
https://weibo.cn//u/3737684373,大源社区,男,四川,14367,133,167,【假的！成都公交停运？谣言！】,0,2020-01-27 15:47
https://weibo.cn//gxshsq,双和社区,女,四川,7836,67,91,【假的！成都公交停运？谣言！】,0,2020-01-27 15:43
https://weibo.cn//u/3753159551,肖家河街道新光社区,男,四川,13277,90,540,【假的！成都公交停运？谣言！】,0,2020-01-27 15:38
https://weibo.cn//u/3753173974,成都高新区石羊街道新街社区,男,四川,22623,130,419,【假的！成都公交停运？谣言！】,0,2020-01-27 15:38
https://weibo.cn//u/3737776485,南新社区,男,四川,10184,153,235,【假的！成都公交停运？谣言！】,0,2020-01-27 15:34
https://weibo.cn//u/6217886975,玉成在线,女,四川,6657,128,1180,成都市交通运输局再次辟谣：这份公交调整通告是假的！目前我们也未接到成都公交停运的任何指令！ ,0,2020-01-27 15:21
https://weibo.cn//u/6242791366,空港新城_绿色丹景,男,四川,15457,13,219, 【假的！成都公交停运？谣言！】,0,2020-01-27 15:20
https://weibo.cn//u/6210155375,空港石板凳,男,四川,6903,34,1205,成都市交通运输局再次辟谣：这份公交调整通告是假的！目前我们也未接到成都公交停运的任何指令！ ,0,2020-01-27 15:18
https://weibo.cn//u/3739051075,桂溪街道永安社区,男,四川,7650,50,196,扩散！不传谣！,0,2020-01-27 15:17
https://weibo.cn//u/6240847840,福田乡官微,男,四川,6736,78,1244,成都市交通运输局再次辟谣：这份公交调整通告是假的！目前我们也未接到成都公交停运的任何指令！ ,0,2020-01-27 15:15
https://weibo.cn//u/6234138193,阳光芦葭,男,四川,10758,74,203, 【假的！成都公交停运？谣言！】,0,2020-01-27 15:14
https://weibo.cn//u/6176397930,魅力三岔_Lake,女,四川,11649,124,311,扩散！不传谣！,0,2020-01-27 15:14
https://weibo.cn//u/6233926531,空港草池,女,四川,14999,40,1280,成都市交通运输局再次辟谣：这份公交调整通告是假的！目前我们也未接到成都公交停运的任何指令！ ,0,2020-01-27 15:12
https://weibo.cn//cdhtjcy,成都高新检察,男,四川,26486,149,3120,扩散！不传谣！,0,2020-01-27 15:10
https://weibo.cn//u/3578391497,益州社区,女,四川,21741,54,232, 【假的！成都公交停运？谣言！】,0,2020-01-27 15:08
https://weibo.cn//u/1879625587,Mermaid瑜,女,四川,2583,168,117,对造谣的全部秋后算账！严惩！这个时候还来添乱是何居心？！,0,2020-01-27 11:48
https://weibo.cn//u/2912501087,奥娜Kimhh,女,四川,329,385,1213,服了，这都有人造谣,0,2020-01-27 10:42
https://weibo.cn//lovedaocao,无名小兵1,男,四川,611,95,109,停运P啊，昨天晚上我出门都还有公交车，建议严惩造谣传谣者！,0,2020-01-27 09:12
