评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3740587574,斗山星辰,男,江苏,70451,1659,29247,追查  严惩,1,2020-02-04 20:45
https://weibo.cn//ivysummer,ivysummer120,女,江苏,5109,1044,1327,越是这种时候越是妖魔鬼怪都出来了，这个什么脑子想出来的谣言？,3,2020-02-04 21:41
https://weibo.cn//miobeauty,晒太阳的MO莱姆,男,其他,517,736,212,吓死我了，我以为真的，还在想没看到通知啊,1,2020-02-04 21:57
https://weibo.cn//u/3178252002,Evelyn-i,女,江苏,508,580,161,醉了，造谣真不要钱,0,2020-02-04 22:35
https://weibo.cn//u/5699590089,这是谁speaking,男,江苏,20,344,61,希望警察叔叔严肃处理谣言传播的始作俑者，给予法律的严惩,0,2020-02-04 22:18
https://weibo.cn//miobeauty,晒太阳的MO莱姆,男,其他,517,736,212,吓死我了，我以为真的，还在想没看到通知啊,1,2020-02-04 21:57
https://weibo.cn//ivysummer,ivysummer120,女,江苏,5109,1044,1327,越是这种时候越是妖魔鬼怪都出来了，这个什么脑子想出来的谣言？,3,2020-02-04 21:41
https://weibo.cn//616143355,立足顶峰,男,江苏,78399,8674,48892,谣言,0,2020-02-04 21:29
https://weibo.cn//u/2724020032,三不屑斋主,男,江苏,251,210,154,严惩！！！,0,2020-02-04 21:27
https://weibo.cn//wx9677114,宁静致远-无锡,男,江苏,99472,2700,15790,转发辟谣！,0,2020-02-04 20:53
https://weibo.cn//wangshuizhiyuan,宋优流,女,江苏,36778,310,131,为啥总有造谣的人。,0,2020-02-04 20:50
https://weibo.cn//u/1104987710,一方心湖1104987710,女,北京,737,664,101,造个谣便当的，一张嘴叭叭就来了，辟个谣就吃力了！,0,2020-02-04 20:50
https://weibo.cn//u/2621761740,阿消淮安粉丝后援会,男,江苏,10908,3627,13253,     举报             赞[0]         回复             2020-02-04 20:49:49 来自网页,0,2020-02-04 20:49
https://weibo.cn//u/3740587574,斗山星辰,男,江苏,70451,1659,29247,追查  严惩,1,2020-02-04 20:45
https://weibo.cn//678110683,锡城夢想家,男,江苏,739,346,1301,及时辟谣,0,2020-02-04 20:44
https://weibo.cn//u/3963813647,我是徐总的头号粉丝,男,江苏,204,489,227,都这个时候了，那些造谣的就别添乱了。还踊跃转发，都怎么想的,0,2020-02-04 20:40
https://weibo.cn//u/1841621285,sai雨_戒奶茶睡好觉,女,其他,15581,269,133,现在这时候还乱造谣支持严惩,0,2020-02-04 20:37
https://weibo.cn//u/5633914147,小笼包淼淼,女,其他,280,693,120,今天就听到路上别在议论，造谣者太可恶了,0,2020-02-04 20:37
https://weibo.cn//u/5665032684,禾條麻子,女,江苏,258,160,213,搞不懂这个时候造谣的是什么心态,0,2020-02-04 20:36
https://weibo.cn//sycandy520,瑛舞蝶落,女,广东,3753,341,487,造谣者可耻,0,2020-02-04 20:33
https://weibo.cn//u/7246675076,天才小火箭,男,北京,26,312,10,我就说嘛这肯定假的,0,2020-02-04 20:32
https://weibo.cn//u/2423846645,美帝凤凰城,男,江苏,646,38,1417,早日把造谣者抓起来，,0,2020-02-04 20:32
