评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1775422350,请你酸我,男,辽宁,12511,607,300,然后呢？,4,2020-01-29 23:51
https://weibo.cn//526863454,1N23456咩,男,其他,12,7,5505,看看这个吧，现有湖北籍留观人员512人？？什么意思 ,4,2020-01-29 23:53
https://weibo.cn//u/1798535472,有沒有机,女,其他,127,335,370,等警方通报,2,2020-01-29 23:51
https://weibo.cn//526863454,1N23456咩,男,其他,12,7,5505,回复@糖炒874号栗子:不止了现在 评论配图,0,2020-01-30 10:57
https://weibo.cn//u/2309834140,Trick-Fan,男,云南,573,597,319,求个调查结果,0,2020-01-30 09:26
https://weibo.cn//u/2713733681,Handsome_Left,男,上海,370,1784,62,这人太坏了，请尽快处理，给大家一个交待,0,2020-01-30 01:39
https://weibo.cn//u/7010546104,每日一善工作室,女,云南,6829,5298,119409, ,0,2020-01-30 00:25
https://weibo.cn//u/6961665038,滇池水底捞龙虾,男,云南,23,57,159,这要是真的希望顺丰追究他的法律责任，他这次不知道让顺丰损失了多少,0,2020-01-30 00:17
https://weibo.cn//u/5886473308,小布溜溜,女,云南,108,245,114,等待调查！相信顺丰！国难当头共度难关,0,2020-01-30 00:15
https://weibo.cn//u/5762519443,漫山清风追星河,女,其他,4938,488,313,回复@心怀鬼胎就鬼话连篇:头皮发麻,0,2020-01-30 00:09
https://weibo.cn//u/3816699409,昆明发布,男,云南,45407,477,799199,回复@请你酸我:等警方调查结果,2,2020-01-29 23:53
https://weibo.cn//526863454,1N23456咩,男,其他,12,7,5505,看看这个吧，现有湖北籍留观人员512人？？什么意思 ,4,2020-01-29 23:53
https://weibo.cn//u/1798535472,有沒有机,女,其他,127,335,370,等警方通报,2,2020-01-29 23:51
https://weibo.cn//u/1775422350,请你酸我,男,辽宁,12511,607,300,然后呢？,4,2020-01-29 23:51
