评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5762519443,漫山清风追星河,女,其他,4938,488,313,云南官方。。。真迷,7,2020-01-30 19:41
https://weibo.cn//u/2691988323,一闪一闪陈甜甜,女,云南,1068,187,217,意思是事儿是真的 只是图是假的？,2,2020-01-30 20:00
https://weibo.cn//u/2114081395,沐杨此昵称已被抢占,男,云南,8128,529,354,//,0,2020-01-30 20:00
https://weibo.cn//u/2133855200,突围to,女,云南,3247,86,897,昆明的媒体和武汉的官员一样谜,0,2020-01-31 08:51
https://weibo.cn//u/5896485058,无衣无伊,女,浙江,193,242,60,回复@一闪一闪陈甜甜:是真的，发现一例，去武汉回来的昆明人。,0,2020-01-31 01:24
https://weibo.cn//u/2675870941,猫小垂要骑新藏线,女,云南,20,89,14,回复@Axeaxeice:要是主流媒体的报道都不能信，那就不知道要去看什么新闻了,0,2020-01-31 00:57
https://weibo.cn//u/2655068387,有一个虎子叫阿新,男,云南,4474,1284,617,回复@有一个虎子叫阿新:我评论，只是疑问是不是疫情被辟谣了？因为现在能少一例就是值得开心的，然后博主没回，你就出现了,0,2020-01-30 23:07
https://weibo.cn//u/2655068387,有一个虎子叫阿新,男,云南,4474,1284,617,回复@Axeaxeice:我说的是有报道，有报道就一定有图？他们自己不严谨，说的是辟谣耀龙康城，本来就有点扰乱试听！只是图片有错，疫情本身存在的！不知道你一直要杠我什么？,0,2020-01-30 23:04
https://weibo.cn//linus0871,Axeaxeice,男,云南,308,353,554,回复@有一个虎子叫阿新:既然都市时报去了现场，为什么配图是错的呢？还是网传的消息随便配张图就是新闻了？,0,2020-01-30 22:38
https://weibo.cn//u/1786781025,烟云十三骑13,男,云南,218,412,145,这个时候造谣，该严惩,0,2020-01-30 21:59
https://weibo.cn//u/2655068387,有一个虎子叫阿新,男,云南,4474,1284,617,回复@Axeaxeice:而且这个微博号他自己都发了，事情是真的了，能去了解下么？,0,2020-01-30 21:48
https://weibo.cn//u/2655068387,有一个虎子叫阿新,男,云南,4474,1284,617,回复@Axeaxeice:所以你觉得这里就是客观真实的了？这里只说了门是错的而已！而且各抒已见而已，你非要来杠我干嘛？,0,2020-01-30 21:46
