评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2615195300,你的超锅哟,女,其他,2250,399,605,把造谣的抓起来,9,2020-01-26 18:13
https://weibo.cn//u/1787662124,Reflet_C,女,其他,951,224,275,那就是说还可以举办婚礼，宴会咯！？,5,2020-01-26 18:09
https://weibo.cn//u/7215939551,毛小乔h,女,其他,0,143,2,回复@成长的季风:+1,0,2020-01-28 19:56
https://weibo.cn//u/6111077295,一只傻太阳15079,男,其他,0,197,4,希望昆明商场营业时间可以缩短，商场里面人流量非常大，商场上班的也是人，每天要接触很多人，疫情蔓延速度明显，希望引起重视，可以考虑缩短时间，已有个别商场关闭营业,0,2020-01-28 14:57
https://weibo.cn//u/1056672833,粉蛇,女,云南,58,89,66,回复@葱老猫:同希望能按谣言这样搞。疫情面前怎么谨慎都不过分,0,2020-01-27 12:52
https://weibo.cn//u/1056672833,粉蛇,女,云南,58,89,66,要是真呢做到这些谣言，市民安全感就高点了,0,2020-01-27 12:51
https://weibo.cn//u/1056672833,粉蛇,女,云南,58,89,66,能不能抄下河南的作业？？北京已经腾出400个隔离床位来以防万一了。我们昆明有什么这方面的准备没有？？,0,2020-01-27 12:49
https://weibo.cn//rifmgy,rifmgy_yang,男,广东,328,53,83,回复@rifmgy_yang:小区的超市也关门了,0,2020-01-27 11:43
https://weibo.cn//rifmgy,rifmgy_yang,男,广东,328,53,83,我们安宁公交已经停了，看来还不知是谁造谣,1,2020-01-27 11:40
https://weibo.cn//u/3878492325,梓不读辛,男,云南,226,606,217,造谣者严惩不贷！,0,2020-01-27 09:51
https://weibo.cn//336198000,Vicent铭,男,重庆,2869,86,951,希望关闭网吧 关闭娱乐场所,0,2020-01-27 07:26
https://weibo.cn//u/1935497745,和我一起攀月亮嘛,女,浙江,1409,288,361,希望能强制让商场暂时歇业啊，完全阻断。我们在商场里开店的想休息都不行，商场规定休息一天罚5000，真的心累啊！,2,2020-01-26 22:56
https://weibo.cn//xuan1027,张小猴哥不改名,女,云南,1079,848,385,我县城都比你大昆明防范意识高，不作为，下高速出口有工作人员但不拦车检查，回昆明的高速上多少外省车辆,0,2020-01-26 22:26
https://weibo.cn//u/3477123420,头有两百斤,男,云南,568,156,150,我还转发来着 随时关注官方 发现是假的立马去朋友圈辟谣了,0,2020-01-26 22:11
https://weibo.cn//u/7310233268,风华正茂56794,男,其他,0,12,8,就算是 谣言 做法也是对的啊 现在不该这样吗,1,2020-01-26 22:01
https://weibo.cn//wangyuehemingli,王粤和明丽化妆造型,女,云南,23833,1456,2973,这两天发在老人的群里，她们不看网络辟谣的。就信微信同学群发的这些,0,2020-01-26 21:36
https://weibo.cn//u/1787662124,Reflet_C,女,其他,951,224,275,回复@买女孩的小火柴人:就是谴责无人管控,0,2020-01-26 21:34
https://weibo.cn//wangyuehemingli,王粤和明丽化妆造型,女,云南,23833,1456,2973,为了这两个信息被我家老头骂一顿。,0,2020-01-26 21:33
https://weibo.cn//208216060,Jeremy_梁俊,男,云南,11226,772,4016,群里还看见说今晚九点半昆明高速路管制的，麻烦也辟谣下或者证实下,3,2020-01-26 21:16
https://weibo.cn//u/5977558774,Yuu兔尾巴毛,女,海外,1019,67,75,希望加强口罩，酒精等供应,0,2020-01-26 21:15
https://weibo.cn//u/5683800400,买女孩的小火柴人,女,海外,1194,216,110,回复@Reflet_C:你办呗，看谁去,0,2020-01-26 20:53
https://weibo.cn//u/5983780126,TRAVISCC,男,云南,121,494,77,希望能延长春节假期和推迟开学时间，避免造成人员密集导致传染,0,2020-01-26 20:47
https://weibo.cn//u/2948907634,组成生活的几个板块,男,其他,6351,23,30,倒是希望是真的,0,2020-01-26 20:37
https://weibo.cn//u/6412716734,我二姨比你美多了,女,其他,5,123,24,希望昆明商场营业时间可以缩短，商场里面人流量非常大，商场上班的也是人，每天要接触很多人，疫情蔓延速度明显，希望引起重视，可以考虑缩短时间，已有个别商场关闭营业,10,2020-01-26 20:20
https://weibo.cn//u/1787662124,Reflet_C,女,其他,951,224,275,回复@Reflet_C:昆明不管呀,0,2020-01-26 20:12
https://weibo.cn//u/5132336778,狗粮吃得有点撑,女,其他,661,163,197,回复@Reflet_C:不能了，我们这边早早的通知不行了，昆明应该要更严了,0,2020-01-26 20:06
https://weibo.cn//newerahotelfbdpt,坚哥的空间,男,云南,815,346,282,官方不发个信息？就会说别人是谣言。你倒是有所作为啊,1,2020-01-26 20:05
https://weibo.cn//u/6111077295,一只傻太阳15079,男,其他,0,197,4,但是商场也人流多啊 有些商场都一直开到晚上 商场上班的也是人啊,3,2020-01-26 20:02
https://weibo.cn//u/1788268763,擅长气人酱,男,云南,299,641,3255,明天可以返回昆明么？,0,2020-01-26 19:53
https://weibo.cn//u/1860200901,cony_蜂蜜蜜蜜酱,女,云南,486,356,265,我还希望这是真的消息,0,2020-01-26 19:49
https://weibo.cn//u/6535593446,luv-清焰,女,云南,5,17,19,回复@Sy_顾时忆:还不重视吗？？？各个景点都关闭了，所有聚集性活动全部取消，短信也发了，一级响应也启动了，还要怎么重视？？,0,2020-01-26 19:49
https://weibo.cn//u/5804557061,I一baby-,女,其他,802,690,255,希望学校也延期开学,0,2020-01-26 19:49
https://weibo.cn//u/6359086555,孔绒绒,女,云南,1076,199,229,回复@Sy_顾时忆:你觉得怎样才叫重视？,0,2020-01-26 19:47
https://weibo.cn//jingke1985,滇池的小白鱼,男,云南,7423,828,5615,不少微信群还在发布这样的谣言。,0,2020-01-26 19:44
https://weibo.cn//keyqibao,Qi寶--亲团汪,女,云南,782,590,162,这么严肃的事情还有人造谣,1,2020-01-26 19:43
https://weibo.cn//u/6271015096,杨咩咩阳坨,女,云南,1528,1055,267,希望赶紧采取措施，该封城封，该延长假期延长，为了减轻疫情,6,2020-01-26 19:41
https://weibo.cn//wenyikunming,西夋Rimmon,男,云南,13,39,26,请在各大平台加大力度辟谣！身边已有多人收到此谣言，并因此恐慌和传播！请在官方微信公众号上辟谣！公信力更强，关注度更大！,2,2020-01-26 19:39
https://weibo.cn//u/2621765364,时光很温柔_,男,重庆,0,460,62,建议学校推迟开学,2,2020-01-26 19:38
