评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5738840069,DDDDopEEEE,男,内蒙古,21,73,143,物资充足抓不抓？,146,2020-01-27 12:56
https://weibo.cn//u/5108186290,前汉书,男,北京,1389,61,186,这个时候造谣的，得快抓,76,2020-01-27 12:45
https://weibo.cn//u/5718178151,卖不出药的卖药精,女,广东,514,97,168,求求了 昆明农村真的加强宣传力度把,30,2020-01-27 14:53
https://weibo.cn//u/2618534160,淡定被被,女,云南,89,317,212,能不能宣传一下不要到处吐痰？我爱禄劝，唯不喜欢随地吐痰的那些人，，甚是讨厌。。。求管管,0,2020-02-03 10:51
https://weibo.cn//u/5863058950,康易玄,男,云南,2,26,86,回复@落三_lasan:啥时候通？知不知道则黑到禄劝通没？,0,2020-02-02 22:01
https://weibo.cn//u/5151010244,断舍离先生,男,陕西,93,133,31,这种人应该送到疫情区去,0,2020-02-02 14:06
https://weibo.cn//u/1878906361,比奇堡第三猛男,男,云南,214,121,549,回复@天王盖地虎LynK:对的,0,2020-02-01 14:22
https://weibo.cn//u/1794616664,天王盖地虎LynK,男,其他,152,541,86,回复@比奇堡第三猛男:阴谋论充斥着你的内心对吧？相信自己相信的，不相信自己不相信的,0,2020-02-01 13:05
https://weibo.cn//u/2665278041,Halilili丶,女,云南,37,247,312,回复@一枚专业卖药选手:举报没用，一直开着麻将室,0,2020-02-01 03:41
https://weibo.cn//u/1878906361,比奇堡第三猛男,男,云南,214,121,549,回复@天王盖地虎LynK:呵呵，给爷都整笑了,0,2020-01-31 17:43
https://weibo.cn//u/5977338895,outerworld,男,云南,0,4968,735,拘留上手铐？,0,2020-01-31 17:10
https://weibo.cn//u/1794616664,天王盖地虎LynK,男,其他,152,541,86,回复@比奇堡第三猛男:最高法院都出来说过这个事儿了你们是不看新闻的么？,0,2020-01-31 14:00
https://weibo.cn//u/1878906361,比奇堡第三猛男,男,云南,214,121,549,回复@天王盖地虎LynK:谈话？,0,2020-01-31 13:31
https://weibo.cn//u/1794616664,天王盖地虎LynK,男,其他,152,541,86,回复@崔崔权:皿煮自由欢迎你,0,2020-01-31 13:26
https://weibo.cn//u/1794616664,天王盖地虎LynK,男,其他,152,541,86,回复@比奇堡第三猛男:人家那个8人只是谈话并没有抓起来，你这又算不算造谣呢？,0,2020-01-31 13:24
https://weibo.cn//u/1878906361,比奇堡第三猛男,男,云南,214,121,549,回复@DDDDopEEEE:之前抓8个武汉“造谣”人的抓不抓？,0,2020-01-31 13:02
https://weibo.cn//u/3924172584,Yom1z,女,澳门,313,353,1933,活该,0,2020-01-31 12:38
