评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1940468512,一朵小花-是心里的花,女,云南,47,694,193,有没有人重视下买不到口罩这个问题？难道这个不重要？,94,2020-01-27 13:06
https://weibo.cn//u/7202562371,战争即和平无知即力量,女,云南,122,94,3,求求把高速路 火车 高铁都排查一下吧 最近好多人进昆明啊 丽江大理封了都往昆明跑 遭不住啊,23,2020-01-27 12:59
https://weibo.cn//u/3123162827,Cc-木沐辰,男,云南,1033,242,240,外地车牌能进昆吗？公司要求上班了,8,2020-01-27 18:15
https://weibo.cn//u/6925806663,fell可可,女,云南,245,122,26,回复@幸滕:为什么我去的商场基本没有人,0,2020-01-31 20:57
https://weibo.cn//u/7206453630,徐永8888888,男,其他,4,5,16,还有好多物业公司的，要求社区搞卫生的老年人继续上班，还口罩都不发个，社区搞卫生的都是些老年人，属于容易感染人群，不知道这些物业公司是咋想的,0,2020-01-31 20:46
https://weibo.cn//u/2785929152,老锋2010,男,云南,16,524,68,回复@有银子花的小花:用卫生巾材料,0,2020-01-31 15:10
https://weibo.cn//314505888,candy豆芽457,女,四川,7856,406,31472,回复@有银子花的小花:自己做，材料很简单，纱布，棉布，保鲜袋或者保鲜膜，第一层用棉布，中间层用保鲜膜，外面一层用纱布，觉得不够保险可以再来一层,0,2020-01-31 13:08
https://weibo.cn//u/2903385265,Venetian_businessmen,男,云南,1480,408,1435,口罩买不到咋办啊？,0,2020-01-31 12:36
https://weibo.cn//u/7318620634,马红斌小迷妹,女,其他,8,28,8,图1第一和第二不算吧，我们超市和那些娱乐的店都不让开了，然后收费站有几个也封了,0,2020-01-31 10:58
https://weibo.cn//u/3291186865,牛小米米四,男,云南,4,709,348,你们还存在官方?发一条信息我看看那个是你所谓的官方。,0,2020-01-31 10:13
https://weibo.cn//u/3291186865,牛小米米四,男,云南,4,709,348,你们还存在官方?,0,2020-01-31 10:12
https://weibo.cn//u/6924880619,再入陆地剑仙,男,云南,144,148,71,网吧被ban了啊,0,2020-01-31 00:41
https://weibo.cn//u/1940468512,一朵小花-是心里的花,女,云南,47,694,193,回复@恭喜发财样样好:都是拉不出圈门的😂不可靠 不可靠。你看看这种情况 多呢害怕😔,0,2020-01-30 22:31
https://weibo.cn//u/7315256893,九千七3oo,女,其他,5,128,1,买不到口罩，好几天没出门了,0,2020-01-30 19:46
https://weibo.cn//u/5285138732,招财进宝大吉大利晚上吃鸡,女,上海,1706,152,53,所以到底什么是真的,0,2020-01-30 16:55
https://weibo.cn//u/6252361645,望山云里,男,其他,6,128,39,回复@有银子花的小花:平时满大街的药店，真正需要它的时候就特么怂了,0,2020-01-30 10:56
https://weibo.cn//u/6252361645,望山云里,男,其他,6,128,39,真心搞不懂编造谣言的居心何在？动机何在呢？,0,2020-01-30 10:54
https://weibo.cn//u/5894764408,一起走过的盛夏,女,云南,350,277,52,在宜良这边都很难买到口罩了,0,2020-01-30 10:19
https://weibo.cn//u/2548900611,写残了的一页,男,云南,96,95,653,医院都没有停运，公交地铁停运。这是要让我们走路去上班啊。,0,2020-01-30 09:02
https://weibo.cn//u/3141346721,大彭妹纸,女,云南,605,446,352,买不到口罩要怎么办,0,2020-01-29 09:00
https://weibo.cn//u/5271349501,带刺的糖果,女,四川,3,300,23,回复@有银子花的小花:我也没有一个口罩，怎么都买不到，要上班了、该怎么办？,0,2020-01-29 02:29
https://weibo.cn//u/6580435992,的恩deng,女,浙江,184,540,115,天价口罩，物流停运，真假难辨,0,2020-01-28 23:03
https://weibo.cn//u/5744862179,过了明天就没事了,女,其他,21,332,648,图一说的 除了超市限时 貌似都是真的,0,2020-01-28 18:55
https://weibo.cn//u/7214811540,港岛妹妹87889,男,其他,0,146,19,昆明市宜良县有没有得这种病的呀，有人知道吗    在线等,0,2020-01-28 15:42
https://weibo.cn//u/5614080922,小易只吃菜,女,云南,17,66,17,回复@fell可可:去商场吃饭的人非常多，我好慌,0,2020-01-28 14:44
https://weibo.cn//u/6412716734,我二姨比你美多了,女,其他,5,123,24,回复@sunny娜20609:对，还不戴口罩，都怕增加传染几率,0,2020-01-28 14:10
https://weibo.cn//u/6412716734,我二姨比你美多了,女,其他,5,123,24,回复@fell可可:有朋友在商场上班，每天都要接触很多人，好多人不戴口罩，商场总有人逛的，只是希望可以方方面面都考虑到，预防好,0,2020-01-28 14:10
https://weibo.cn//u/5955022256,差不多酷女孩,女,云南,887,515,207,回复@NanKong丶:啧啧   害怕了，二手的,0,2020-01-28 13:43
https://weibo.cn//u/1940468512,一朵小花-是心里的花,女,云南,47,694,193,回复@全幼儿园最可爱_:贵就不说了，现在的问题是贵也不一定能买到 一两百就十多个 还到货时间遥遥无期 ，那也不够用啊。🥺,0,2020-01-28 13:24
