评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/7284557263,小黄今天也单身,女,云南,13,87,11,自家被空投119名武汉游客你不发布一下？？,9,2020-01-28 10:25
https://weibo.cn//u/3982491389,-从南道北,男,山东,105,100,146,说解放军散播病毒的人脑子是让屎糊住了？,11,2020-01-28 09:41
https://weibo.cn//u/1617930560,Be-Bie,女,广东,2556,776,348,吐口水那个不是造谣了，简直是勒索敲诈了,2,2020-01-28 10:14
https://weibo.cn//u/6827677665,D道先生,男,云南,179,105,66,严惩,0,2020-01-28 11:29
https://weibo.cn//u/5664657396,A丶321,男,新疆,12,278,71,造谣者比病毒还可怕好吗？能给予重刑吗？,0,2020-01-28 10:44
https://weibo.cn//u/7284557263,小黄今天也单身,女,云南,13,87,11,自家被空投119名武汉游客你不发布一下？？,9,2020-01-28 10:25
https://weibo.cn//u/1617930560,Be-Bie,女,广东,2556,776,348,吐口水那个不是造谣了，简直是勒索敲诈了,2,2020-01-28 10:14
https://weibo.cn//metalheart,金属之心,男,北京,6046,92,469,造谣的统统抓起来判一年,0,2020-01-28 10:05
https://weibo.cn//u/5455782929,嚸雨落汕峯,男,江西,239,274,37,@Dawn2508,0,2020-01-28 10:03
https://weibo.cn//u/2875604452,天吖吖baby,女,其他,322,353,220,总有些脑子有病毒的牲口想些谣言去吓人，有意思吗？国难当头，匹夫有责。为国家做好贡献躺在家吃了就睡睡了就吃不行吗？不用上班不爽吗？嘴巴用来吃饭不香吗？,6,2020-01-28 10:01
https://weibo.cn//u/6382478428,浅笑嫣然心淡淡,女,山东,456,153,16,严惩造谣者，,0,2020-01-28 09:48
https://weibo.cn//u/5870233806,P阿离,女,福建,1,1,52,这就是中国人,0,2020-01-28 09:47
https://weibo.cn//u/5239056243,马里兰州钣金王,男,北京,623,350,398,这么轻易就排除了？会不会是水车？是不是变造的机动车号牌？,1,2020-01-28 09:45
https://weibo.cn//u/3982491389,-从南道北,男,山东,105,100,146,说解放军散播病毒的人脑子是让屎糊住了？,11,2020-01-28 09:41
https://weibo.cn//u/1923060124,东果先生NX,男,河北,396,605,770,最后一条居然也被扣上谣言的帽子。,4,2020-01-28 09:33
https://weibo.cn//u/6709803169,请不要打头好么,男,其他,21,9,1,车牌号这个好像是某个地方的,0,2020-01-28 09:32
https://weibo.cn//u/5992144581,嗯爬,男,云南,73,428,90,@刘元栽都比你聪明,0,2020-01-28 09:31
