评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5386617141,小黑的草莓屋,女,云南,252,331,1775,最后一句……是谣言，需要点开看才有,7,2020-02-06 22:30
https://weibo.cn//u/7217024716,境动530,男,云南,82,1732,10489,嵩明县小街镇，违章建筑，重灾区,0,2020-02-06 17:28
https://weibo.cn//u/1747143944,adolphin39,男,云南,850,819,310,辟谣了，记得抓人，不能姑息,1,2020-02-07 10:52
https://weibo.cn//u/2786922435,唯有饮者留其名哈哈,男,北京,28,697,184,昆明发布闭着眼睛说瞎话呢，曲靖、宣威去看了吗？连上山种地都不让，把村名全部关家里。不让人活了。中央“非重点地区尽快复工”全被狗官们抛九霄云外去了,0,2020-02-09 23:24
https://weibo.cn//u/6033066827,袁帆英,女,贵州,6,58,25,请问 我可以从火车站步行吗 ？因为走半个小时就到上班的地方了,0,2020-02-09 17:02
https://weibo.cn//u/6529124840,年纪大了依然喜欢碳酸饮料,男,云南,58,94,63,回复@神奇糖果在这里:不好意思，眼睛瞎。,0,2020-02-08 21:00
https://weibo.cn//liuyqing,Charles刘小帅oOO,男,云南,6850,570,2193,此消息是谣言。呀哈哈哈哈,0,2020-02-08 19:31
https://weibo.cn//u/6573166737,叶涣涣,女,其他,83,102,29,太气人了，很多群里都有人发，很多人都以为是真的,0,2020-02-08 18:00
https://weibo.cn//u/6724755682,elix啦啦啦啦啦啦,女,云南,1,66,11,回复@龙黑狗的男朋友:OK,0,2020-02-08 17:58
https://weibo.cn//u/7055812479,龙黑狗的男朋友,男,云南,38,1,2,@elix啦啦啦啦啦啦,0,2020-02-08 17:41
https://weibo.cn//u/3350703204,神奇糖果在这里,女,其他,552,1081,225,就是从有网上流传一则消息称“ 昆明市…………扣除12分” 这部分是假！最后六个大字说了引号里面的消息为造谣！简单点说就是可以开，没有禁止。明白？,3,2020-02-08 17:24
https://weibo.cn//u/3350703204,神奇糖果在这里,女,其他,552,1081,225,回复@年纪大了依然喜欢碳酸饮料:看最后六个字 ok?,0,2020-02-08 17:17
https://weibo.cn//u/6529124840,年纪大了依然喜欢碳酸饮料,男,云南,58,94,63,就是我可以开，但是必须到交警队讲情况，不讲就扣分给是,0,2020-02-08 11:40
https://weibo.cn//u/2511023792,RUAN博,男,浙江,764,490,255,温州已经禁行了，这对人民生活造成很大的影响，而且感觉有点一刀切！,0,2020-02-08 00:50
https://weibo.cn//u/5760960080,江小煦,女,云南,2,200,63,回复@铠甲骑士:能开,0,2020-02-07 23:27
https://weibo.cn//u/5760960080,江小煦,女,云南,2,200,63,回复@摇滚歌手ZJ:意思就是这个私家车禁行是假呢，可以开车上路没得问题呢,0,2020-02-07 23:27
https://weibo.cn//u/5760960080,江小煦,女,云南,2,200,63,回复@gunsnroses1990:能,0,2020-02-07 23:26
https://weibo.cn//u/1747143944,adolphin39,男,云南,850,819,310,辟谣了，记得抓人，不能姑息,1,2020-02-07 10:52
https://weibo.cn//u/7247159358,幽兰月MM,女,其他,176,109,2,看最后一句,0,2020-02-07 00:40
https://weibo.cn//u/1935888812,自言自语的气泡,女,云南,66,52,36,回复@自言自语的气泡:关键是最后几个字啊,0,2020-02-06 23:37
https://weibo.cn//u/5386617141,小黑的草莓屋,女,云南,252,331,1775,最后一句……是谣言，需要点开看才有,7,2020-02-06 22:30
https://weibo.cn//GDRANONYM,lelelalala,女,其他,201,676,2886,没看懂,0,2020-02-06 21:59
https://weibo.cn//u/3908889679,纯洁的四正正,女,西藏,1594,80,117,回复@wawa_007:反正说了一大堆就是能开。。。。,0,2020-02-06 21:52
https://weibo.cn//u/1012205951,铠甲骑士,男,云南,979,3383,847,是能开还是不能开啊！,0,2020-02-06 21:38
https://weibo.cn//u/1242978631,wawa_007,女,云南,211,164,150,回复@纯洁的四正正:我也是没看懂,0,2020-02-06 21:31
https://weibo.cn//u/2435498165,摇滚歌手ZJ,女,海外,2602,744,422,回复@纯洁的四正正:没看懂，是哪意思,0,2020-02-06 21:22
https://weibo.cn//u/6808559450,不是大海贼,男,北京,58,796,228,这语言表达……到底是能开还是不能开,0,2020-02-06 19:46
https://weibo.cn//u/3908889679,纯洁的四正正,女,西藏,1594,80,117,说实话，老半天才看懂，你们的语言表达还是从简一点吧,0,2020-02-06 19:41
https://weibo.cn//u/6067531679,胡啊啊啊云,女,云南,3,66,41,回复@自言自语的气泡:是可以用的，上面说了,0,2020-02-06 18:57
https://weibo.cn//u/1935888812,自言自语的气泡,女,云南,66,52,36,那到底个人是能用还是不能用机动车呢？！,0,2020-02-06 18:22
https://weibo.cn//u/7217024716,境动530,男,云南,82,1732,10489,嵩明县小街镇，违章建筑，重灾区,0,2020-02-06 17:28
