评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//hzsjtj,杭州交通,男,浙江,4336,73,48447,辟谣！自来水最好静置两小时以上再用，假的！这些谣言，不要信不要传！,0,2020-02-07 11:49
https://weibo.cn//hzsjtj,杭州交通,男,浙江,4336,73,48447,辟谣！自来水最好静置两小时以上再用，假的！这些谣言，不要信不要传！,0,2020-02-07 09:31
https://weibo.cn//u/5181771928,临安发布,男,其他,28654,158,63271,辟谣,0,2020-02-07 07:11
https://weibo.cn//u/5498671291,人文北山,男,浙江,9965,100,721,//,0,2020-02-09 12:28
https://weibo.cn//hzsjtj,杭州交通,男,浙江,4336,73,48447,辟谣！自来水最好静置两小时以上再用，假的！这些谣言，不要信不要传！,0,2020-02-07 11:49
https://weibo.cn//u/2430700882,凤凰微创意,女,浙江,10746,285,44671,//,0,2020-02-07 11:42
https://weibo.cn//u/5304931304,半山发布,女,浙江,16929,80,507,辟谣！自来水最好静置两小时以上再用，假的！,0,2020-02-07 10:58
https://weibo.cn//hzsjtj,杭州交通,男,浙江,4336,73,48447,辟谣！自来水最好静置两小时以上再用，假的！这些谣言，不要信不要传！,0,2020-02-07 09:31
https://weibo.cn//u/2266724563,回归自然2266724563,男,浙江,1203,123,489,请政府在特殊时期，严惩造谣者。,0,2020-02-07 08:03
https://weibo.cn//u/5181771928,临安发布,男,其他,28654,158,63271,辟谣,0,2020-02-07 07:11
https://weibo.cn//u/5947044633,丁丁大战小黄人,女,北京,408,182,112,你们杭州共青团发的东西，已经被截图，被某些人带节奏用了。去看看猫妈45的微博,0,2020-02-07 05:37
https://weibo.cn//u/3734799501,拱墅发布,女,浙江,30202,165,122118,辟谣！自来水最好静置两小时以上再用，假的！,0,2020-02-06 23:14
https://weibo.cn//u/5230920492,J14yu_,男,上海,121,360,101,10号要复工 但杭州小区不让租户进啊 怎么办啊,8,2020-02-06 21:26
https://weibo.cn//u/3894899119,爱下厨的小龙人,男,浙江,3,250,74,杭州小区不让外来租房人员返杭，有没人管一下啊，10号要复工的,8,2020-02-06 21:23
https://weibo.cn//hzzfgjj,杭州住房公积金,男,浙江,4791,118,11764,辟谣！自来水最好静置两小时以上再用，假的！这些谣言，不要信不要传！,0,2020-02-06 21:19
https://weibo.cn//u/2886568425,禾木wxf,女,北京,2448,574,305,不传谣不信谣,0,2020-02-06 21:05
