评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5178837613,杭州经信,男,浙江,9355,63,2939,辟谣！口罩垫纸每天替换能延长口罩寿命？这些谣言不要信！,0,2020-02-21 15:25
https://weibo.cn//u/5196232828,杭州司法,男,浙江,11456,94,6158,辟谣！口罩垫纸每天替换能延长口罩寿命？这些谣言不要信！,0,2020-02-21 14:11
https://weibo.cn//u/3915687504,杭州生态环境,男,其他,14015,200,81218,【辟谣！口罩垫纸每天替换能延长口罩寿命？这些谣言不要信！】,0,2020-02-21 11:49
https://weibo.cn//u/5178837613,杭州经信,男,浙江,9355,63,2939,辟谣！口罩垫纸每天替换能延长口罩寿命？这些谣言不要信！,0,2020-02-21 15:25
https://weibo.cn//u/5196232828,杭州司法,男,浙江,11456,94,6158,辟谣！口罩垫纸每天替换能延长口罩寿命？这些谣言不要信！,0,2020-02-21 14:11
https://weibo.cn//u/5688613564,Dano_King,男,浙江,1,9,8,回复@ETer大卫:你打电话问下你们社区，我这边是同意我回去了，只要你是绿码，不让你进你可以报警,0,2020-02-21 12:11
https://weibo.cn//u/3915687504,杭州生态环境,男,其他,14015,200,81218,【辟谣！口罩垫纸每天替换能延长口罩寿命？这些谣言不要信！】,0,2020-02-21 11:49
https://weibo.cn//hzstats,杭州统计,男,浙江,16953,233,3092,辟谣！口罩垫纸每天替换能延长口罩寿命？这些谣言不要信！,0,2020-02-21 09:40
https://weibo.cn//hzlib,杭州图书馆,男,浙江,28741,901,472710,辟谣！口罩垫纸每天替换能延长口罩寿命？这些谣言不要信！,0,2020-02-21 09:08
https://weibo.cn//eterin,ETer大卫,男,浙江,1195,408,550,回复@ETer大卫:早上起来发现变绿色了。请问现在回杭会不会被劝退？也请官方给个消息啊,0,2020-02-21 08:16
https://weibo.cn//eterin,ETer大卫,男,浙江,1195,408,550,回复@Dano_King:昨晚12点还是红色的。现在变绿色了？能回杭州了？,0,2020-02-21 08:14
https://weibo.cn//u/5688613564,Dano_King,男,浙江,1,9,8,回复@ETer大卫:再看看你的码是不是变绿了？！,0,2020-02-21 06:42
https://weibo.cn//jnztyy,中天园艺,男,山东,2451,1238,150553,不过洛维球技是真牛,0,2020-02-21 04:48
https://weibo.cn//u/2146594581,小辣椒只能在撒哈拉流泪,女,浙江,3821,738,241,大家当然知道4小时一换最好，但是没有口罩能有什么办法…,3,2020-02-21 00:48
https://weibo.cn//eterin,ETer大卫,男,浙江,1195,408,550,为什么安庆被列为重点疫情区，请官方给个说法，谢谢,1,2020-02-21 00:15
https://weibo.cn//u/5185494506,杭州民族宗教,男,浙江,10985,143,602,辟谣！口罩垫纸每天替换能延长口罩寿命？这些谣言不要信！,0,2020-02-21 00:07
